ID	GeneID	geneSymbol	chr	strand	exonStart_0base	exonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE
69	"gene-Glra2"	"Glra2"	chrNC_000086.8	-	163966568	163966718	163912012	163913558	164035215	164035430
70	"gene-Glra2"	"Glra2"	chrNC_000086.8	-	164064818	164065042	164040101	164040184	164107496	164107630
71	"gene-Glra2"	"Glra2"	chrNC_000086.8	-	164072435	164072503	164064818	164065042	164107496	164107630
72	"gene-Glra2"	"Glra2"	chrNC_000086.8	-	164072594	164072662	164064818	164065042	164107496	164107630
73	"gene-Glra2"	"Glra2"	chrNC_000086.8	-	164072594	164072765	164064818	164065042	164107496	164107630
74	"gene-Glra2"	"Glra2"	chrNC_000086.8	-	164109797	164109976	164107496	164107630	164110159	164110407
76	"gene-Mospd2"	"Mospd2"	chrNC_000086.8	-	163746922	163747009	163745047	163745202	163747977	163748133
84	"gene-Ap1s2"	"Ap1s2"	chrNC_000086.8	+	162699470	162699579	162694324	162694503	162700701	162700839
85	"gene-Ap1s2"	"Ap1s2"	chrNC_000086.8	+	162703901	162703996	162700701	162700839	162714358	162714367
88	"gene-Ap1s2"	"Ap1s2"	chrNC_000086.8	+	162714358	162714367	162703901	162703996	162715128	162716359
89	"gene-Gm15212"	"Gm15212"	chrNC_000086.8	+	162038220	162038251	162028936	162029021	162055868	162056393
91	"gene-Ctps2"	"Ctps2"	chrNC_000086.8	+	161685567	161685672	161684555	161684743	161693004	161693175
93	"gene-Ctps2"	"Ctps2"	chrNC_000086.8	+	161685567	161685672	161684555	161684910	161693004	161693175
97	"gene-Ctps2"	"Ctps2"	chrNC_000086.8	+	161686429	161686634	161685567	161685672	161693004	161693175
98	"gene-Ctps2"	"Ctps2"	chrNC_000086.8	+	161696203	161696304	161693004	161693175	161704194	161704311
99	"gene-Ctps2"	"Ctps2"	chrNC_000086.8	+	161696203	161696471	161693004	161693175	161704194	161704311
100	"gene-Ctps2"	"Ctps2"	chrNC_000086.8	+	161710400	161710552	161705385	161705466	161714622	161714755
101	"gene-Ctps2"	"Ctps2"	chrNC_000086.8	+	161758178	161758275	161724796	161724840	161779700	161779756
102	"gene-Ctps2"	"Ctps2"	chrNC_000086.8	+	161758178	161758275	161724796	161724840	161794057	161794202
103	"gene-Ctps2"	"Ctps2"	chrNC_000086.8	+	161779700	161779756	161724796	161724840	161794057	161794202
104	"gene-Ctps2"	"Ctps2"	chrNC_000086.8	+	161779700	161779756	161758178	161758275	161794057	161794202
105	"gene-Ctps2"	"Ctps2"	chrNC_000086.8	+	161783057	161783154	161779700	161779756	161794057	161794202
106	"gene-Syap1"	"Syap1"	chrNC_000086.8	-	161642294	161642442	161639838	161641004	161646055	161646204
107	"gene-Syap1"	"Syap1"	chrNC_000086.8	-	161642868	161642927	161642294	161642442	161646055	161646204
108	"gene-Syap1"	"Syap1"	chrNC_000086.8	-	161646055	161646204	161642868	161642927	161655510	161655650
109	"gene-Syap1"	"Syap1"	chrNC_000086.8	-	161661326	161661400	161655510	161655650	161665675	161665742
110	"gene-Txlng"	"Txlng"	chrNC_000086.8	-	161590480	161590572	161580635	161580806	161594287	161594384
114	"gene-Scml2"	"Scml2"	chrNC_000086.8	+	160026361	160026544	160024983	160025187	160029252	160029363
119	"gene-Phka2"	"Phka2"	chrNC_000086.8	+	159285742	159285900	159285157	159285288	159306267	159306426
120	"gene-Phka2"	"Phka2"	chrNC_000086.8	+	159285748	159285900	159285152	159285288	159306267	159306426
121	"gene-Phka2"	"Phka2"	chrNC_000086.8	+	159306267	159306426	159284899	159285900	159310725	159310773
123	"gene-Phka2"	"Phka2"	chrNC_000086.8	+	159335708	159335816	159332170	159332266	159337296	159337375
124	"gene-Phka2"	"Phka2"	chrNC_000086.8	+	159337296	159337375	159332170	159332266	159340681	159340816
126	"gene-Phka2"	"Phka2"	chrNC_000086.8	+	159371960	159372014	159369774	159369945	159373163	159373364
127	"gene-Phka2"	"Phka2"	chrNC_000086.8	+	159373163	159373364	159371960	159372014	159373934	159374025
128	"gene-Phka2"	"Phka2"	chrNC_000086.8	+	159373163	159373364	159371960	159372014	159381463	159381874
129	"gene-Phka2"	"Phka2"	chrNC_000086.8	+	159373934	159374025	159371960	159372014	159381463	159381874
136	"gene-Adgrg2"	"Adgrg2"	chrNC_000086.8	+	159274393	159274495	159271679	159271963	159275595	159275748
138	"gene-Sh3kbp1"	"Sh3kbp1"	chrNC_000086.8	+	158466539	158466697	158409887	158410687	158547007	158547131
139	"gene-Sh3kbp1"	"Sh3kbp1"	chrNC_000086.8	+	158599572	158599702	158586715	158586819	158611369	158611575
145	"gene-Sh3kbp1"	"Sh3kbp1"	chrNC_000086.8	+	158700231	158700312	158696984	158697036	158702753	158702913
153	"gene-Map7d2"	"Map7d2"	chrNC_000086.8	+	158274763	158274820	158273675	158273780	158275322	158275407
154	"gene-Map7d2"	"Map7d2"	chrNC_000086.8	+	158279030	158279305	158275893	158276080	158280579	158281753
155	"gene-Eif1ax"	"Eif1ax"	chrNC_000086.8	+	158159376	158159460	158155173	158155411	158160454	158160558
160	"gene-Rps6ka3"	"Rps6ka3"	chrNC_000086.8	+	158062162	158062199	158061105	158061199	158067204	158067249
162	"gene-Rps6ka3"	"Rps6ka3"	chrNC_000086.8	+	158067204	158067249	158061105	158061199	158068261	158068318
164	"gene-Rps6ka3"	"Rps6ka3"	chrNC_000086.8	+	158067565	158067586	158062162	158062199	158068261	158068318
165	"gene-Rps6ka3"	"Rps6ka3"	chrNC_000086.8	+	158068261	158068318	158038777	158039184	158094459	158094576
166	"gene-Rps6ka3"	"Rps6ka3"	chrNC_000086.8	+	158115146	158115217	158113782	158113925	158119690	158119779
169	"gene-Cnksr2"	"Cnksr2"	chrNC_000086.8	-	156744249	156744291	156728292	156728412	156773103	156773191
174	"gene-Klf8"	"Klf8"	chrNC_000086.8	+	152091847	152091920	152020819	152021088	152143291	152143479
176	"gene-Klf8"	"Klf8"	chrNC_000086.8	+	152091847	152091920	152020819	152021088	152165504	152166066
178	"gene-Klf8"	"Klf8"	chrNC_000086.8	+	152142837	152143479	152091847	152091920	152153840	152153914
179	"gene-Klf8"	"Klf8"	chrNC_000086.8	+	152142837	152143479	152091847	152091920	152165504	152166066
181	"gene-Klf8"	"Klf8"	chrNC_000086.8	+	152143291	152143479	152020584	152021088	152165504	152166066
182	"gene-Klf8"	"Klf8"	chrNC_000086.8	+	152143291	152143479	152091847	152091920	152153840	152153914
183	"gene-Klf8"	"Klf8"	chrNC_000086.8	+	152143291	152143479	152091847	152091920	152165504	152166066
184	"gene-Klf8"	"Klf8"	chrNC_000086.8	+	152153840	152153914	152020584	152021088	152165504	152166066
185	"gene-Klf8"	"Klf8"	chrNC_000086.8	+	152153840	152153914	152091847	152091920	152165504	152166066
186	"gene-Klf8"	"Klf8"	chrNC_000086.8	+	152153840	152153914	152142837	152143479	152165504	152166066
194	"gene-Kdm5c"	"Kdm5c"	chrNC_000086.8	+	151031423	151031543	151029250	151029409	151031657	151031816
195	"gene-Kdm5c"	"Kdm5c"	chrNC_000086.8	+	151036419	151036601	151031657	151031816	151036694	151036857
196	"gene-Kdm5c"	"Kdm5c"	chrNC_000086.8	+	151050890	151050996	151050078	151050226	151051760	151052119
197	"gene-Kdm5c"	"Kdm5c"	chrNC_000086.8	+	151052710	151052849	151051760	151052119	151053347	151053527
203	"gene-Iqsec2"	"Iqsec2"	chrNC_000086.8	+	150949929	150949959	150927178	150928175	150991765	150992661
207	"gene-Iqsec2"	"Iqsec2"	chrNC_000086.8	+	150963992	150964088	150959280	150962086	150976861	150977599
209	"gene-Iqsec2"	"Iqsec2"	chrNC_000086.8	+	150985903	150986165	150949929	150949959	150986927	150987329
210	"gene-Iqsec2"	"Iqsec2"	chrNC_000086.8	+	150986927	150987329	150949929	150949959	150991765	150992661
211	"gene-Iqsec2"	"Iqsec2"	chrNC_000086.8	+	150996282	150996449	150995017	150995140	150998496	150998636
212	"gene-Iqsec2"	"Iqsec2"	chrNC_000086.8	+	150999336	150999435	150998496	150998636	151001872	151001972
213	"gene-Iqsec2"	"Iqsec2"	chrNC_000086.8	+	150999336	150999462	150998496	150998636	151001872	151001972
215	"gene-Smc1a"	"Smc1a"	chrNC_000086.8	+	150829655	150829801	150824322	150824464	150829890	150830044
216	"gene-Smc1a"	"Smc1a"	chrNC_000086.8	+	150841774	150841931	150830853	150830964	150842353	150842508
218	"gene-Hsd17b10"	"Hsd17b10"	chrNC_000086.8	+	150786648	150786777	150786356	150786521	150786857	150786966
222	"gene-Wnk3"	"Wnk3"	chrNC_000086.8	+	149953823	149953876	149952479	149952708	149954641	149954762
223	"gene-Wnk3"	"Wnk3"	chrNC_000086.8	+	149953823	149953876	149952479	149952708	149981017	149981669
224	"gene-Wnk3"	"Wnk3"	chrNC_000086.8	+	149953823	149953876	149952479	149952955	149954641	149954762
225	"gene-Wnk3"	"Wnk3"	chrNC_000086.8	+	149953823	149953876	149952479	149952955	149981017	149981669
227	"gene-Wnk3"	"Wnk3"	chrNC_000086.8	+	149954641	149954762	149952479	149952955	149981017	149981669
228	"gene-Wnk3"	"Wnk3"	chrNC_000086.8	+	149954641	149954762	149953823	149953876	149981017	149981669
229	"gene-Tsr2"	"Tsr2"	chrNC_000086.8	-	149873591	149873777	149870089	149873410	149874671	149874763
230	"gene-Tsr2"	"Tsr2"	chrNC_000086.8	-	149873600	149873777	149870089	149873410	149874671	149874763
231	"gene-Tsr2"	"Tsr2"	chrNC_000086.8	-	149874671	149874763	149870089	149873410	149879160	149879251
233	"gene-Gnl3l"	"Gnl3l"	chrNC_000086.8	-	149778006	149778094	149777243	149777418	149780181	149780326
234	"gene-Gnl3l"	"Gnl3l"	chrNC_000086.8	-	149782692	149782799	149780181	149780326	149783598	149783734
235	"gene-Gnl3l"	"Gnl3l"	chrNC_000086.8	-	149797016	149797085	149787240	149787281	149800196	149800318
236	"gene-Gnl3l"	"Gnl3l"	chrNC_000086.8	-	149797016	149797146	149787240	149787281	149800196	149800307
237	"gene-Maged2"	"Maged2"	chrNC_000086.8	-	149593339	149593419	149592698	149592793	149593676	149593740
238	"gene-Maged2"	"Maged2"	chrNC_000086.8	-	149595666	149595733	149594818	149595310	149597224	149597341
245	"gene-Apex2"	"Apex2"	chrNC_000086.8	-	149292085	149292131	149291762	149291943	149304183	149304278
251	"gene-Htr2c"	"Htr2c"	chrNC_000086.8	+	145858726	145859043	145855380	145855483	145952565	145952671
256	"gene-Rtl4"	"Rtl4"	chrNC_000086.8	+	143892572	143892704	143892426	143892481	143899152	143899273
259	"gene-Rtl4"	"Rtl4"	chrNC_000086.8	+	143899152	143899273	143892572	143892704	143899850	143899962
261	"gene-Alg13"	"Alg13"	chrNC_000086.8	+	143130955	143131056	143129677	143129742	143132287	143132415
262	"gene-Alg13"	"Alg13"	chrNC_000086.8	+	143138579	143138648	143136568	143136624	143139791	143139957
264	"gene-Pak3"	"Pak3"	chrNC_000086.8	+	142311552	142311695	142301369	142301759	142346255	142346350
265	"gene-Pak3"	"Pak3"	chrNC_000086.8	+	142311552	142311695	142301369	142301759	142448728	142448839
267	"gene-Pak3"	"Pak3"	chrNC_000086.8	+	142346255	142346350	142301369	142301759	142425655	142425674
269	"gene-Pak3"	"Pak3"	chrNC_000086.8	+	142346255	142346350	142311552	142311695	142476282	142476484
270	"gene-Pak3"	"Pak3"	chrNC_000086.8	+	142425655	142425674	142301370	142301759	142448728	142448839
271	"gene-Pak3"	"Pak3"	chrNC_000086.8	+	142425655	142425674	142301370	142301759	142476282	142476484
273	"gene-Pak3"	"Pak3"	chrNC_000086.8	+	142448728	142448839	142301586	142301759	142454008	142454039
274	"gene-Pak3"	"Pak3"	chrNC_000086.8	+	142448728	142448839	142301586	142301759	142476282	142476484
275	"gene-Pak3"	"Pak3"	chrNC_000086.8	+	142448728	142448839	142311552	142311695	142476282	142476484
276	"gene-Pak3"	"Pak3"	chrNC_000086.8	+	142448728	142448839	142425655	142425674	142476282	142476484
277	"gene-Pak3"	"Pak3"	chrNC_000086.8	+	142448728	142448839	142446830	142447610	142454008	142454039
279	"gene-Pak3"	"Pak3"	chrNC_000086.8	+	142454008	142454039	142301586	142301759	142476282	142476484
280	"gene-Pak3"	"Pak3"	chrNC_000086.8	+	142454008	142454039	142446830	142447610	142476282	142476484
282	"gene-Pak3"	"Pak3"	chrNC_000086.8	+	142455597	142455889	142454008	142454039	142476282	142476484
283	"gene-Pak3"	"Pak3"	chrNC_000086.8	+	142461087	142461147	142455597	142455889	142476282	142476484
284	"gene-Pak3"	"Pak3"	chrNC_000086.8	+	142476282	142476484	142301370	142301759	142492643	142492744
285	"gene-Pak3"	"Pak3"	chrNC_000086.8	+	142492643	142492744	142476282	142476484	142496889	142496934
286	"gene-Pak3"	"Pak3"	chrNC_000086.8	+	142492643	142492744	142476282	142476484	142498131	142498285
289	"gene-Pak3"	"Pak3"	chrNC_000086.8	+	142496889	142496934	142476282	142476484	142498131	142498285
292	"gene-Pak3"	"Pak3"	chrNC_000086.8	+	142572305	142572443	142557933	142558130	142574230	142580788
293	"gene-Nxt2"	"Nxt2"	chrNC_000086.8	+	141012519	141012606	141011172	141011377	141019779	141019924
297	"gene-Tsc22d3"	"Tsc22d3"	chrNC_000086.8	-	139442853	139442905	139440276	139441856	139443259	139443428
298	"gene-Tsc22d3"	"Tsc22d3"	chrNC_000086.8	-	139442853	139442905	139440276	139441856	139443594	139444160
299	"gene-Frmpd3"	"Frmpd3"	chrNC_000086.8	+	139262893	139263048	139177866	139178816	139266477	139266580
300	"gene-Frmpd3"	"Frmpd3"	chrNC_000086.8	+	139262893	139263048	139177866	139178816	139269567	139269613
301	"gene-Frmpd3"	"Frmpd3"	chrNC_000086.8	+	139262893	139263048	139177866	139178816	139284751	139284856
302	"gene-Frmpd3"	"Frmpd3"	chrNC_000086.8	+	139262893	139263048	139243011	139243138	139269567	139269613
304	"gene-Frmpd3"	"Frmpd3"	chrNC_000086.8	+	139266477	139266580	139177866	139178816	139269567	139269613
305	"gene-Frmpd3"	"Frmpd3"	chrNC_000086.8	+	139266477	139266580	139177866	139178816	139284751	139284856
306	"gene-Frmpd3"	"Frmpd3"	chrNC_000086.8	+	139266477	139266580	139262893	139263048	139269567	139269613
307	"gene-Frmpd3"	"Frmpd3"	chrNC_000086.8	+	139266477	139266580	139262893	139263048	139284751	139284856
308	"gene-Frmpd3"	"Frmpd3"	chrNC_000086.8	+	139269567	139269613	139177866	139178816	139284751	139284856
309	"gene-Frmpd3"	"Frmpd3"	chrNC_000086.8	+	139269567	139269613	139243011	139243138	139284751	139284856
310	"gene-Frmpd3"	"Frmpd3"	chrNC_000086.8	+	139269567	139269613	139262893	139263048	139284751	139284856
311	"gene-Frmpd3"	"Frmpd3"	chrNC_000086.8	+	139269567	139269613	139266477	139266580	139284751	139284856
312	"gene-Frmpd3"	"Frmpd3"	chrNC_000086.8	+	139284751	139284856	139177866	139178816	139289239	139289347
313	"gene-Frmpd3"	"Frmpd3"	chrNC_000086.8	+	139299611	139299748	139294525	139294645	139300061	139300188
314	"gene-Frmpd3"	"Frmpd3"	chrNC_000086.8	+	139319742	139319887	139305214	139305394	139328341	139329163
315	"gene-Dnaaf6"	"Dnaaf6"	chrNC_000086.8	+	138971880	138972051	138963627	138963709	138975553	138975626
319	"gene-Rbm41"	"Rbm41"	chrNC_000086.8	-	138855655	138855803	138842276	138846652	138894046	138894251
320	"gene-Rbm41"	"Rbm41"	chrNC_000086.8	-	138868944	138869348	138855655	138855803	138894046	138894251
332	"gene-Zcchc18"	"Zcchc18"	chrNC_000086.8	+	135894455	135894510	135893895	135894101	135894679	135894819
333	"gene-Zcchc18"	"Zcchc18"	chrNC_000086.8	+	135894455	135894510	135893895	135894153	135894679	135894819
334	"gene-Zcchc18"	"Zcchc18"	chrNC_000086.8	+	135894458	135894510	135893895	135894101	135894679	135894819
335	"gene-Zcchc18"	"Zcchc18"	chrNC_000086.8	+	135894458	135894510	135893917	135894153	135894679	135894819
336	"gene-Tmsb15l"	"Tmsb15l"	chrNC_000086.8	-	135857483	135857588	135855736	135856231	135876146	135876251
337	"gene-Tmsb15l"	"Tmsb15l"	chrNC_000086.8	-	135876146	135876251	135857483	135857588	135877507	135877623
338	"gene-Gm54085"	"Gm54085"	chrNC_000086.8	+	135675291	135675464	135665979	135666513	135684273	135684357
339	"gene-BC065397"	"BC065397"	chrNC_000086.8	+	135657242	135657369	135648071	135648197	135658849	135658945
340	"gene-BC065397"	"BC065397"	chrNC_000086.8	+	135661166	135661324	135660604	135660667	135689269	135689366
341	"gene-BC065397"	"BC065397"	chrNC_000086.8	+	135662739	135662837	135661166	135661324	135689269	135689366
342	"gene-Gm39545"	"Gm39545"	chrNC_000086.8	+	154175170	154175193	154173844	154173903	154175275	154175520
343	"gene-Tceal3"	"Tceal3"	chrNC_000086.8	+	135494950	135494999	135493607	135493712	135567808	135567939
344	"gene-Tceal3"	"Tceal3"	chrNC_000086.8	+	135494950	135494999	135493607	135493712	135567872	135567939
345	"gene-Tceal3"	"Tceal3"	chrNC_000086.8	+	135546494	135546616	135494950	135494999	135567808	135567939
347	"gene-Tceal3"	"Tceal3"	chrNC_000086.8	+	135567808	135567939	135494950	135494999	135568259	135569127
348	"gene-Tceal3"	"Tceal3"	chrNC_000086.8	+	135567808	135567939	135567123	135567304	135568259	135569127
349	"gene-Tceal3"	"Tceal3"	chrNC_000086.8	+	135567872	135567939	135494950	135494999	135568259	135569126
350	"gene-Tceal3"	"Tceal3"	chrNC_000086.8	+	135567872	135567939	135567123	135567304	135568259	135569126
352	"gene-Bex3"	"Bex3"	chrNC_000086.8	+	135171558	135171631	135171001	135171150	135172011	135172727
353	"gene-Bex3"	"Bex3"	chrNC_000086.8	+	135171558	135171631	135171001	135171150	135172057	135172727
354	"gene-Bex1"	"Bex1"	chrNC_000086.8	-	135115652	135115729	135114720	135115332	135116085	135116262
356	"gene-5730412P04Rik"	"5730412P04Rik"	chrNC_000086.8	+	135006437	135006528	135005670	135005729	135008833	135008948
361	"gene-Bex2"	"Bex2"	chrNC_000086.8	-	134968348	134968421	134967313	134967956	134968799	134968985
365	"gene-Gprasp2"	"Gprasp2"	chrNC_000086.8	+	134741141	134741218	134740202	134740621	134741367	134741439
366	"gene-Gprasp2"	"Gprasp2"	chrNC_000086.8	+	134741141	134741257	134740493	134740621	134741367	134741439
368	"gene-Armcx5"	"Armcx5"	chrNC_000086.8	+	134644311	134644363	134643481	134643727	134645247	134645324
372	"gene-Gprasp1"	"Gprasp1"	chrNC_000086.8	+	134698301	134698378	134652693	134652766	134698536	134698613
373	"gene-Gprasp1"	"Gprasp1"	chrNC_000086.8	+	134698301	134698378	134696890	134697085	134698771	134698843
374	"gene-Gprasp1"	"Gprasp1"	chrNC_000086.8	+	134698301	134698378	134697697	134697786	134698536	134698613
375	"gene-Gprasp1"	"Gprasp1"	chrNC_000086.8	+	134698536	134698613	134698301	134698378	134698771	134698843
380	"gene-Tceal6"	"Tceal6"	chrNC_000086.8	-	134110639	134110706	134109434	134110319	134111273	134111436
383	"gene-Armcx3"	"Armcx3"	chrNC_000086.8	+	133657984	133658091	133657300	133657479	133658480	133658542
384	"gene-Armcx3"	"Armcx3"	chrNC_000086.8	+	133658012	133658091	133657300	133657479	133658480	133658542
386	"gene-Armcx6"	"Armcx6"	chrNC_000086.8	-	133651299	133651379	133649203	133650974	133651689	133651782
387	"gene-Armcx6"	"Armcx6"	chrNC_000086.8	-	133651689	133651782	133649203	133650974	133652078	133652116
388	"gene-Armcx6"	"Armcx6"	chrNC_000086.8	-	133651689	133651932	133649203	133650974	133652078	133652307
389	"gene-Armcx4"	"Armcx4"	chrNC_000086.8	+	133587896	133587974	133586398	133586486	133588765	133588843
390	"gene-Armcx4"	"Armcx4"	chrNC_000086.8	+	133587896	133587974	133586398	133586486	133589198	133589281
391	"gene-Armcx4"	"Armcx4"	chrNC_000086.8	+	133587896	133587974	133587226	133587386	133588765	133588843
392	"gene-Armcx4"	"Armcx4"	chrNC_000086.8	+	133587896	133587980	133587226	133587386	133588765	133588843
393	"gene-Armcx4"	"Armcx4"	chrNC_000086.8	+	133588765	133588843	133587896	133587974	133589198	133589281
394	"gene-Armcx4"	"Armcx4"	chrNC_000086.8	+	133588765	133588855	133586398	133586486	133589198	133589281
395	"gene-Armcx4"	"Armcx4"	chrNC_000086.8	+	133588765	133588855	133587896	133587974	133589198	133589281
398	"gene-Rpl36a"	"Rpl36a"	chrNC_000086.8	+	133487259	133487327	133486826	133486932	133488199	133488322
400	"gene-Drp2"	"Drp2"	chrNC_000086.8	+	133305634	133305703	133305300	133305372	133324524	133324702
403	"gene-Drp2"	"Drp2"	chrNC_000086.8	+	133329062	133329226	133324524	133324702	133332279	133332400
405	"gene-Drp2"	"Drp2"	chrNC_000086.8	+	133335771	133335850	133335173	133335320	133337769	133337830
406	"gene-Drp2"	"Drp2"	chrNC_000086.8	+	133347710	133347776	133347376	133347442	133348596	133348740
408	"gene-Cenpi"	"Cenpi"	chrNC_000086.8	+	133225509	133225558	133218773	133218881	133225839	133225886
411	"gene-Trmt2b"	"Trmt2b"	chrNC_000086.8	-	133168079	133168310	133167009	133167064	133177594	133177733
418	"gene-Cstf2"	"Cstf2"	chrNC_000086.8	+	132961392	132961471	132959924	132960171	132961693	132961863
419	"gene-Cstf2"	"Cstf2"	chrNC_000086.8	+	132963346	132963484	132963116	132963236	132967009	132967133
420	"gene-Cstf2"	"Cstf2"	chrNC_000086.8	+	132973163	132973223	132970593	132970656	132973884	132974026
422	"gene-Cstf2"	"Cstf2"	chrNC_000086.8	+	132973426	132973513	132973163	132973223	132973884	132974026
426	"gene-Tspan6"	"Tspan6"	chrNC_000086.8	-	132797872	132798061	132797431	132797506	132798956	132799153
427	"gene-Tspan6"	"Tspan6"	chrNC_000086.8	-	132797872	132798584	132797431	132797506	132798956	132799163
430	"gene-Diaph2"	"Diaph2"	chrNC_000086.8	+	128948073	128948175	128873243	128873358	128951115	128951210
434	"gene-Gm30577"	"Gm30577"	chrNC_000086.8	-	119196862	119196921	119194437	119194478	119199742	119199926
436	"gene-Chm"	"Chm"	chrNC_000086.8	-	111973130	111974640	111962758	111962857	111979275	111979339
438	"gene-Chm"	"Chm"	chrNC_000086.8	-	111974543	111974640	111962758	111962857	111979275	111979339
439	"gene-Chm"	"Chm"	chrNC_000086.8	-	111979275	111979339	111962758	111962857	111981613	111981718
445	"gene-Chm"	"Chm"	chrNC_000086.8	-	112050410	112050483	112025712	112026127	112095137	112095212
446	"gene-Chm"	"Chm"	chrNC_000086.8	-	112069200	112069267	112025712	112026127	112095137	112095212
453	"gene-Hdx"	"Hdx"	chrNC_000086.8	-	110492491	110492614	110484900	110487095	110498891	110498975
454	"gene-Hdx"	"Hdx"	chrNC_000086.8	-	110531997	110532144	110510314	110510522	110559533	110559587
458	"gene-Hmgn5"	"Hmgn5"	chrNC_000086.8	-	108055027	108055051	108054462	108054492	108056857	108056986
459	"gene-2810403D21Rik"	"2810403D21Rik"	chrNC_000086.8	+	107899485	107899535	107879871	107879961	107901873	107901978
460	"gene-2810403D21Rik"	"2810403D21Rik"	chrNC_000086.8	+	107901873	107901978	107879871	107879961	107929950	107930502
470	"gene-Taf9b"	"Taf9b"	chrNC_000086.8	-	105259732	105259802	105253312	105253423	105261702	105261837
471	"gene-Pgk1"	"Pgk1"	chrNC_000086.8	+	105241447	105241567	105240448	105240552	105243252	105243367
472	"gene-Pgk1"	"Pgk1"	chrNC_000086.8	+	105246044	105246222	105243762	105243942	105246442	105246541
473	"gene-Atp7a"	"Atp7a"	chrNC_000086.8	+	105163840	105164044	105161857	105162000	105165195	105165313
474	"gene-Atrx"	"Atrx"	chrNC_000086.8	-	104862948	104863126	104861637	104861832	104864381	104864490
475	"gene-Atrx"	"Atrx"	chrNC_000086.8	-	104869706	104869860	104867314	104867421	104874453	104874626
476	"gene-Atrx"	"Atrx"	chrNC_000086.8	-	104881844	104882020	104879915	104880033	104883446	104883584
477	"gene-Atrx"	"Atrx"	chrNC_000086.8	-	104883446	104883584	104881844	104882020	104889102	104889280
478	"gene-Atrx"	"Atrx"	chrNC_000086.8	-	104927912	104928026	104923514	104923624	104931320	104931445
479	"gene-Atrx"	"Atrx"	chrNC_000086.8	-	104943486	104943599	104934522	104934578	104972705	104972978
