ID	GeneID	geneSymbol	chr	strand	longExonStart_0base	longExonEnd	shortES	shortEE	flankingES	flankingEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
15	"gene-Hccs"	"Hccs"	chrNC_000086.8	-	168099991	168100143	168099991	168100134	168102433	168102586	15	53,44,50,44	0,0,1,0	51,35,52,42	0,0,0,0	158	149	0.322922762579874	0.752906394868035	1.0,1.0,0.979,1.0	1.0,1.0,1.0,1.0	-0.005
17	"gene-Hccs"	"Hccs"	chrNC_000086.8	-	168102433	168102573	168102433	168102511	168103110	168103361	17	20,18,25,20	0,0,2,0	21,13,21,14	0,0,0,0	211	149	0.291461348582769	0.740246724505762	1.0,1.0,0.898,1.0	1.0,1.0,1.0,1.0	-0.025
18	"gene-Hccs"	"Hccs"	chrNC_000086.8	-	168102433	168102586	168102433	168102511	168103110	168103361	18	42,37,44,29	0,0,2,0	38,20,39,28	0,0,0,0	224	149	0.300032664953393	0.74422516892343	1.0,1.0,0.936,1.0	1.0,1.0,1.0,1.0	-0.016
19	"gene-Hccs"	"Hccs"	chrNC_000086.8	-	168102433	168102586	168102433	168102573	168103110	168103361	19	22,19,19,9	0,0,0,0	17,8,18,14	0,1,0,0	162	149	0.284049489351499	0.737026936510401	1.0,1.0,1.0,1.0	1.0,0.88,1.0,1.0	0.03
22	"gene-Msl3"	"Msl3"	chrNC_000086.8	-	167453215	167453307	167453215	167453304	167454138	167454239	22	31,36,36,27	6,4,2,4	43,28,38,32	6,12,3,15	152	149	0.210282549983035	0.686609399630111	0.835,0.898,0.946,0.869	0.875,0.696,0.925,0.677	0.094
28	"gene-Gpm6b"	"Gpm6b"	chrNC_000086.8	+	165168386	165172028	165169947	165172028	165166930	165166996	28	295,403,365,314	593,504,518,509	364,281,313,359	550,506,468,570	298	149	0.716704867666542	0.964791706269696	0.199,0.286,0.261,0.236	0.249,0.217,0.251,0.239	0.007
29	"gene-Glra2"	"Glra2"	chrNC_000086.8	-	164072594	164072765	164072594	164072662	164107496	164107630	29	16,11,13,20	147,126,119,136	7,8,14,16	89,96,89,80	252	149	0.656905755104159	0.935645125112416	0.06,0.049,0.061,0.08	0.044,0.047,0.085,0.106	-0.008
30	"gene-Fancb"	"Fancb"	chrNC_000086.8	+	163778882	163779117	163778974	163779117	163778339	163778418	30	10,5,8,7	4,0,0,0	3,8,3,16	1,0,0,0	241	149	0.771299131733408	0.993906959298652	0.607,1.0,1.0,1.0	0.65,1.0,1.0,1.0	-0.011
31	"gene-Mospd2"	"Mospd2"	chrNC_000086.8	-	163719164	163720299	163719164	163720080	163722638	163722741	31	47,48,37,48	0,4,3,2	51,63,59,41	1,1,3,3	298	149	0.584581187057252	0.900713017738204	1.0,0.857,0.86,0.923	0.962,0.969,0.908,0.872	-0.018
32	"gene-Mospd2"	"Mospd2"	chrNC_000086.8	-	163719164	163721688	163719164	163720080	163722638	163722741	32	62,58,62,68	0,4,3,2	60,77,80,54	1,1,3,3	298	149	0.745851314109036	0.981464056718901	1.0,0.879,0.912,0.944	0.968,0.975,0.93,0.9	-0.01
33	"gene-Mospd2"	"Mospd2"	chrNC_000086.8	-	163719164	163721688	163719164	163720299	163722638	163722741	33	52,55,69,55	0,1,0,1	40,68,55,54	1,4,0,0	298	149	0.599073805668314	0.90707573204913	1.0,0.965,1.0,0.965	0.952,0.895,1.0,1.0	0.021
34	"gene-Mospd2"	"Mospd2"	chrNC_000086.8	-	163739474	163739522	163739474	163739513	163741751	163741812	34	2,1,1,0	34,23,26,31	1,2,0,0	18,31,24,23	158	149	0.999202115572178	0.999202115572178	0.053,0.039,0.035,0.0	0.05,0.057,0.0,0.0	0.005
35	"gene-Mospd2"	"Mospd2"	chrNC_000086.8	-	163747977	163748157	163747977	163748133	163762989	163763059	35	1,0,0,0	26,21,29,24	0,0,0,0	14,21,24,12	173	149	0.35591845490446	0.771073662680995	0.032,0.0,0.0,0.0	0.0,0.0,0.0,0.0	0.008
41	"gene-Sh3kbp1"	"Sh3kbp1"	chrNC_000086.8	+	158702753	158702913	158702757	158702913	158700231	158700312	41	95,79,87,79	5,2,1,3	81,105,84,104	2,1,0,2	153	149	0.0904746321597735	0.544985262985622	0.949,0.975,0.988,0.962	0.975,0.99,1.0,0.981	-0.018
42	"gene-Map7d2"	"Map7d2"	chrNC_000086.8	+	158275319	158275407	158275322	158275407	158273675	158273780	42	15,10,8,13	1,0,0,0	15,16,18,16	0,0,2,0	152	149	0.999202115572178	0.999202115572178	0.936,1.0,1.0,1.0	1.0,1.0,0.898,1.0	0.009
43	"gene-Map7d2"	"Map7d2"	chrNC_000086.8	+	158275319	158275407	158275322	158275407	158274763	158274820	43	29,32,40,22	2,1,1,1	25,26,29,22	0,3,2,1	152	149	0.447137226553192	0.820684257425851	0.934,0.969,0.975,0.956	1.0,0.895,0.934,0.956	0.012
45	"gene-Klf8"	"Klf8"	chrNC_000086.8	+	152142837	152143479	152143291	152143479	152091847	152091920	45	3,4,4,3	0,0,0,1	4,3,2,2	1,0,0,0	298	149	0.824660877555947	0.999202115572178	1.0,1.0,1.0,0.6	0.667,1.0,1.0,1.0	-0.017
46	"gene-Shroom2"	"Shroom2"	chrNC_000086.8	-	151401896	151402635	151401896	151402442	151406121	151406331	46	5,1,1,2	90,87,97,99	2,0,1,2	70,55,53,82	298	149	0.714558307182097	0.96396293909479	0.027,0.006,0.005,0.01	0.014,0.0,0.009,0.012	0.003
47	"gene-Shroom2"	"Shroom2"	chrNC_000086.8	-	151406121	151406331	151406121	151406313	151426808	151427313	47	22,24,31,12	2,7,6,1	18,15,12,14	6,4,5,1	167	149	0.268038508857518	0.732186572663783	0.908,0.754,0.822,0.915	0.728,0.77,0.682,0.926	0.073
48	"gene-Shroom2"	"Shroom2"	chrNC_000086.8	-	151406121	151406316	151406121	151406313	151440419	151440520	48	0,2,2,0	4,1,0,1	0,1,0,0	1,0,3,2	152	149	0.219132228011649	0.693498928496637	0.0,0.662,1.0,0.0	0.0,1.0,0.0,0.0	0.165
49	"gene-Shroom2"	"Shroom2"	chrNC_000086.8	-	151406121	151406331	151406121	151406313	151440419	151440520	49	21,9,15,8	4,1,0,1	5,7,4,2	1,0,3,2	167	149	0.237269264076716	0.707612065040391	0.824,0.889,1.0,0.877	0.817,1.0,0.543,0.472	0.19
50	"gene-Shroom2"	"Shroom2"	chrNC_000086.8	-	151406121	151406331	151406121	151406316	151440419	151440520	50	21,9,13,8	0,2,0,0	5,7,4,2	0,1,0,0	164	149	0.999202115572178	0.999202115572178	1.0,0.803,1.0,1.0	1.0,0.864,1.0,1.0	-0.015
51	"gene-Kdm5c"	"Kdm5c"	chrNC_000086.8	+	151025032	151025167	151025035	151025167	151023021	151023192	51	69,62,71,66	4,9,11,6	76,81,38,65	6,13,11,5	152	149	0.405717107917144	0.794473656290482	0.944,0.871,0.864,0.915	0.925,0.859,0.772,0.927	0.028
52	"gene-Smc1a"	"Smc1a"	chrNC_000086.8	+	150829442	150829801	150829655	150829801	150824322	150824464	52	7,4,3,1	191,216,210,227	6,3,3,1	225,161,212,227	298	149	0.729575321028922	0.970540779262551	0.018,0.009,0.007,0.002	0.013,0.009,0.007,0.002	0.001
55	"gene-Alas2"	"Alas2"	chrNC_000086.8	+	149335954	149336077	149335999	149336077	149330442	149330481	55	10,6,4,4	0,2,0,1	8,4,7,0	1,0,0,0	194	149	0.810649401056901	0.999202115572178	1.0,0.697,1.0,0.754	0.86,1.0,1.0,NA	-0.091
56	"gene-Alas2"	"Alas2"	chrNC_000086.8	+	149335954	149336077	149335999	149336077	149335144	149335340	56	34,29,28,30	3,4,2,4	25,26,31,22	8,3,0,2	194	149	0.853394539328281	0.999202115572178	0.897,0.848,0.915,0.852	0.706,0.869,1.0,0.894	0.011
57	"gene-Alas2"	"Alas2"	chrNC_000086.8	+	149349496	149349659	149349547	149349659	149348002	149348271	57	28,41,47,43	1,0,0,0	50,33,44,45	0,1,1,0	200	149	0.474991572002642	0.835827426876413	0.954,1.0,1.0,1.0	1.0,0.961,0.97,1.0	0.006
58	"gene-Amot"	"Amot"	chrNC_000086.8	-	144279984	144280047	144279984	144280039	144283838	144283932	58	2,1,0,1	0,0,0,0	0,1,0,0	0,1,0,0	157	149	0.0345712899443107	0.452915747200612	1.0,1.0,NA,1.0	NA,0.487,NA,NA	0.513
59	"gene-Pak3"	"Pak3"	chrNC_000086.8	+	142311535	142311695	142311552	142311695	142301369	142301759	59	11,3,14,12	0,0,0,0	6,6,5,11	0,0,1,0	166	149	0.224633510186443	0.698239485317545	1.0,1.0,1.0,1.0	1.0,1.0,0.818,1.0	0.045
63	"gene-Acsl4"	"Acsl4"	chrNC_000086.8	-	141134374	141134614	141134374	141134611	141143382	141143432	63	9,1,3,6	0,1,1,0	2,0,2,2	0,0,0,0	152	149	0.457060854985334	0.825040335736027	1.0,0.495,0.746,1.0	1.0,NA,1.0,1.0	-0.19
64	"gene-Acsl4"	"Acsl4"	chrNC_000086.8	-	141134374	141134904	141134374	141134611	141143382	141143432	64	74,47,24,44	0,1,1,0	14,24,16,29	0,0,0,0	298	149	0.240241412509156	0.711760771989381	1.0,0.959,0.923,1.0	1.0,1.0,1.0,1.0	-0.029
65	"gene-Acsl4"	"Acsl4"	chrNC_000086.8	-	141134374	141134904	141134374	141134614	141143382	141143432	65	67,46,24,38	1,0,2,0	13,24,14,28	1,0,0,1	298	149	0.65608191396972	0.935381678714133	0.971,1.0,0.857,1.0	0.867,1.0,1.0,0.933	0.007
71	"gene-Zcchc18"	"Zcchc18"	chrNC_000086.8	+	135894455	135894510	135894458	135894510	135893895	135894101	71	115,97,82,88	17,25,11,12	106,73,95,109	16,9,10,13	152	149	0.181031990915505	0.661488174221382	0.869,0.792,0.88,0.878	0.867,0.888,0.903,0.892	-0.033
72	"gene-Zcchc18"	"Zcchc18"	chrNC_000086.8	+	135894679	135894819	135894684	135894819	135894455	135894510	72	189,191,191,200	7,9,5,5	165,145,169,171	8,3,11,4	154	149	0.631886016206135	0.922744510326092	0.963,0.954,0.974,0.975	0.952,0.979,0.937,0.976	0.005
73	"gene-Tceal3"	"Tceal3"	chrNC_000086.8	+	135567808	135567939	135567872	135567939	135493654	135493712	73	10,4,11,13	0,2,0,2	9,4,1,3	1,0,0,0	213	149	0.694073305545514	0.953196803837143	1.0,0.583,1.0,0.82	0.863,1.0,1.0,1.0	-0.115
74	"gene-Tceal3"	"Tceal3"	chrNC_000086.8	+	135567808	135567939	135567872	135567939	135494950	135494999	74	10,5,11,13	15,19,13,15	9,5,2,6	24,19,26,14	213	149	0.0285627724279656	0.440613361864617	0.318,0.155,0.372,0.377	0.208,0.155,0.051,0.231	0.144
75	"gene-Tceal3"	"Tceal3"	chrNC_000086.8	+	135567808	135567939	135567872	135567939	135546494	135546616	75	10,4,10,12	12,8,1,0	12,6,2,3	4,5,7,1	213	149	0.566823272181683	0.89058433179861	0.368,0.259,0.875,1.0	0.677,0.456,0.167,0.677	0.131
76	"gene-Tceal3"	"Tceal3"	chrNC_000086.8	+	135567808	135567939	135567872	135567939	135567123	135567304	76	17,16,19,23	47,63,65,60	22,11,14,9	56,65,63,63	213	149	0.133166139435661	0.612917200138506	0.202,0.151,0.17,0.211	0.216,0.106,0.135,0.091	0.046
77	"gene-Bex3"	"Bex3"	chrNC_000086.8	+	135172011	135172727	135172057	135172727	135171001	135171150	77	153,157,156,149	0,0,0,1	157,128,178,155	0,0,0,0	195	149	0.316406618128626	0.748559699187024	1.0,1.0,1.0,0.991	1.0,1.0,1.0,1.0	-0.002
78	"gene-Bex3"	"Bex3"	chrNC_000086.8	+	135172011	135172727	135172016	135172727	135171558	135171631	78	522,533,535,519	13,26,27,23	519,508,595,498	25,29,31,18	154	149	0.331802270797892	0.756571315710713	0.975,0.952,0.95,0.956	0.953,0.944,0.949,0.964	0.006
79	"gene-Bex3"	"Bex3"	chrNC_000086.8	+	135172011	135172727	135172057	135172727	135171558	135171631	79	668,683,684,653	109,95,130,83	668,626,755,645	81,101,128,94	195	149	0.730024777930075	0.970588986285142	0.824,0.846,0.801,0.857	0.863,0.826,0.818,0.84	-0.005
80	"gene-Bex3"	"Bex3"	chrNC_000086.8	+	135172016	135172727	135172057	135172727	135171558	135171631	80	159,176,176,157	109,95,130,83	174,147,191,165	81,101,128,94	190	149	0.650886267095352	0.933094449799364	0.534,0.592,0.515,0.597	0.628,0.533,0.539,0.579	-0.01
85	"gene-Gprasp2"	"Gprasp2"	chrNC_000086.8	+	134740493	134740621	134740531	134740621	134739813	134740011	85	50,62,70,71	20,28,33,41	37,34,36,38	15,33,31,15	187	149	0.292828127419416	0.741277265997944	0.666,0.638,0.628,0.58	0.663,0.451,0.481,0.669	0.062
86	"gene-Gprasp2"	"Gprasp2"	chrNC_000086.8	+	134740493	134740621	134740550	134740621	134739813	134740011	86	65,80,84,85	0,4,4,0	49,44,55,47	2,3,10,2	206	149	0.0218174211191856	0.408728017090558	1.0,0.935,0.938,1.0	0.947,0.914,0.799,0.944	0.067
87	"gene-Gprasp2"	"Gprasp2"	chrNC_000086.8	+	134740531	134740621	134740550	134740621	134739813	134740011	87	35,46,47,55	0,4,4,0	27,43,50,24	2,3,10,2	168	149	0.0420814025678607	0.46345651361404	1.0,0.911,0.912,1.0	0.923,0.927,0.816,0.914	0.061
88	"gene-3632454L22Rik"	"3632454L22Rik"	chrNC_000086.8	-	133923158	133926182	133923158	133926043	133930617	133930793	88	0,2,0,1	0,0,1,0	1,1,0,0	1,1,0,0	288	149	0.0290251084728786	0.441873010947641	NA,1.0,0.0,1.0	0.341,0.341,NA,NA	0.326
89	"gene-Nxf2"	"Nxf2"	chrNC_000086.8	-	133850435	133850633	133850435	133850615	133851095	133851168	89	0,0,0,0	3,0,0,0	0,1,0,0	0,0,0,1	167	149	NA	NA	0.0,NA,NA,NA	NA,1.0,NA,0.0	-0.5
90	"gene-Armcx2"	"Armcx2"	chrNC_000086.8	-	133708010	133708145	133708010	133708076	133708369	133708474	90	21,23,18,17	8,11,18,11	25,16,9,16	17,11,7,13	218	149	0.521455679445235	0.863485748758776	0.642,0.588,0.406,0.514	0.501,0.499,0.468,0.457	0.056
91	"gene-Armcx2"	"Armcx2"	chrNC_000086.8	-	133708983	133709248	133708983	133709191	133709667	133709970	91	91,114,136,111	2,12,16,7	124,89,82,94	9,2,15,12	206	149	0.713792844301194	0.963530201057889	0.971,0.873,0.86,0.92	0.909,0.97,0.798,0.85	0.024
92	"gene-Armcx3"	"Armcx3"	chrNC_000086.8	+	133657984	133658091	133658012	133658091	133657300	133657479	92	12,12,11,12	78,83,102,73	18,17,14,8	60,83,77,70	177	149	0.142591553364469	0.62377797490109	0.115,0.109,0.083,0.122	0.202,0.147,0.133,0.088	-0.035
93	"gene-Armcx6"	"Armcx6"	chrNC_000086.8	-	133651689	133651932	133651689	133651782	133652078	133652307	93	19,15,13,12	27,39,50,39	13,8,20,12	36,34,38,25	298	149	0.855229156893689	0.999202115572178	0.26,0.161,0.115,0.133	0.153,0.105,0.208,0.194	0.002
94	"gene-Armcx4"	"Armcx4"	chrNC_000086.8	+	133589965	133597506	133590170	133597506	133589568	133589653	94	149,152,152,164	23,23,28,28	88,92,104,115	20,22,27,27	298	149	0.008032308246395	0.339150327308634	0.764,0.768,0.731,0.745	0.688,0.676,0.658,0.68	0.077
95	"gene-Drp2"	"Drp2"	chrNC_000086.8	+	133327800	133327926	133327805	133327926	133324524	133324702	95	0,1,3,0	1,4,2,1	0,0,2,0	5,1,1,0	154	149	0.777342854024255	0.99815392476885	0.0,0.195,0.592,0.0	0.0,0.0,0.659,NA	-0.023
96	"gene-Cstf2"	"Cstf2"	chrNC_000086.8	+	132973884	132974026	132973962	132974026	132970593	132970656	96	68,45,60,53	10,4,14,3	59,81,58,56	9,3,13,14	227	149	0.781516826184871	0.999202115572178	0.817,0.881,0.738,0.921	0.811,0.947,0.745,0.724	0.032
97	"gene-Cstf2"	"Cstf2"	chrNC_000086.8	+	132973884	132974026	132973962	132974026	132973163	132973223	97	47,39,46,46	18,21,11,14	47,67,52,50	14,9,12,22	227	149	0.210369275046788	0.686609399630111	0.632,0.549,0.733,0.683	0.688,0.83,0.74,0.599	-0.065
98	"gene-Cstf2"	"Cstf2"	chrNC_000086.8	+	132973884	132974026	132973962	132974026	132973426	132973513	98	47,35,38,41	14,23,10,7	39,55,40,43	6,13,14,6	227	149	0.23478553556847	0.705860649559768	0.688,0.5,0.714,0.794	0.81,0.735,0.652,0.825	-0.082
100	"gene-Chm"	"Chm"	chrNC_000086.8	-	112025712	112026127	112025712	112026123	112049032	112049157	100	41,28,33,20	2,0,2,0	18,20,24,18	0,1,1,0	153	149	0.811810353877911	0.999202115572178	0.952,1.0,0.941,1.0	1.0,0.951,0.959,1.0	-0.004
103	"gene-Rps6ka6"	"Rps6ka6"	chrNC_000086.8	-	110309904	110309981	110309904	110309966	110314374	110314536	103	43,66,41,33	48,27,29,31	39,51,47,45	28,25,24,24	164	149	0.239726253482257	0.711278624918807	0.449,0.69,0.562,0.492	0.559,0.65,0.64,0.63	-0.072
106	"gene-Atp7a"	"Atp7a"	chrNC_000086.8	+	105131940	105132123	105131943	105132123	105129694	105130420	106	8,12,7,12	26,12,14,16	10,7,4,7	9,11,9,14	152	149	0.689856261766611	0.950998937097774	0.232,0.495,0.329,0.424	0.521,0.384,0.303,0.329	-0.014
107	"gene-Gm33605"	"Gm33605"	chrNC_000086.8	-	104190547	104190959	104190547	104190667	104192108	104192187	107	0,0,6,1	0,1,0,0	0,2,0,0	0,0,0,0	298	149	0.0600275772850917	0.485567354938867	NA,0.0,1.0,1.0	NA,1.0,NA,NA	-0.333
108	"gene-Gm33605"	"Gm33605"	chrNC_000086.8	-	104190547	104191152	104190547	104190667	104192108	104192187	108	0,0,9,0	0,1,0,0	0,4,0,3	0,0,0,0	298	149	0.0573521438288612	0.485567354938867	NA,0.0,1.0,NA	NA,1.0,NA,1.0	-0.5
109	"gene-Gm33605"	"Gm33605"	chrNC_000086.8	-	104190547	104191152	104190547	104190959	104192108	104192187	109	1,1,10,1	0,0,0,1	1,5,3,3	0,0,0,0	298	149	0.403184351556009	0.794265766395961	1.0,1.0,1.0,0.333	1.0,1.0,1.0,1.0	-0.167
111	"gene-Gm39529"	"Gm39529"	chrNC_000086.8	-	102070247	102070384	102070247	102070340	102070652	102070871	111	0,0,0,0	0,0,1,0	0,0,1,0	0,0,0,0	193	149	0.0640437076726518	0.485567354938867	NA,NA,0.0,NA	NA,NA,1.0,NA	-1.0
112	"gene-Dmrtc1a"	"Dmrtc1a"	chrNC_000086.8	-	101946826	101947452	101946826	101947369	101948355	101948485	112	3,7,2,2	0,0,0,0	3,5,3,0	0,0,1,2	232	149	0.458229743080002	0.825774615569241	1.0,1.0,1.0,1.0	1.0,1.0,0.658,0.0	0.336
113	"gene-Phka1"	"Phka1"	chrNC_000086.8	-	101659516	101659939	101659516	101659663	101660922	101661021	113	2,1,5,1	5,8,9,9	0,0,0,0	4,3,3,2	298	149	0.0200404244267145	0.399258454616194	0.167,0.059,0.217,0.053	0.0,0.0,0.0,0.0	0.124
114	"gene-Rps4x"	"Rps4x"	chrNC_000086.8	-	101231427	101231608	101231427	101231578	101231899	101231977	114	2622,3133,3117,2646	0,1,0,0	2733,2496,2753,2922	0,0,1,0	179	149	0.999202115572178	0.999202115572178	1.0,1.0,1.0,1.0	1.0,1.0,1.0,1.0	0.0
116	"gene-Ogt"	"Ogt"	chrNC_000086.8	+	100686581	100686762	100686611	100686762	100683823	100683928	116	87,104,103,81	199,279,157,201	68,75,60,80	117,125,86,145	179	149	0.0478644779440683	0.4796583791212	0.267,0.237,0.353,0.251	0.326,0.333,0.367,0.315	-0.058
117	"gene-Taf1"	"Taf1"	chrNC_000086.8	+	100584365	100584607	100584428	100584607	100582673	100582793	117	68,68,44,47	20,5,16,19	26,26,27,28	15,8,12,15	212	149	0.101199998008006	0.568372261121638	0.705,0.905,0.659,0.635	0.549,0.696,0.613,0.567	0.12
119	"gene-Itgb1bp2"	"Itgb1bp2"	chrNC_000086.8	+	100506745	100520391	100507485	100520391	100501354	100501413	119	0,3,1,0	0,0,0,1	1,5,1,1	0,0,0,0	298	149	0.358268282026759	0.771599061584663	NA,1.0,1.0,0.0	1.0,1.0,1.0,1.0	-0.333
120	"gene-Zmym3"	"Zmym3"	chrNC_000086.8	-	100460514	100460587	100460514	100460581	100460892	100460936	120	98,111,105,92	81,81,75,76	98,83,100,57	78,75,57,50	155	149	0.999202115572178	0.999202115572178	0.538,0.568,0.574,0.538	0.547,0.515,0.628,0.523	0.001
122	"gene-Slc7a3"	"Slc7a3"	chrNC_000086.8	-	100128426	100128584	100128426	100128565	100128877	100129063	122	0,0,0,1	0,0,0,1	1,0,0,0	1,0,0,0	168	149	NA	NA	NA,NA,NA,0.47	0.47,NA,NA,NA	0.0
124	"gene-Eda"	"Eda"	chrNC_000086.8	+	99438624	99438749	99438633	99438749	99435938	99435990	124	6,6,11,7	0,0,1,0	9,6,13,7	0,0,0,0	158	149	0.27929845535277	0.735712313250336	1.0,1.0,0.912,1.0	1.0,1.0,1.0,1.0	-0.022
125	"gene-Pja1"	"Pja1"	chrNC_000086.8	-	98509343	98511188	98509343	98511179	98511728	98511920	125	136,107,173,123	7,13,13,18	109,105,102,126	12,10,9,8	158	149	0.79058065977567	0.999202115572178	0.948,0.886,0.926,0.866	0.895,0.908,0.914,0.937	-0.007
126	"gene-Pja1"	"Pja1"	chrNC_000086.8	-	98509343	98511920	98509343	98511914	98514222	98514306	126	383,408,407,420	1,0,2,2	351,341,285,323	0,7,10,2	155	149	0.272206818220967	0.734104137153357	0.997,1.0,0.995,0.995	1.0,0.979,0.965,0.994	0.012
127	"gene-Pja1"	"Pja1"	chrNC_000086.8	-	98509343	98512206	98509343	98511914	98514222	98514306	127	52,40,45,58	1,0,2,2	47,40,42,60	0,7,10,2	298	149	0.37395541347065	0.779490292765214	0.963,1.0,0.918,0.935	1.0,0.741,0.677,0.938	0.115
128	"gene-Pja1"	"Pja1"	chrNC_000086.8	-	98509343	98512206	98509343	98511920	98514222	98514306	128	46,34,41,48	375,400,401,409	37,30,42,56	340,331,283,317	298	149	0.242158774109111	0.713099783340224	0.058,0.041,0.049,0.055	0.052,0.043,0.069,0.081	-0.01
130	"gene-Las1l"	"Las1l"	chrNC_000086.8	-	94963650	94964398	94963650	94964395	94964751	94964798	130	0,12,7,4	0,2,4,1	5,6,6,8	2,0,0,0	152	149	0.00943114177270854	0.339150327308634	NA,0.855,0.632,0.797	0.71,1.0,1.0,1.0	-0.166
131	"gene-Las1l"	"Las1l"	chrNC_000086.8	-	94980977	94981128	94980977	94981125	94983904	94984554	131	154,156,96,114	15,11,4,5	118,110,115,115	12,8,13,14	152	149	0.0414058826491625	0.462179176597408	0.91,0.933,0.959,0.957	0.906,0.931,0.897,0.89	0.034
132	"gene-Zc4h2"	"Zc4h2"	chrNC_000086.8	-	94685769	94685964	94685769	94685932	94686913	94687086	132	0,0,0,0	137,140,145,159	1,0,0,0	130,115,121,147	181	149	0.137676703822929	0.618134507116051	0.0,0.0,0.0,0.0	0.006,0.0,0.0,0.0	-0.002
