Geneid,Chr,Strand,NExons,P.Value,FDR
gene-D430041D05Rik,NC_000068.8,-,25,2.85918086952919e-08,4.99699813319203e-06
gene-Herc1,NC_000075.7,+,86,3.00413360490156e-08,5.13947205853204e-06
gene-Nf1,NC_000077.7,+,62,3.02017997717803e-08,5.13947205853204e-06
gene-Thsd7a,NC_000072.7,-,28,3.57629032417579e-08,6.00677438474876e-06
gene-Acaca,NC_000077.7,+,58,4.01847173670921e-08,6.66293525267439e-06
gene-Rev3l,NC_000076.7,+,35,4.26634036251189e-08,6.98437720359067e-06
gene-Plxna1,NC_000072.7,-,32,4.73538724243365e-08,7.65534540079929e-06
gene-Nsd1,NC_000079.7,+,33,4.95877424800333e-08,7.91750954931199e-06
gene-Kidins220,NC_000078.7,+,39,5.22021711431983e-08,8.23330096823151e-06
gene-Dhx9,NC_000067.7,-,33,5.29394408252299e-08,8.24898539991203e-06
gene-Hmgcr,NC_000079.7,-,22,5.41556306418032e-08,8.33803298917192e-06
gene-Unc79,NC_000078.7,+,58,5.59582865243589e-08,8.51421787787686e-06
gene-Cep350,NC_000067.7,-,39,6.26443882621577e-08,9.42069620226146e-06
gene-Vps13c,NC_000075.7,+,85,6.4028249536216e-08,9.43420428415663e-06
gene-Zfr,NC_000081.7,+,23,6.45937293159815e-08,9.43420428415663e-06
gene-Tet3,NC_000072.7,-,14,6.49226151155911e-08,9.43420428415663e-06
gene-Ripor1,NC_000074.7,+,25,7.63594807889762e-08,1.09340002091213e-05
gene-Vps13d,NC_000070.7,-,78,7.69345100927888e-08,1.09340002091213e-05
gene-Sptbn2,NC_000085.7,+,37,8.23173732946617e-08,1.15718542263028e-05
gene-Kif1b,NC_000070.7,-,54,8.37876492554246e-08,1.1616077989926e-05
gene-Pik3r1,NC_000079.7,-,19,8.44283098316747e-08,1.1616077989926e-05
gene-Myh10,NC_000077.7,+,41,8.69764713435139e-08,1.18407021461649e-05
gene-Nrcam,NC_000078.7,+,39,1.00326334435993e-07,1.35158383672989e-05
gene-Pds5b,NC_000071.7,+,36,1.06678969240556e-07,1.42234959710114e-05
gene-Sorl1,NC_000075.7,-,48,1.17925361592349e-07,1.55625377701413e-05
gene-Ptprs,NC_000083.7,-,34,1.22999516781604e-07,1.60682096013787e-05
gene-Aff4,NC_000077.7,+,22,1.27333063656957e-07,1.63846926092666e-05
gene-Serinc2,NC_000070.7,-,20,1.27955923106466e-07,1.63846926092666e-05
gene-Tenm2,NC_000077.7,-,37,1.32164071030436e-07,1.67576267709474e-05
gene-Wnk1,NC_000072.7,-,38,1.37062706020776e-07,1.72100191938514e-05
gene-Wdr33,NC_000084.7,+,29,1.40779804665192e-07,1.75067809012974e-05
gene-Snrnp200,NC_000068.8,+,45,1.468923113562e-07,1.80929358359023e-05
gene-Nfasc,NC_000067.7,-,39,1.52884211723265e-07,1.86533161341225e-05
gene-Atp2b1,NC_000076.7,+,26,1.56847671254413e-07,1.89580460965731e-05
gene-Ogt,NC_000086.8,+,25,1.5987385386827e-07,1.91448940007254e-05
gene-Zfp871,NC_000083.7,-,4,1.63969023081178e-07,1.94551502340264e-05
gene-Rai1,NC_000077.7,+,12,1.71960992424073e-07,2.02179228638231e-05
gene-Akap6,NC_000078.7,+,16,1.8068225758104e-07,2.09981251630092e-05
gene-Kif21b,NC_000067.7,+,36,1.82486001061963e-07,2.09981251630092e-05
gene-Kmt2d,NC_000081.7,-,65,1.83467729329625e-07,2.09981251630092e-05
gene-Grik5,NC_000073.7,-,32,1.98715430895755e-07,2.25437426997789e-05
gene-Dlg4,NC_000077.7,+,29,2.08149131989014e-07,2.32614709447511e-05
gene-Trim67,NC_000074.7,+,10,2.08639188865006e-07,2.32614709447511e-05
gene-Crebbp,NC_000082.7,-,34,2.16377997484268e-07,2.39180909526841e-05
gene-Neo1,NC_000075.7,-,32,2.31385199924676e-07,2.53602100900494e-05
gene-Fem1b,NC_000075.7,-,2,2.54496754459504e-07,2.7658878364914e-05
gene-Nrxn2,NC_000085.7,+,25,2.62986904326944e-07,2.83434136138364e-05
gene-Atrx,NC_000086.8,-,35,2.79221076728376e-07,2.98443486390751e-05
gene-Rasa1,NC_000079.7,-,28,2.9020615172309e-07,3.07642308215961e-05
gene-Tmod2,NC_000075.7,-,10,3.36200106532168e-07,3.53502112014677e-05
gene-Bahcc1,NC_000077.7,+,31,3.60924532066221e-07,3.74922091051771e-05
gene-Klhl24,NC_000082.7,+,12,3.6236960783632e-07,3.74922091051771e-05
gene-Enc1,NC_000079.7,+,4,3.6621716541473e-07,3.75895761929262e-05
gene-Pcm1,NC_000074.7,+,41,3.87225039830036e-07,3.9432924725369e-05
gene-Eif4g1,NC_000082.7,+,38,4.21866735208937e-07,4.24279661002221e-05
gene-Usp34,NC_000077.7,+,82,4.23197063862109e-07,4.24279661002221e-05
gene-Gm38667,NC_000084.7,+,4,4.27472109927122e-07,4.25268984437498e-05
gene-Cic,NC_000073.7,+,25,4.38160072058245e-07,4.29362031946655e-05
gene-Prrc2b,NC_000068.8,+,35,4.38477153331765e-07,4.29362031946655e-05
gene-Mki67,NC_000073.7,-,14,4.41546046925733e-07,4.29362031946655e-05
gene-Pik3c3,NC_000084.7,+,28,4.61495472556956e-07,4.4541201093874e-05
gene-Ncan,NC_000074.7,-,15,4.67702105527592e-07,4.48058617095433e-05
gene-Cacna1e,NC_000067.7,-,60,5.12799600072906e-07,4.87649796157566e-05
gene-Hspa4,NC_000077.7,-,19,5.32778257242973e-07,5.02950452622143e-05
gene-Dmxl2,NC_000075.7,-,48,5.63853506510257e-07,5.28428797079504e-05
gene-Ubr5,NC_000081.7,-,67,5.72269944535556e-07,5.32354029098998e-05
gene-Cnr1,NC_000070.7,+,11,5.76274368467175e-07,5.32354029098998e-05
gene-Lmbrd2,NC_000081.7,+,22,5.91429016885141e-07,5.38883516102437e-05
gene-Ubr3,NC_000068.8,+,45,5.91676017061363e-07,5.38883516102437e-05
gene-L1cam,NC_000086.8,-,31,6.02658476920497e-07,5.45047698042852e-05
gene-Tmx4,NC_000068.8,-,8,6.36517011919714e-07,5.68482334316639e-05
gene-Ppp1r9a,NC_000072.7,+,24,6.37361311960973e-07,5.68482334316639e-05
gene-Gnai3,NC_000069.7,-,9,6.66739774267091e-07,5.90612705520294e-05
gene-Rictor,NC_000081.7,+,40,6.81450069670698e-07,5.99536989867424e-05
gene-Clasp2,NC_000075.7,+,49,7.27284813645776e-07,6.35538817221677e-05
gene-Mtcl2,NC_000068.8,-,16,7.42262262372702e-07,6.44273680487662e-05
gene-Chd4,NC_000072.7,+,44,8.55895463811197e-07,7.33351361512489e-05
gene-Abca1,NC_000070.7,-,50,8.56228683123682e-07,7.33351361512489e-05
gene-Hcfc1,NC_000086.8,-,28,8.79725680832754e-07,7.46350824736468e-05
gene-Zfp704,NC_000069.7,-,9,8.82948087718855e-07,7.46350824736468e-05
gene-Cntn1,NC_000081.7,+,28,8.89854029721121e-07,7.47304036778133e-05
gene-Kif5b,NC_000084.7,-,26,9.11148949968505e-07,7.60250927093076e-05
gene-Eprs1,NC_000067.7,+,33,9.3286187541207e-07,7.73378374019506e-05
gene-Kat6a,NC_000074.7,+,19,1.00619459401268e-06,8.28860807921404e-05
gene-Sbf2,NC_000073.7,-,46,1.04290755574793e-06,8.5366603914481e-05
gene-Copa,NC_000067.7,+,36,1.06452040144845e-06,8.65876877480053e-05
gene-Tet2,NC_000069.7,-,13,1.14037130263848e-06,9.21776378563965e-05
gene-Fzd3,NC_000080.7,-,7,1.39016435523409e-06,0.000111670780162996
gene-Eif3a,NC_000085.7,-,22,1.53623244224422e-06,0.000122642556639164
gene-Tulp4,NC_000083.7,+,22,1.55246454884096e-06,0.000123178061412025
gene-Ranbp2,NC_000076.7,+,29,1.64355993049182e-06,0.000128949804977361
gene-Pcdhac2,NC_000084.7,+,4,1.64514944879491e-06,0.000128949804977361
gene-Cntnap2,NC_000072.7,+,27,1.69287249380956e-06,0.000131891084111078
gene-Snap91,NC_000075.7,-,34,1.87629018410982e-06,0.000145305754198158
gene-Tomm70a,NC_000082.7,+,12,1.90824738164646e-06,0.00014641424291354
gene-Gpatch8,NC_000077.7,-,17,1.91324573203343e-06,0.00014641424291354
gene-Pcdh9,NC_000080.7,-,9,1.92988037759154e-06,0.000146818487784655
gene-Myo9a,NC_000075.7,+,47,1.94154206502666e-06,0.000146841891970701
gene-Srcin1,NC_000077.7,-,35,2.00020833906775e-06,0.000150399386332344
gene-Kdm6b,NC_000077.7,-,34,2.08554780912868e-06,0.000155909767719429
gene-Scn2a,NC_000068.8,+,32,2.12232589284904e-06,0.000157194704605719
gene-Atp8a1,NC_000071.7,-,40,2.1292904425461e-06,0.000157194704605719
gene-Plcxd2,NC_000082.7,-,4,2.13919956781926e-06,0.000157194704605719
gene-Arhgap35,NC_000073.7,-,10,2.17065721778905e-06,0.000158605140099807
gene-Ylpm1,NC_000078.7,+,23,2.18819847539412e-06,0.000158988600462203
gene-Mical3,NC_000072.7,-,40,2.23987374709845e-06,0.000161834006543152
gene-Hnrnpd,NC_000071.7,-,13,2.2572671291407e-06,0.000162184643228759
gene-Setbp1,NC_000084.7,-,6,2.62824735746688e-06,0.000187796260078007
gene-Plxnb2,NC_000081.7,-,43,2.72196863412579e-06,0.000193424287610708
gene-Dpysl2,NC_000080.7,-,15,2.76074824042402e-06,0.000194095225039955
gene-Smarca4,NC_000075.7,+,40,2.76142591876221e-06,0.000194095225039955
gene-Myo16,NC_000074.7,+,35,2.87700802337664e-06,0.000201126187926109
gene-Spag9,NC_000077.7,+,34,3.12055155273031e-06,0.00021697899586807
gene-Chd8,NC_000080.7,-,40,3.18911914533961e-06,0.000220560844420734
gene-Trip12,NC_000067.7,-,50,3.33865495925566e-06,0.000229674598872625
gene-Celsr3,NC_000075.7,+,47,3.42717483240463e-06,0.000234516677817403
gene-Drosha,NC_000081.7,+,36,3.45165144732501e-06,0.000234948464043444
gene-Megf8,NC_000073.7,+,41,3.57105589647516e-06,0.000241803486435148
gene-Pcdha4b,NC_000084.7,+,4,3.6106381427989e-06,0.000242164706252179
gene-Ptpro,NC_000072.7,+,27,3.6138396587544e-06,0.000242164706252179
gene-Clstn2,NC_000075.7,-,19,3.66265244505449e-06,0.000244170536453039
gene-Taok1,NC_000077.7,-,30,3.86379361837085e-06,0.000256258681366103
gene-Anapc1,NC_000068.8,-,50,3.89514839378848e-06,0.000257020174371767
gene-Scd2,NC_000085.7,+,6,3.95867737530382e-06,0.000259886164948245
gene-Baz1b,NC_000071.7,+,21,4.01564612699368e-06,0.000262294703840451
gene-Ash1l,NC_000069.7,+,34,4.04940924380607e-06,0.00026270062315598
gene-Map4k4,NC_000067.7,+,38,4.06248547368715e-06,0.00026270062315598
gene-Rfx7,NC_000075.7,+,14,4.08317577276747e-06,0.000262724936662695
gene-Ddx6,NC_000075.7,+,19,4.14967486266264e-06,0.000265681905934732
gene-Cand1,NC_000076.7,-,15,4.17968495202645e-06,0.00026628505164807
gene-Shank1,NC_000073.7,+,36,4.41130285235927e-06,0.00027872048507741
gene-Adgrl1,NC_000074.7,+,38,4.41797722422246e-06,0.00027872048507741
gene-Fasn,NC_000077.7,-,44,4.44082940657795e-06,0.000278802168520741
gene-Vars1,NC_000083.7,+,32,4.52287908102522e-06,0.000282581619105793
gene-Ythdf3,NC_000069.7,+,10,4.71456875747915e-06,0.000293141912213836
gene-Wdr7,NC_000084.7,+,30,4.83687832145546e-06,0.000299307881968342
gene-Klhl11,NC_000077.7,-,4,5.09780552583805e-06,0.000313951994598398
gene-Bptf,NC_000077.7,-,40,5.2524066769333e-06,0.00032194016849658
gene-Setd2,NC_000075.7,+,24,5.61794819221105e-06,0.000341361494507932
gene-Nexmif,NC_000086.8,-,9,5.62205198563284e-06,0.000341361494507932
gene-Usp47,NC_000073.7,+,29,5.64933567677464e-06,0.000341415225737039
gene-Dhx57,NC_000083.7,-,34,5.92019171186421e-06,0.000356120183300185
gene-Gnaq,NC_000085.7,+,7,6.26640012681245e-06,0.000373799888715383
gene-D630045J12Rik,NC_000072.7,-,20,6.27190720260096e-06,0.000373799888715383
gene-Bdp1,NC_000079.7,-,45,6.39347828052244e-06,0.000379297498174297
gene-Arhgef12,NC_000075.7,-,45,6.56535259292265e-06,0.000387715548329994
gene-Ddx17,NC_000081.7,-,19,6.62907756566593e-06,0.000388232173149644
gene-Usp24,NC_000070.7,+,72,6.6341382715589e-06,0.000388232173149644
gene-Kdm5b,NC_000067.7,+,30,7.00460477401133e-06,0.000408065556496795
gene-Erc1,NC_000072.7,-,24,7.11638550649829e-06,0.000412718447334271
gene-Bclaf1,NC_000076.7,+,21,7.39904351739315e-06,0.000427195668796632
gene-Plk2,NC_000079.7,+,14,7.4865898013985e-06,0.000429338404616782
gene-Nova2,NC_000073.7,+,6,7.50255002268559e-06,0.000429338404616782
gene-Zyg11b,NC_000070.7,-,14,7.76123822117045e-06,0.000442185435746244
gene-Serinc1,NC_000076.7,-,9,8.00182687286415e-06,0.00045389310064365
gene-Ids,NC_000086.8,-,15,8.06465542076949e-06,0.000455459338676034
gene-Tanc2,NC_000077.7,+,30,8.15557456368356e-06,0.000458591503617911
gene-Zdbf2,NC_000067.7,+,5,8.1955533868939e-06,0.000458844553907787
gene-Zfp445,NC_000075.7,-,11,8.39360967303286e-06,0.000467907559919543
gene-Celf1,NC_000068.8,+,18,8.68132912505259e-06,0.000481869654825344
gene-Caprin1,NC_000068.8,-,26,8.73111829679357e-06,0.000482562192018937
gene-Dcc,NC_000084.7,-,32,8.8146069654751e-06,0.000485103454827615
gene-Dpp10,NC_000067.7,-,26,8.87352274388645e-06,0.000485790440684591
gene-Jakmip1,NC_000071.7,+,26,8.90221406033001e-06,0.000485790440684591
gene-Picalm,NC_000073.7,+,26,9.38062875904088e-06,0.000509746519918805
gene-Cxadr,NC_000082.7,+,10,9.50456228693191e-06,0.000514320100656445
gene-Ncam1,NC_000075.7,-,28,9.68828022389373e-06,0.000522077200565073
gene-Marchf6,NC_000081.7,-,27,9.88007446731335e-06,0.000530203332306073
gene-Rbfox1,NC_000082.7,+,29,9.97075698817051e-06,0.000532858678214914
gene-Spindoc,NC_000085.7,-,12,1.03635946382721e-05,0.000551573536859149
gene-Atp13a3,NC_000082.7,-,36,1.04634688539728e-05,0.000554606732329633
gene-Apc2,NC_000076.7,+,19,1.06008000240104e-05,0.000559592435553169
gene-Tenm3,NC_000074.7,-,37,1.08456201719367e-05,0.000570188640990478
gene-Slc25a36,NC_000075.7,-,9,1.10276025342301e-05,0.000577408840385414
gene-Zfp292,NC_000070.7,-,11,1.16410654264294e-05,0.000607072174032304
gene-Cnot1,NC_000074.7,-,56,1.18437236832181e-05,0.000615160154197026
gene-Ep300,NC_000081.7,+,34,1.1904078291608e-05,0.000615821778181466
gene-Chd9,NC_000074.7,+,43,1.20383462815916e-05,0.000620286583505275
gene-Dapk1,NC_000079.7,+,29,1.2406330040241e-05,0.000635026441484028
gene-Sf3b1,NC_000067.7,-,31,1.24226157655191e-05,0.000635026441484028
gene-Bltp1,NC_000069.7,+,91,1.25085628410734e-05,0.000636870245442172
gene-Tenm4,NC_000073.7,+,37,1.2557172549892e-05,0.000636870245442172
gene-Syn3,NC_000076.7,-,19,1.26242396316032e-05,0.000637770668576268
gene-Gnas,NC_000068.8,+,28,1.36103076997163e-05,0.00068491093183047
gene-Stt3b,NC_000075.7,-,16,1.385173195994e-05,0.000694358331154665
gene-Psd2,NC_000084.7,+,24,1.44049889101386e-05,0.000719303944304335
gene-Psd,NC_000085.7,-,32,1.4697469140128e-05,0.000728478651591429
gene-Myo5a,NC_000075.7,+,42,1.47045667211902e-05,0.000728478651591429
gene-Grin2b,NC_000072.7,-,18,1.48052131208866e-05,0.000728478651591429
gene-Mef2c,NC_000079.7,+,21,1.48394102508704e-05,0.000728478651591429
gene-Dnajc13,NC_000075.7,-,57,1.48703598561925e-05,0.000728478651591429
gene-Slc6a17,NC_000069.7,-,17,1.51817400050662e-05,0.000740926201832154
gene-Oga,NC_000085.7,-,18,1.52891865010258e-05,0.000743364845931451
gene-Srgap2,NC_000067.7,-,29,1.54068822110794e-05,0.000746281676538915
gene-Cbx5,NC_000081.7,-,9,1.54891570194615e-05,0.000747467416913044
gene-Taf1,NC_000086.8,+,45,1.58094283455808e-05,0.000760086753878799
gene-Mapkbp1,NC_000068.8,+,35,1.60543285606965e-05,0.0007670875081405
gene-Lrig2,NC_000069.7,-,20,1.61264436254094e-05,0.0007670875081405
gene-Tsc22d1,NC_000080.7,+,21,1.61329778252699e-05,0.0007670875081405
gene-Srgap3,NC_000072.7,-,28,1.68361041239014e-05,0.000797587306353174
gene-Prrc2c,NC_000067.7,-,40,1.72757709459635e-05,0.000815428998701264
gene-Tle4,NC_000085.7,-,22,1.74794690941871e-05,0.00082204354107317
gene-Zfyve16,NC_000079.7,-,18,1.76972593984345e-05,0.000829270492028817
gene-Abr,NC_000077.7,-,28,1.80371925797712e-05,0.000842148056441084
gene-Aplp2,NC_000075.7,-,18,1.81341542462404e-05,0.0008436295570742
gene-Arfgef1,NC_000067.7,-,40,1.88186328084712e-05,0.000872334688573326
gene-Zbtb37,NC_000067.7,-,10,1.9238713765341e-05,0.000888622446882695
gene-Exoc6b,NC_000072.7,-,25,1.96122324303955e-05,0.000902651252748416
gene-Mga,NC_000068.8,+,36,2.02566104143218e-05,0.000929002632937671
gene-Sacs,NC_000080.7,+,15,2.06121174189111e-05,0.000940414806402015
gene-Sox5,NC_000072.7,-,24,2.07220637030998e-05,0.000940414806402015
gene-Syne2,NC_000078.7,+,115,2.07235923470636e-05,0.000940414806402015
gene-Kmt2a,NC_000075.7,-,40,2.17498535846007e-05,0.000981605576263724
gene-Smchd1,NC_000083.7,-,49,2.17830975324897e-05,0.000981605576263724
gene-Snx12,NC_000086.8,-,13,2.26542680049459e-05,0.00100886475602769
gene-Sphkap,NC_000067.7,-,13,2.26602844990045e-05,0.00100886475602769
gene-Zbed6,NC_000067.7,-,18,2.26640046863004e-05,0.00100886475602769
gene-Dclk1,NC_000069.7,+,31,2.27000420632535e-05,0.00100886475602769
gene-Hecw1,NC_000079.7,-,32,2.2812323277477e-05,0.00101038279776579
gene-Atrn,NC_000068.8,+,31,2.33429124032742e-05,0.00102706966339311
gene-Pcdhga3,NC_000084.7,+,4,2.33479069850441e-05,0.00102706966339311
gene-Irs1,NC_000067.7,-,2,2.36816519234506e-05,0.00103821967568131
gene-Ppp1r12b,NC_000067.7,-,27,2.39240003239749e-05,0.00104530100064178
gene-Herc3,NC_000072.7,+,35,2.40150797318426e-05,0.00104574756286842
gene-Mex3a,NC_000069.7,+,2,2.45973888388252e-05,0.00106751016729035
gene-Relch,NC_000067.7,+,33,2.49548758317088e-05,0.00107624001715965
gene-Mapk8ip3,NC_000083.7,-,36,2.4964973722098e-05,0.00107624001715965
gene-Clip1,NC_000071.7,-,31,2.54965809481556e-05,0.00109400906305326
gene-Rfx3,NC_000085.7,-,23,2.55463339551601e-05,0.00109400906305326
gene-Phactr1,NC_000079.7,+,18,2.63858982259602e-05,0.00112623373516945
gene-Tasor2,NC_000079.7,-,22,2.7663394290538e-05,0.00117687723144582
gene-Grip1,NC_000076.7,+,34,2.91239817797746e-05,0.00123495231592729
gene-Robo2,NC_000082.7,-,37,2.93523017686717e-05,0.00123699576257683
gene-Ppfia2,NC_000076.7,+,39,2.93634654845037e-05,0.00123699576257683
gene-Smg1,NC_000073.7,-,64,3.0537358997938e-05,0.00128227163610497
gene-Rrm1,NC_000073.7,+,19,3.08135746930245e-05,0.00128622196718687
gene-Cacna1b,NC_000068.8,-,57,3.08303417480808e-05,0.00128622196718687
gene-Aak1,NC_000072.7,+,28,3.09827704996925e-05,0.00128842498672837
gene-Kifap3,NC_000067.7,+,21,3.12316773604823e-05,0.00129461308750999
gene-Shprh,NC_000076.7,+,34,3.15389203902046e-05,0.00130317206839142
gene-Syt4,NC_000084.7,-,6,3.17303483645938e-05,0.00130690635477481
gene-Agap1,NC_000067.7,+,18,3.19778937776731e-05,0.00130922115499608
gene-Mtor,NC_000070.7,+,60,3.19890114419517e-05,0.00130922115499608
gene-Tmem127,NC_000068.8,+,4,3.22164049962924e-05,0.00131164767359354
gene-Mecp2,NC_000086.8,-,4,3.22511374161251e-05,0.00131164767359354
gene-Osbpl9,NC_000070.7,-,28,3.27342939798868e-05,0.00132074933061443
gene-Zfp106,NC_000068.8,-,25,3.2847345358421e-05,0.00132074933061443
gene-Gtf3c4,NC_000068.8,-,9,3.2850203794984e-05,0.00132074933061443
gene-Kif26b,NC_000067.7,+,16,3.28834210514069e-05,0.00132074933061443
gene-Sall2,NC_000080.7,-,2,3.38609861596904e-05,0.00135580227245596
gene-Tro,NC_000086.8,-,26,3.4783450008385e-05,0.00138843937950137
gene-Pgap1,NC_000067.7,-,27,3.5241814020849e-05,0.00140240732532812
gene-Dpysl5,NC_000071.7,+,15,3.53779529282066e-05,0.0014035063350322
gene-Trim2,NC_000069.7,-,26,3.57438518776883e-05,0.0014136857380249
gene-Pja2,NC_000083.7,-,10,3.61776824892088e-05,0.001426481608637
gene-Ncoa6,NC_000068.8,-,15,3.7905311733338e-05,0.00149005895637465
gene-Zkscan1,NC_000071.7,+,7,3.82997757735446e-05,0.00150100303054319
gene-Pde1b,NC_000081.7,+,18,3.87589364815221e-05,0.00151440883841548
gene-Ttc28,NC_000071.7,+,25,4.03414992974332e-05,0.00157149581449911
gene-Grm5,NC_000073.7,+,18,4.13431599691634e-05,0.00160543015688876
