ID	GeneID	geneSymbol	chr	strand	riExonStart_0base	riExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
40	"gene-Cenpi"	"Cenpi"	chrNC_000086.8	+	133209314	133209596	133209314	133209382	133209475	133209596	40	5,3,2,1	0,3,9,5	6,1,0,0	0,4,0,2	78	39	0.279758535839268	0.704875803492903	1.0,0.333,0.1,0.091	1.0,0.111,NA,0.0	0.011
42	"gene-Nexmif"	"Nexmif"	chrNC_000086.8	-	103120366	103126889	103120366	103124708	103126759	103126889	42	174,165,181,158	4,3,7,12	159,108,114,142	4,3,4,0	78	39	0.14330074863475	0.58889959827634	0.956,0.965,0.928,0.868	0.952,0.947,0.934,1.0	-0.029
43	"gene-Xist"	"Xist"	chrNC_000086.8	-	102503978	102511642	102503978	102504316	102509984	102511642	43	1,8,5,1301	0,0,0,63	1817,1693,6,1708	127,104,1,97	78	39	0.0456168961137612	0.436122781876547	1.0,1.0,1.0,0.912	0.877,0.891,0.75,0.898	0.124
48	"gene-Taf1"	"Taf1"	chrNC_000086.8	+	100642914	100644635	100642914	100642979	100644098	100644635	48	210,230,236,263	3,7,12,8	269,226,256,278	6,7,7,14	78	39	0.901757447088495	0.999202115572178	0.972,0.943,0.908,0.943	0.957,0.942,0.948,0.908	0.003
49	"gene-Itgb1bp2"	"Itgb1bp2"	chrNC_000086.8	+	100506745	100507685	100506745	100506900	100507485	100507685	49	1,0,2,1	0,0,0,2	1,2,0,1	0,0,0,0	78	39	0.153473390350027	0.600015215958357	1.0,NA,1.0,0.2	1.0,1.0,NA,1.0	-0.267
51	"gene-Itgb1bp2"	"Itgb1bp2"	chrNC_000086.8	+	100506745	100520391	100506745	100507685	100508257	100520391	51	3,0,0,4	0,1,0,0	3,1,4,0	0,0,2,0	78	39	0.334772335097383	0.741600983890015	1.0,0.0,NA,1.0	1.0,1.0,0.5,NA	-0.167
52	"gene-Zmym3"	"Zmym3"	chrNC_000086.8	-	100456717	100457267	100456717	100456883	100457094	100457267	52	75,120,98,76	95,83,85,80	81,94,89,95	80,91,72,104	78	39	0.834547844917063	0.999202115572178	0.283,0.42,0.366,0.322	0.336,0.341,0.382,0.314	0.004
53	"gene-Zmym3"	"Zmym3"	chrNC_000086.8	-	100458353	100459012	100458353	100458504	100458793	100459012	53	129,146,137,119	119,93,69,79	143,86,90,129	77,77,92,98	78	39	0.3403213083887	0.744680650620724	0.351,0.44,0.498,0.43	0.481,0.358,0.328,0.397	0.039
54	"gene-Pja1"	"Pja1"	chrNC_000086.8	-	98509343	98511914	98509343	98511188	98511728	98511914	54	767,707,669,772	161,100,127,121	608,613,564,647	124,102,94,107	78	39	0.910978358790236	0.999202115572178	0.704,0.779,0.725,0.761	0.71,0.75,0.75,0.751	0.002
55	"gene-Pja1"	"Pja1"	chrNC_000086.8	-	98509343	98511920	98509343	98511179	98511728	98511920	55	761,707,665,754	13,13,7,18	601,605,563,627	8,10,9,12	78	39	0.725209566124127	0.971396874739392	0.967,0.965,0.979,0.954	0.974,0.968,0.969,0.963	-0.002
56	"gene-Maged1"	"Maged1"	chrNC_000086.8	-	93581281	93581671	93581281	93581361	93581579	93581671	56	362,465,392,373	1344,1170,1273,1331	467,415,437,489	1387,1205,1385,1370	78	39	0.248613900471185	0.681100871748244	0.119,0.166,0.133,0.123	0.144,0.147,0.136,0.151	-0.009
57	"gene-Klhl15"	"Klhl15"	chrNC_000086.8	+	93278300	93279026	93278300	93278731	93278826	93279026	57	7,4,10,1	0,1,1,4	1,1,0,3	0,1,2,0	78	39	0.999202115572178	0.999202115572178	1.0,0.667,0.833,0.111	1.0,0.333,0.0,1.0	0.07
58	"gene-Klhl15"	"Klhl15"	chrNC_000086.8	+	93296020	93299574	93296020	93296732	93297545	93299574	58	0,6,0,0	1,0,1,0	3,1,0,1	0,0,0,0	78	39	0.0887272967061341	0.501271483177406	0.0,1.0,0.0,NA	1.0,1.0,NA,1.0	-0.667
60	"gene-Arx"	"Arx"	chrNC_000086.8	+	92330112	92330529	92330112	92330165	92330283	92330529	60	176,135,119,158	12,8,10,6	170,152,159,174	13,10,12,6	78	39	0.933296290173322	0.999202115572178	0.88,0.894,0.856,0.929	0.867,0.884,0.869,0.935	0.001
62	"gene-Fam3a"	"Fam3a"	chrNC_000086.8	-	73436280	73436856	73436280	73436353	73436704	73436856	62	71,85,88,80	0,2,1,2	87,97,90,85	1,0,3,2	78	39	0.810441718046818	0.999202115572178	1.0,0.955,0.978,0.952	0.978,1.0,0.938,0.955	0.003
63	"gene-Irak1"	"Irak1"	chrNC_000086.8	-	73057519	73059107	73057519	73057731	73059011	73059107	63	65,63,76,75	0,0,0,0	121,97,126,100	0,1,0,1	78	39	0.0130507941101724	0.327812219330967	1.0,1.0,1.0,1.0	1.0,0.98,1.0,0.98	0.01
64	"gene-Pnck"	"Pnck"	chrNC_000086.8	-	72700836	72701119	72700836	72700949	72701043	72701119	64	111,178,134,137	91,100,86,109	151,143,190,138	112,104,124,100	78	39	0.82493625015393	0.999202115572178	0.379,0.471,0.438,0.386	0.403,0.407,0.434,0.408	0.006
67	"gene-Gabrq"	"Gabrq"	chrNC_000086.8	+	71868768	71869210	71868768	71868929	71869028	71869210	67	1,5,1,1	0,0,1,0	0,0,0,0	0,2,0,0	78	39	0.057231567220433	0.46045891553299	1.0,1.0,0.333,1.0	NA,0.0,NA,NA	0.833
69	"gene-Hmgb3"	"Hmgb3"	chrNC_000086.8	+	70601658	70602178	70601658	70601813	70602038	70602178	69	7,15,29,24	615,538,626,577	23,18,14,10	717,557,546,604	78	39	0.608537735459548	0.904824101958787	0.006,0.014,0.023,0.02	0.016,0.016,0.013,0.008	0.003
72	"gene-Slc7a6"	"Slc7a6"	chrNC_000074.7	+	106905733	106906292	106905733	106905919	106906118	106906292	72	95,97,130,111	1,2,1,0	115,96,79,94	1,0,2,0	78	39	0.790914645492371	0.99836298206255	0.979,0.96,0.985,1.0	0.983,1.0,0.952,1.0	-0.003
73	"gene-Slc7a6"	"Slc7a6"	chrNC_000074.7	+	106918970	106919906	106918970	106919066	106919782	106919906	73	48,100,88,84	7,2,8,10	76,60,91,84	1,8,3,3	78	39	0.168686168859467	0.614070994148496	0.774,0.962,0.846,0.808	0.974,0.789,0.938,0.933	-0.061
74	"gene-Slc7a6"	"Slc7a6"	chrNC_000074.7	+	106918970	106919906	106918970	106919115	106919782	106919906	74	46,75,68,72	35,40,37,34	62,57,72,63	51,33,30,36	78	39	0.784149216820079	0.99520874447529	0.397,0.484,0.479,0.514	0.378,0.463,0.545,0.467	0.005
75	"gene-Dus2"	"Dus2"	chrNC_000074.7	+	106756983	106758431	106756983	106757075	106758329	106758431	75	9,31,15,11	15,27,21,23	17,9,8,14	26,12,21,19	78	39	0.429958724322674	0.791673384832624	0.231,0.365,0.263,0.193	0.246,0.273,0.16,0.269	0.026
77	"gene-9130024F11Rik"	"9130024F11Rik"	chrNC_000067.7	+	57010627	57014355	57010627	57010930	57013416	57014355	77	58,50,42,83	137,142,129,130	62,60,60,61	124,91,103,92	78	39	0.0242254750811768	0.366442659991311	0.175,0.15,0.14,0.242	0.2,0.248,0.226,0.249	-0.054
80	"gene-Tk2"	"Tk2"	chrNC_000074.7	-	104953325	104954983	104953325	104954745	104954835	104954983	80	122,99,105,123	5,5,4,5	116,133,145,109	4,4,5,2	78	39	0.193078048071034	0.6351256323677	0.924,0.908,0.929,0.925	0.935,0.943,0.935,0.965	-0.023
81	"gene-Mcf2l"	"Mcf2l"	chrNC_000074.7	+	13068695	13070502	13068695	13068799	13068885	13070502	81	330,345,291,324	45,53,50,41	300,309,315,394	46,49,45,51	78	39	0.953017685510268	0.999202115572178	0.786,0.765,0.744,0.798	0.765,0.759,0.778,0.794	-0.001
82	"gene-Mcf2l"	"Mcf2l"	chrNC_000074.7	+	13068695	13070502	13068695	13068799	13068938	13070502	82	472,463,389,470	150,163,115,185	423,456,445,556	175,124,179,167	78	39	0.999202115572178	0.999202115572178	0.611,0.587,0.628,0.56	0.547,0.648,0.554,0.625	0.003
83	"gene-Cdh8"	"Cdh8"	chrNC_000074.7	-	99752587	99757690	99752587	99756543	99757470	99757690	83	118,105,79,100	2,8,6,15	96,82,92,79	4,7,7,2	78	39	0.717162029177816	0.967631034704687	0.967,0.868,0.868,0.769	0.923,0.854,0.868,0.952	-0.031
84	"gene-Cdh8"	"Cdh8"	chrNC_000074.7	-	99755400	99757690	99755400	99756543	99757507	99757690	84	122,103,81,102	10,19,15,22	97,77,92,85	9,7,13,13	78	39	0.186279384561133	0.626478751660924	0.859,0.73,0.73,0.699	0.843,0.846,0.78,0.766	-0.054
85	"gene-Pip5k1c"	"Pip5k1c"	chrNC_000076.7	+	81150825	81153237	81150825	81150952	81151712	81153237	85	115,162,156,100	81,89,62,77	163,149,108,184	99,109,78,65	78	39	0.967196140350682	0.999202115572178	0.415,0.476,0.557,0.394	0.452,0.406,0.409,0.586	-0.003
86	"gene-Pip5k1c"	"Pip5k1c"	chrNC_000076.7	+	81150825	81153237	81150825	81150952	81153159	81153237	86	135,159,164,123	196,176,184,199	167,149,161,200	173,209,170,212	78	39	0.137214521176888	0.582371308773799	0.256,0.311,0.308,0.236	0.326,0.263,0.321,0.321	-0.03
87	"gene-Pip5k1c"	"Pip5k1c"	chrNC_000076.7	+	81151712	81153237	81151712	81151790	81153159	81153237	87	147,205,185,146	73,77,69,97	188,153,179,156	103,83,65,68	78	39	0.925693438347924	0.999202115572178	0.502,0.571,0.573,0.429	0.477,0.48,0.579,0.534	0.001
89	"gene-Zmat4"	"Zmat4"	chrNC_000074.7	+	24184381	24191124	24184381	24189059	24190265	24191124	89	1,0,0,3	2,0,0,0	0,0,2,0	0,0,0,0	78	39	NA	NA	0.2,NA,NA,1.0	NA,NA,1.0,NA	-0.4
90	"gene-Gm26843"	"Gm26843"	chrNC_000074.7	-	94426937	94431950	94426937	94429978	94430128	94431950	90	0,2,1,0	1,3,0,2	0,1,0,1	1,0,0,0	78	39	0.271819847582958	0.699297296853467	0.0,0.25,1.0,0.0	0.0,1.0,NA,1.0	-0.354
91	"gene-Srgap1"	"Srgap1"	chrNC_000076.7	-	121664633	121665234	121664633	121664667	121665131	121665234	91	12,20,31,21	0,1,0,0	24,26,21,21	0,0,0,0	78	39	0.311704481580652	0.72901960816243	1.0,0.909,1.0,1.0	1.0,1.0,1.0,1.0	-0.023
96	"gene-Snapc4"	"Snapc4"	chrNC_000068.8	-	26263330	26264197	26263330	26263478	26264032	26264197	96	32,85,71,51	25,21,7,21	47,26,62,79	35,12,18,26	78	39	0.290654350842782	0.71294941562217	0.39,0.669,0.835,0.548	0.402,0.52,0.633,0.603	0.071
97	"gene-Snapc4"	"Snapc4"	chrNC_000068.8	-	26266880	26268079	26266880	26267048	26268032	26268079	97	15,22,26,16	23,28,32,28	23,12,21,15	23,22,33,27	78	39	0.8120916609045	0.999202115572178	0.246,0.282,0.289,0.222	0.333,0.214,0.241,0.217	0.008
98	"gene-Lyl1"	"Lyl1"	chrNC_000074.7	+	85429268	85429624	85429268	85429319	85429419	85429624	98	1,2,7,10	0,0,1,0	4,2,5,9	0,0,0,0	78	39	0.31333401573302	0.72901960816243	1.0,1.0,0.778,1.0	1.0,1.0,1.0,1.0	-0.055
99	"gene-Gm16183"	"Gm16183"	chrNC_000074.7	-	85333760	85339085	85333760	85338453	85338700	85339085	99	1,2,3,0	0,0,1,1	6,2,0,3	0,0,1,1	78	39	0.69865376371401	0.956580946056398	1.0,1.0,0.6,0.0	1.0,1.0,0.0,0.6	0.0
103	"gene-Gm32756"	"Gm32756"	chrNC_000070.7	+	125355986	125361337	125355986	125356057	125357057	125361337	103	0,0,0,0	1,0,0,0	0,0,1,0	0,2,0,0	78	39	NA	NA	0.0,NA,NA,NA	NA,0.0,1.0,NA	-0.5
106	"gene-Eps15l1"	"Eps15l1"	chrNC_000074.7	-	73127666	73132999	73127666	73127790	73132834	73132999	106	59,82,100,74	69,82,67,72	89,91,80,83	89,98,75,92	78	39	0.410691246365741	0.780426350556082	0.299,0.333,0.427,0.339	0.333,0.317,0.348,0.311	0.022
107	"gene-Eps15l1"	"Eps15l1"	chrNC_000074.7	-	73127666	73132999	73127666	73130510	73132834	73132999	107	60,72,76,71	0,2,0,0	69,49,67,64	0,1,0,0	78	39	0.857797657601222	0.999202115572178	1.0,0.947,1.0,1.0	1.0,0.961,1.0,1.0	-0.003
108	"gene-Eps15l1"	"Eps15l1"	chrNC_000074.7	-	73127666	73132999	73127666	73127790	73132927	73132999	108	112,139,139,114	3,5,6,6	170,146,126,155	12,2,6,10	78	39	0.558197343296215	0.870636850761068	0.949,0.933,0.921,0.905	0.876,0.973,0.913,0.886	0.015
109	"gene-Fcho1"	"Fcho1"	chrNC_000074.7	-	72161569	72162029	72161569	72161734	72161973	72162029	109	143,227,180,137	119,96,113,99	152,182,182,207	134,91,109,127	78	39	0.947756328536905	0.999202115572178	0.375,0.542,0.443,0.409	0.362,0.5,0.455,0.449	0.001
110	"gene-Niban3"	"Niban3"	chrNC_000074.7	+	72057551	72058362	72057551	72057679	72058250	72058362	110	12,16,12,5	8,9,7,15	15,17,11,18	7,9,7,4	78	39	0.041457602930522	0.421129988592031	0.429,0.471,0.462,0.143	0.517,0.486,0.44,0.692	-0.157
113	"gene-Myo9b"	"Myo9b"	chrNC_000074.7	+	71811968	71813357	71811968	71812096	71812201	71813357	113	64,89,77,65	61,63,75,43	76,69,88,72	64,56,70,88	78	39	0.392570176551737	0.768725299654465	0.344,0.414,0.339,0.43	0.373,0.381,0.386,0.29	0.024
114	"gene-Myo9b"	"Myo9b"	chrNC_000074.7	+	71811968	71813357	71811968	71812096	71812307	71813357	114	116,140,138,106	18,18,19,37	144,148,137,146	40,29,35,40	78	39	0.159442366608432	0.607839881376247	0.763,0.795,0.784,0.589	0.643,0.718,0.662,0.646	0.066
116	"gene-Potefam3d"	"Potefam3d"	chrNC_000074.7	-	69927351	69935366	69927351	69927946	69935323	69935366	116	0,0,1,0	0,0,0,0	1,0,0,4	0,0,1,0	78	39	0.0667554651442214	0.46045891553299	NA,NA,1.0,NA	1.0,NA,0.0,1.0	0.333
118	"gene-Ints10"	"Ints10"	chrNC_000074.7	+	69276819	69277781	69276819	69276919	69277703	69277781	118	100,125,133,103	19,13,16,28	127,103,128,135	17,15,19,16	78	39	0.385994554508196	0.763212262406049	0.725,0.828,0.806,0.648	0.789,0.774,0.771,0.808	-0.034
120	"gene-Gm31726"	"Gm31726"	chrNC_000074.7	-	9199763	9202720	9199763	9201203	9202049	9202720	120	0,2,0,0	0,0,0,1	1,0,0,0	0,0,0,0	78	39	NA	NA	NA,1.0,NA,0.0	1.0,NA,NA,NA	-0.5
121	"gene-Hltf"	"Hltf"	chrNC_000069.7	+	20170735	20172649	20170735	20170907	20171941	20172649	121	76,80,86,62	15,15,21,12	97,104,90,95	14,16,20,19	78	39	0.3996809957315	0.771961562498206	0.717,0.727,0.672,0.721	0.776,0.765,0.692,0.714	-0.027
122	"gene-Ammecr1l"	"Ammecr1l"	chrNC_000084.7	+	31909842	31912006	31909842	31909913	31911909	31912006	122	23,25,18,26	1,0,1,2	40,19,18,36	2,4,2,4	78	39	0.0567052944079459	0.46045891553299	0.92,1.0,0.9,0.867	0.909,0.704,0.818,0.818	0.109
128	"gene-Adam9"	"Adam9"	chrNC_000074.7	-	25452875	25453104	25452875	25452892	25452946	25453104	128	43,42,34,24	5,8,1,4	57,43,32,31	10,5,0,9	78	39	0.855467165018406	0.999202115572178	0.811,0.724,0.944,0.75	0.74,0.811,1.0,0.633	0.011
129	"gene-Primpol"	"Primpol"	chrNC_000074.7	-	47028613	47032201	47028613	47029756	47031053	47032201	129	5,5,4,5	17,6,12,9	10,5,3,5	11,6,17,4	78	39	0.441621319464417	0.795612662031552	0.128,0.294,0.143,0.217	0.312,0.294,0.081,0.385	-0.073
130	"gene-Ssr2"	"Ssr2"	chrNC_000069.7	+	88486914	88487341	88486914	88486993	88487186	88487341	130	37,21,16,37	126,141,143,120	23,16,27,20	140,121,130,129	78	39	0.361140070991974	0.752902375919717	0.128,0.069,0.053,0.134	0.076,0.062,0.094,0.072	0.02
131	"gene-B3gnt9"	"B3gnt9"	chrNC_000074.7	-	105979269	105981785	105979269	105981474	105981662	105981785	131	9,3,2,5	0,0,0,0	1,1,4,2	2,0,0,1	78	39	0.0362505455926795	0.39974505336564	1.0,1.0,1.0,1.0	0.2,1.0,1.0,0.5	0.325
134	"gene-Vps37a"	"Vps37a"	chrNC_000074.7	+	40994065	40996994	40994065	40994134	40996850	40996994	134	29,56,47,33	33,28,36,21	33,18,22,35	34,33,34,25	78	39	0.0527976248759835	0.46045891553299	0.305,0.5,0.395,0.44	0.327,0.214,0.244,0.412	0.111
135	"gene-Vps37a"	"Vps37a"	chrNC_000074.7	+	40994065	40996994	40994065	40996212	40996850	40996994	135	35,46,45,33	0,0,3,0	29,31,13,36	0,0,0,0	78	39	0.467606052343074	0.816576268833684	1.0,1.0,0.882,1.0	1.0,1.0,1.0,1.0	-0.029
136	"gene-Usp40"	"Usp40"	chrNC_000067.7	-	87872862	87876318	87872862	87874429	87876223	87876318	136	19,23,35,21	36,15,22,27	21,24,27,29	36,27,33,26	78	39	0.501473089400819	0.840779392218115	0.209,0.434,0.443,0.28	0.226,0.308,0.29,0.358	0.046
137	"gene-Usp40"	"Usp40"	chrNC_000067.7	-	87880061	87881773	87880061	87880180	87881733	87881773	137	21,39,23,19	7,10,9,12	21,22,23,25	5,7,8,6	78	39	0.333070242967961	0.739244294997115	0.6,0.661,0.561,0.442	0.677,0.611,0.59,0.676	-0.073
138	"gene-Pcif1"	"Pcif1"	chrNC_000068.8	+	164724694	164726139	164724694	164724864	164725996	164726139	138	48,55,35,42	82,72,77,71	40,31,43,42	89,113,83,80	78	39	0.0637165146282012	0.46045891553299	0.226,0.276,0.185,0.228	0.183,0.121,0.206,0.208	0.049
139	"gene-Osbpl1a"	"Osbpl1a"	chrNC_000084.7	-	12888368	12889364	12888368	12889152	12889244	12889364	139	133,125,128,131	7,10,7,7	146,116,185,149	11,8,13,12	78	39	0.272131556985715	0.699297296853467	0.905,0.862,0.901,0.903	0.869,0.879,0.877,0.861	0.021
142	"gene-Zfp612"	"Zfp612"	chrNC_000074.7	+	110809309	110810105	110809309	110809374	110810072	110810105	142	27,40,11,23	1,2,1,1	17,26,19,17	0,0,1,1	78	39	0.290995061154509	0.71294941562217	0.931,0.909,0.846,0.92	1.0,1.0,0.905,0.895	-0.049
143	"gene-LTO1"	"LTO1"	chrNC_000073.7	+	144472960	144474871	144472960	144473078	144473346	144474871	143	28,36,21,16	25,41,36,32	23,20,24,24	36,29,32,39	78	39	0.54864838031243	0.862840948890442	0.359,0.305,0.226,0.2	0.242,0.256,0.273,0.235	0.021
146	"gene-Letm2"	"Letm2"	chrNC_000074.7	-	26068493	26069810	26068493	26068820	26069735	26069810	146	18,35,27,20	8,2,12,17	24,34,32,32	10,9,16,3	78	39	0.776183350978706	0.990117543284471	0.529,0.897,0.529,0.37	0.545,0.654,0.5,0.842	-0.054
147	"gene-Golga7"	"Golga7"	chrNC_000074.7	-	23746689	23747096	23746689	23746822	23747035	23747096	147	124,112,92,118	100,87,97,86	113,85,118,84	81,80,67,71	78	39	0.380972423050391	0.761519418963738	0.383,0.392,0.322,0.407	0.411,0.347,0.468,0.372	-0.023
148	"gene-Atp7b"	"Atp7b"	chrNC_000074.7	-	22482800	22484940	22482800	22483421	22484552	22484940	148	15,7,13,7	0,0,3,1	10,9,12,13	0,1,0,1	78	39	0.588314339110207	0.89118010907977	1.0,1.0,0.684,0.778	1.0,0.818,1.0,0.867	-0.056
149	"gene-Ankle1"	"Ankle1"	chrNC_000074.7	+	71859322	71859617	71859322	71859428	71859505	71859617	149	7,7,8,5	4,11,3,8	19,28,17,11	5,3,2,4	78	39	0.00230260889904044	0.227218156716026	0.467,0.241,0.571,0.238	0.655,0.824,0.81,0.579	-0.338
151	"gene-Zfp446"	"Zfp446"	chrNC_000073.7	+	12715772	12718310	12715772	12715854	12716045	12718310	151	13,11,24,5	17,10,15,17	11,13,8,6	9,15,15,13	78	39	0.725667936935541	0.971396874739392	0.277,0.355,0.444,0.128	0.379,0.302,0.211,0.188	0.031
152	"gene-Zfp446"	"Zfp446"	chrNC_000073.7	+	12715772	12718310	12715772	12715854	12716049	12718310	152	12,13,24,5	2,3,1,2	11,13,8,7	3,3,0,1	78	39	0.999202115572178	0.999202115572178	0.75,0.684,0.923,0.556	0.647,0.684,1.0,0.778	-0.049
