ID	GeneID	geneSymbol	chr	strand	longExonStart_0base	longExonEnd	shortES	shortEE	flankingES	flankingEE
66	"gene-Gucy2f"	"Gucy2f"	chrNC_000086.8	-	140979773	140979915	140979773	140979899	140980106	140980399
67	"gene-Atg4a"	"Atg4a"	chrNC_000086.8	+	139941722	139941868	139941725	139941868	139896311	139896390
68	"gene-Pwwp3b"	"Pwwp3b"	chrNC_000086.8	+	138118896	138119057	138118957	138119057	138117914	138117963
69	"gene-Serpina7"	"Serpina7"	chrNC_000086.8	-	137984553	137984650	137984553	137984647	137985936	137985968
70	"gene-Nrk"	"Nrk"	chrNC_000086.8	+	137901506	137901666	137901530	137901666	137898568	137898718
71	"gene-Zcchc18"	"Zcchc18"	chrNC_000086.8	+	135894455	135894510	135894458	135894510	135893895	135894101
72	"gene-Zcchc18"	"Zcchc18"	chrNC_000086.8	+	135894679	135894819	135894684	135894819	135894455	135894510
73	"gene-Tceal3"	"Tceal3"	chrNC_000086.8	+	135567808	135567939	135567872	135567939	135493654	135493712
74	"gene-Tceal3"	"Tceal3"	chrNC_000086.8	+	135567808	135567939	135567872	135567939	135494950	135494999
75	"gene-Tceal3"	"Tceal3"	chrNC_000086.8	+	135567808	135567939	135567872	135567939	135546494	135546616
76	"gene-Tceal3"	"Tceal3"	chrNC_000086.8	+	135567808	135567939	135567872	135567939	135567123	135567304
77	"gene-Bex3"	"Bex3"	chrNC_000086.8	+	135172011	135172727	135172057	135172727	135171001	135171150
78	"gene-Bex3"	"Bex3"	chrNC_000086.8	+	135172011	135172727	135172016	135172727	135171558	135171631
79	"gene-Bex3"	"Bex3"	chrNC_000086.8	+	135172011	135172727	135172057	135172727	135171558	135171631
80	"gene-Bex3"	"Bex3"	chrNC_000086.8	+	135172016	135172727	135172057	135172727	135171558	135171631
81	"gene-Nxf3"	"Nxf3"	chrNC_000086.8	-	134981712	134981865	134981712	134981810	134982111	134982181
82	"gene-Nxf3"	"Nxf3"	chrNC_000086.8	-	134981712	134981872	134981712	134981810	134982111	134982181
83	"gene-Nxf3"	"Nxf3"	chrNC_000086.8	-	134981712	134981872	134981712	134981865	134982111	134982181
84	"gene-Nxf3"	"Nxf3"	chrNC_000086.8	-	134982111	134982184	134982111	134982181	134985845	134986229
85	"gene-Gprasp2"	"Gprasp2"	chrNC_000086.8	+	134740493	134740621	134740531	134740621	134739813	134740011
86	"gene-Gprasp2"	"Gprasp2"	chrNC_000086.8	+	134740493	134740621	134740550	134740621	134739813	134740011
87	"gene-Gprasp2"	"Gprasp2"	chrNC_000086.8	+	134740531	134740621	134740550	134740621	134739813	134740011
88	"gene-3632454L22Rik"	"3632454L22Rik"	chrNC_000086.8	-	133923158	133926182	133923158	133926043	133930617	133930793
89	"gene-Nxf2"	"Nxf2"	chrNC_000086.8	-	133850435	133850633	133850435	133850615	133851095	133851168
90	"gene-Armcx2"	"Armcx2"	chrNC_000086.8	-	133708010	133708145	133708010	133708076	133708369	133708474
91	"gene-Armcx2"	"Armcx2"	chrNC_000086.8	-	133708983	133709248	133708983	133709191	133709667	133709970
92	"gene-Armcx3"	"Armcx3"	chrNC_000086.8	+	133657984	133658091	133658012	133658091	133657300	133657479
93	"gene-Armcx6"	"Armcx6"	chrNC_000086.8	-	133651689	133651932	133651689	133651782	133652078	133652307
94	"gene-Armcx4"	"Armcx4"	chrNC_000086.8	+	133589965	133597506	133590170	133597506	133589568	133589653
95	"gene-Drp2"	"Drp2"	chrNC_000086.8	+	133327800	133327926	133327805	133327926	133324524	133324702
96	"gene-Cstf2"	"Cstf2"	chrNC_000086.8	+	132973884	132974026	132973962	132974026	132970593	132970656
97	"gene-Cstf2"	"Cstf2"	chrNC_000086.8	+	132973884	132974026	132973962	132974026	132973163	132973223
98	"gene-Cstf2"	"Cstf2"	chrNC_000086.8	+	132973884	132974026	132973962	132974026	132973426	132973513
99	"gene-Sytl4"	"Sytl4"	chrNC_000086.8	-	132862873	132863046	132862873	132863019	132882410	132882561
100	"gene-Chm"	"Chm"	chrNC_000086.8	-	112025712	112026127	112025712	112026123	112049032	112049157
101	"gene-Chm"	"Chm"	chrNC_000086.8	-	112025712	112026127	112025712	112026123	112050410	112050483
102	"gene-Chm"	"Chm"	chrNC_000086.8	-	112050410	112050483	112050410	112050480	112069200	112069267
103	"gene-Rps6ka6"	"Rps6ka6"	chrNC_000086.8	-	110309904	110309981	110309904	110309966	110314374	110314536
104	"gene-Tbx22"	"Tbx22"	chrNC_000086.8	+	106721208	106721383	106721211	106721383	106720417	106720643
105	"gene-Gpr174"	"Gpr174"	chrNC_000086.8	+	106335628	106340375	106335664	106340375	106332071	106332142
106	"gene-Atp7a"	"Atp7a"	chrNC_000086.8	+	105131940	105132123	105131943	105132123	105129694	105130420
107	"gene-Gm33605"	"Gm33605"	chrNC_000086.8	-	104190547	104190959	104190547	104190667	104192108	104192187
108	"gene-Gm33605"	"Gm33605"	chrNC_000086.8	-	104190547	104191152	104190547	104190667	104192108	104192187
109	"gene-Gm33605"	"Gm33605"	chrNC_000086.8	-	104190547	104191152	104190547	104190959	104192108	104192187
110	"gene-Zdhhc15"	"Zdhhc15"	chrNC_000086.8	-	103592686	103592740	103592686	103592737	103604290	103604394
111	"gene-Gm39529"	"Gm39529"	chrNC_000086.8	-	102070247	102070384	102070247	102070340	102070652	102070871
112	"gene-Dmrtc1a"	"Dmrtc1a"	chrNC_000086.8	-	101946826	101947452	101946826	101947369	101948355	101948485
113	"gene-Phka1"	"Phka1"	chrNC_000086.8	-	101659516	101659939	101659516	101659663	101660922	101661021
114	"gene-Rps4x"	"Rps4x"	chrNC_000086.8	-	101231427	101231608	101231427	101231578	101231899	101231977
115	"gene-Gm4779"	"Gm4779"	chrNC_000086.8	-	100834212	100834504	100834212	100834254	100834844	100834890
116	"gene-Ogt"	"Ogt"	chrNC_000086.8	+	100686581	100686762	100686611	100686762	100683823	100683928
117	"gene-Taf1"	"Taf1"	chrNC_000086.8	+	100584365	100584607	100584428	100584607	100582673	100582793
118	"gene-Itgb1bp2"	"Itgb1bp2"	chrNC_000086.8	+	100493004	100493116	100493066	100493116	100492726	100492842
119	"gene-Itgb1bp2"	"Itgb1bp2"	chrNC_000086.8	+	100506745	100520391	100507485	100520391	100501354	100501413
120	"gene-Zmym3"	"Zmym3"	chrNC_000086.8	-	100460514	100460587	100460514	100460581	100460892	100460936
121	"gene-Gm614"	"Gm614"	chrNC_000086.8	-	100307239	100307352	100307239	100307326	100307430	100307598
122	"gene-Slc7a3"	"Slc7a3"	chrNC_000086.8	-	100128426	100128584	100128426	100128565	100128877	100129063
123	"gene-Gm14902"	"Gm14902"	chrNC_000086.8	+	99791796	99791904	99791833	99791904	99784600	99784805
124	"gene-Eda"	"Eda"	chrNC_000086.8	+	99438624	99438749	99438633	99438749	99435938	99435990
125	"gene-Pja1"	"Pja1"	chrNC_000086.8	-	98509343	98511188	98509343	98511179	98511728	98511920
126	"gene-Pja1"	"Pja1"	chrNC_000086.8	-	98509343	98511920	98509343	98511914	98514222	98514306
127	"gene-Pja1"	"Pja1"	chrNC_000086.8	-	98509343	98512206	98509343	98511914	98514222	98514306
128	"gene-Pja1"	"Pja1"	chrNC_000086.8	-	98509343	98512206	98509343	98511920	98514222	98514306
129	"gene-Gm14808"	"Gm14808"	chrNC_000086.8	+	98503085	98503299	98503182	98503299	98502606	98502762
130	"gene-Las1l"	"Las1l"	chrNC_000086.8	-	94963650	94964398	94963650	94964395	94964751	94964798
131	"gene-Las1l"	"Las1l"	chrNC_000086.8	-	94980977	94981128	94980977	94981125	94983904	94984554
132	"gene-Zc4h2"	"Zc4h2"	chrNC_000086.8	-	94685769	94685964	94685769	94685932	94686913	94687086
133	"gene-Zc4h2"	"Zc4h2"	chrNC_000086.8	-	94686913	94687086	94686913	94687065	94688912	94689084
134	"gene-Dkc1"	"Dkc1"	chrNC_000086.8	+	74140193	74140320	74140238	74140320	74139459	74139733
135	"gene-Dkc1"	"Dkc1"	chrNC_000086.8	+	74140840	74140975	74140888	74140975	74140439	74140507
136	"gene-Ikbkg"	"Ikbkg"	chrNC_000086.8	+	73480769	73480888	73480772	73480888	73477408	73477620
137	"gene-Fam3a"	"Fam3a"	chrNC_000086.8	-	73430237	73430397	73430237	73430322	73430639	73430690
138	"gene-Fam3a"	"Fam3a"	chrNC_000086.8	-	73431233	73431412	73431233	73431357	73434079	73434103
139	"gene-Gm44504"	"Gm44504"	chrNC_000086.8	-	73412021	73412364	73412021	73412328	73414456	73414617
140	"gene-Irak1"	"Irak1"	chrNC_000086.8	-	73057519	73059107	73057519	73057731	73060153	73060303
141	"gene-Irak1"	"Irak1"	chrNC_000086.8	-	73066078	73066270	73066078	73066267	73066454	73066558
142	"gene-Hcfc1"	"Hcfc1"	chrNC_000086.8	-	72990796	72991123	72990796	72991120	72991447	72991892
143	"gene-Hcfc1"	"Hcfc1"	chrNC_000086.8	-	72991447	72992024	72991447	72991892	72992507	72992671
144	"gene-Renbp"	"Renbp"	chrNC_000086.8	-	72965956	72966198	72965956	72966044	72969821	72969953
145	"gene-Renbp"	"Renbp"	chrNC_000086.8	-	72973610	72973717	72973610	72973686	72974013	72974123
146	"gene-Arhgap4"	"Arhgap4"	chrNC_000086.8	-	72940419	72940621	72940419	72940603	72940686	72940760
147	"gene-Arhgap4"	"Arhgap4"	chrNC_000086.8	-	72941574	72941652	72941574	72941619	72941737	72941798
148	"gene-Arhgap4"	"Arhgap4"	chrNC_000086.8	-	72950274	72950494	72950274	72950482	72954768	72954944
149	"gene-Avpr2"	"Avpr2"	chrNC_000086.8	+	72936229	72937114	72936232	72937114	72935680	72935874
150	"gene-Avpr2"	"Avpr2"	chrNC_000086.8	+	72936229	72937114	72936862	72937114	72935707	72935874
151	"gene-Ssr4"	"Ssr4"	chrNC_000086.8	+	72832440	72832559	72832443	72832559	72830777	72830912
152	"gene-Ssr4"	"Ssr4"	chrNC_000086.8	+	72833950	72834030	72833964	72834030	72833636	72833726
153	"gene-Srpk3"	"Srpk3"	chrNC_000086.8	+	72820572	72820705	72820575	72820705	72820066	72820092
154	"gene-Pnck"	"Pnck"	chrNC_000086.8	-	72699597	72699992	72699597	72699939	72700275	72700420
155	"gene-Pnck"	"Pnck"	chrNC_000086.8	-	72700836	72701119	72700836	72700949	72701325	72701449
156	"gene-Xlr4b"	"Xlr4b"	chrNC_000086.8	+	72258833	72258961	72258846	72258961	72258379	72258426
157	"gene-Xlr4b"	"Xlr4b"	chrNC_000086.8	+	72258708	72258961	72258833	72258961	72258379	72258462
158	"gene-Xlr4b"	"Xlr4b"	chrNC_000086.8	+	72258708	72258961	72258846	72258961	72258379	72258462
159	"gene-Xlr4b"	"Xlr4b"	chrNC_000086.8	+	72258833	72258961	72258846	72258961	72258379	72258462
160	"gene-Xlr4a"	"Xlr4a"	chrNC_000086.8	-	72125079	72125207	72125079	72125194	72125590	72125673
161	"gene-Xlr4a"	"Xlr4a"	chrNC_000086.8	-	72125079	72125207	72125079	72125194	72125626	72125673
162	"gene-Hmgb3"	"Hmgb3"	chrNC_000086.8	+	70601658	70601813	70601662	70601813	70599522	70599614
163	"gene-Hmgb3"	"Hmgb3"	chrNC_000086.8	+	70601658	70601813	70601726	70601813	70599522	70599614
164	"gene-Hmgb3"	"Hmgb3"	chrNC_000086.8	+	70601662	70601813	70601726	70601813	70599522	70599614
165	"gene-Hmgb3"	"Hmgb3"	chrNC_000086.8	+	70601658	70601813	70601662	70601813	70599522	70599796
166	"gene-Hmgb3"	"Hmgb3"	chrNC_000086.8	+	70601658	70601813	70601726	70601813	70599522	70599796
167	"gene-Hmgb3"	"Hmgb3"	chrNC_000086.8	+	70601662	70601813	70601726	70601813	70599522	70599796
168	"gene-Hmgb3"	"Hmgb3"	chrNC_000086.8	+	70601658	70601813	70601662	70601813	70599522	70599843
169	"gene-Hmgb3"	"Hmgb3"	chrNC_000086.8	+	70601662	70601813	70601726	70601813	70599921	70600106
170	"gene-Hmgb3"	"Hmgb3"	chrNC_000086.8	+	70601658	70602178	70602038	70602178	70600493	70600714
171	"gene-Hmgb3"	"Hmgb3"	chrNC_000086.8	+	70603272	70604257	70603290	70604257	70602703	70602878
172	"gene-Ids"	"Ids"	chrNC_000086.8	-	69403554	69403755	69403554	69403746	69404648	69404737
173	"gene-Ids"	"Ids"	chrNC_000086.8	-	69416830	69417053	69416830	69417029	69418115	69418242
174	"gene-Fmr1"	"Fmr1"	chrNC_000086.8	+	67755101	67756019	67755836	67756019	67754189	67754385
175	"gene-Fmr1"	"Fmr1"	chrNC_000086.8	+	67755101	67756019	67755872	67756019	67754189	67754385
176	"gene-Fmr1"	"Fmr1"	chrNC_000086.8	+	67755101	67756019	67755911	67756019	67754189	67754385
177	"gene-Fmr1"	"Fmr1"	chrNC_000086.8	+	67755836	67756019	67755872	67756019	67754189	67754385
178	"gene-Fmr1"	"Fmr1"	chrNC_000086.8	+	67755836	67756019	67755911	67756019	67754189	67754385
179	"gene-Fmr1"	"Fmr1"	chrNC_000086.8	+	67755872	67756019	67755911	67756019	67754189	67754385
180	"gene-Glg1"	"Glg1"	chrNC_000074.7	-	111887252	111887442	111887252	111887373	111888057	111888165
181	"gene-Pdpr"	"Pdpr"	chrNC_000074.7	+	111828445	111828722	111828492	111828722	111821231	111821458
182	"gene-Calb2"	"Calb2"	chrNC_000074.7	-	110869157	110869832	110869157	110869829	110872283	110872355
183	"gene-Zfp821"	"Zfp821"	chrNC_000074.7	+	110448292	110448490	110448385	110448490	110447826	110447975
184	"gene-Pkd1l3"	"Pkd1l3"	chrNC_000074.7	+	110353379	110353514	110353382	110353514	110349744	110351118
185	"gene-Pkd1l3"	"Pkd1l3"	chrNC_000074.7	+	110355267	110355444	110355327	110355444	110353379	110353514
186	"gene-Pkd1l3"	"Pkd1l3"	chrNC_000074.7	+	110373405	110373605	110373408	110373605	110372926	110373126
187	"gene-Pkd1l3"	"Pkd1l3"	chrNC_000074.7	+	110374849	110374988	110374852	110374988	110373405	110373605
188	"gene-Pkd1l3"	"Pkd1l3"	chrNC_000074.7	+	110374849	110375042	110374852	110375042	110374076	110374257
189	"gene-Pkd1l3"	"Pkd1l3"	chrNC_000074.7	+	110391024	110391165	110391040	110391165	110388742	110388876
190	"gene-1810030O07Rik"	"1810030O07Rik"	chrNC_000086.8	-	12521117	12523274	12521117	12522725	12524100	12524263
191	"gene-Rnf126"	"Rnf126"	chrNC_000076.7	-	79596822	79597145	79596822	79596916	79597263	79597333
192	"gene-Rgl1"	"Rgl1"	chrNC_000067.7	-	152550610	152550777	152550610	152550774	152641657	152642056
193	"gene-Uros"	"Uros"	chrNC_000073.7	-	133291310	133292120	133291310	133291409	133292236	133292322
194	"gene-Stk16"	"Stk16"	chrNC_000067.7	+	75189756	75189872	75189776	75189872	75189529	75189650
195	"gene-Sbno1"	"Sbno1"	chrNC_000071.7	-	124548132	124548445	124548132	124548442	124551247	124551352
196	"gene-Sbno1"	"Sbno1"	chrNC_000071.7	-	124548132	124548445	124548132	124548442	124552461	124552590
197	"gene-Slc7a6os"	"Slc7a6os"	chrNC_000074.7	-	106928862	106928991	106928862	106928983	106930962	106931172
198	"gene-Cenpt"	"Cenpt"	chrNC_000074.7	-	106576056	106576181	106576056	106576153	106576257	106576345
199	"gene-Pard6a"	"Pard6a"	chrNC_000074.7	+	106429239	106430126	106429242	106430126	106428805	106428938
200	"gene-Pard6a"	"Pard6a"	chrNC_000074.7	+	106429239	106430126	106429242	106430126	106428805	106429028
201	"gene-Ctcf"	"Ctcf"	chrNC_000074.7	+	106406702	106406891	106406705	106406891	106403846	106403982
202	"gene-Ctcf"	"Ctcf"	chrNC_000074.7	+	106408066	106409554	106408072	106409554	106406702	106406891
203	"gene-Gm15764"	"Gm15764"	chrNC_000082.7	+	18240429	18241214	18240432	18241214	18232372	18240037
204	"gene-Lrrc36"	"Lrrc36"	chrNC_000074.7	+	106158156	106158245	106158162	106158245	106154358	106154455
205	"gene-Lrrc36"	"Lrrc36"	chrNC_000074.7	+	106176012	106176459	106176018	106176459	106172839	106172888
206	"gene-Lrrc36"	"Lrrc36"	chrNC_000074.7	+	106181825	106181991	106181836	106181991	106178638	106178931
207	"gene-Lrrc36"	"Lrrc36"	chrNC_000074.7	+	106190374	106190714	106190408	106190714	106187649	106187764
208	"gene-Fhod1"	"Fhod1"	chrNC_000074.7	-	106063949	106064113	106063949	106064061	106064306	106064401
209	"gene-Fbxl9"	"Fbxl9"	chrNC_000074.7	-	106041707	106042700	106041707	106042654	106049896	106049998
210	"gene-Hsf4"	"Hsf4"	chrNC_000074.7	+	105998005	105998081	105998009	105998081	105997619	105997744
211	"gene-Hsf4"	"Hsf4"	chrNC_000074.7	+	105999077	105999216	105999091	105999216	105998737	105998840
212	"gene-Hsf4"	"Hsf4"	chrNC_000074.7	+	105999337	105999565	105999441	105999565	105999091	105999216
213	"gene-Hsf4"	"Hsf4"	chrNC_000074.7	+	106001628	106001744	106001648	106001744	106001479	106001545
214	"gene-Hsf4"	"Hsf4"	chrNC_000074.7	+	106001628	106001744	106001674	106001744	106001479	106001545
215	"gene-Hsf4"	"Hsf4"	chrNC_000074.7	+	106001648	106001744	106001674	106001744	106001479	106001545
216	"gene-Terb1"	"Terb1"	chrNC_000074.7	-	105211988	105212123	105211988	105212120	105215118	105215271
217	"gene-Tk2"	"Tk2"	chrNC_000074.7	-	104965375	104965607	104965375	104965465	104967747	104967801
218	"gene-Bean1"	"Bean1"	chrNC_000074.7	+	104937549	104937801	104937552	104937801	104897221	104897636
219	"gene-Bean1"	"Bean1"	chrNC_000074.7	+	104937549	104937801	104937552	104937801	104908642	104908751
220	"gene-Bean1"	"Bean1"	chrNC_000074.7	+	104937549	104937801	104937552	104937801	104912712	104912831
221	"gene-Mcf2l"	"Mcf2l"	chrNC_000074.7	+	13068885	13070502	13068938	13070502	13068695	13068799
222	"gene-Gm32531"	"Gm32531"	chrNC_000074.7	+	104002793	104003277	104002805	104003277	103998573	103998675
223	"gene-Miat"	"Miat"	chrNC_000071.7	-	112375920	112376080	112375920	112376044	112376166	112376222
224	"gene-Miat"	"Miat"	chrNC_000071.7	-	112375920	112376080	112375920	112376044	112376174	112376222
225	"gene-Miat"	"Miat"	chrNC_000071.7	-	112375920	112376080	112375920	112376044	112376474	112376814
226	"gene-Pip5k1c"	"Pip5k1c"	chrNC_000076.7	+	81140972	81141112	81141019	81141112	81140517	81140549
227	"gene-Pip5k1c"	"Pip5k1c"	chrNC_000076.7	+	81149568	81149927	81149828	81149927	81149453	81149486
228	"gene-Pip5k1c"	"Pip5k1c"	chrNC_000076.7	+	81151712	81153237	81153159	81153237	81150825	81150952
229	"gene-Cnot1"	"Cnot1"	chrNC_000074.7	-	96481592	96481739	96481592	96481736	96482719	96482921
230	"gene-Cnot1"	"Cnot1"	chrNC_000074.7	-	96501257	96501356	96501257	96501350	96501906	96502014
231	"gene-Ndrg4"	"Ndrg4"	chrNC_000074.7	+	96435710	96435814	96435713	96435814	96435404	96435461
232	"gene-Osbpl5"	"Osbpl5"	chrNC_000073.7	-	143267232	143267745	143267232	143267315	143269402	143269559
233	"gene-Klhl6"	"Klhl6"	chrNC_000082.7	-	19766834	19767048	19766834	19767011	19768199	19768402
234	"gene-Klhl6"	"Klhl6"	chrNC_000082.7	-	19768199	19768402	19768199	19768321	19772202	19772440
235	"gene-Klhl6"	"Klhl6"	chrNC_000082.7	-	19775653	19776103	19775653	19776094	19784683	19784849
236	"gene-Itgam"	"Itgam"	chrNC_000073.7	+	127700805	127701018	127700808	127701018	127700587	127700728
237	"gene-Ces1e"	"Ces1e"	chrNC_000074.7	-	93950522	93950730	93950522	93950727	93955997	93956233
238	"gene-Srgap1"	"Srgap1"	chrNC_000076.7	-	121664633	121665234	121664633	121664667	121667789	121667817
239	"gene-Zfp185"	"Zfp185"	chrNC_000086.8	+	72045010	72045052	72045013	72045052	72044593	72044677
240	"gene-Gm36843"	"Gm36843"	chrNC_000074.7	+	92732891	92733976	92733046	92733976	92724059	92724480
241	"gene-Chd9"	"Chd9"	chrNC_000074.7	+	91761532	91761693	91761535	91761693	91759966	91760872
242	"gene-Chd9"	"Chd9"	chrNC_000074.7	+	91768712	91768907	91768751	91768907	91767675	91767815
