ID	GeneID	geneSymbol	chr	strand	1stExonStart_0base	1stExonEnd	2ndExonStart_0base	2ndExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
33	"gene-Pak3"	"Pak3"	chrNC_000086.8	+	142346255	142346350	142425655	142425674	142301370	142301759	142476282	142476484	33	22,22,14,18	0,0,0,2	13,12,14,16	0,0,0,0	78	58	0.129950184178088	0.575367686875754	1.0,1.0,1.0,0.87	1.0,1.0,1.0,1.0	-0.032
34	"gene-Pak3"	"Pak3"	chrNC_000086.8	+	142476282	142476484	142492643	142492744	142301370	142301759	142498131	142498285	34	27,40,36,30	104,103,115,106	17,22,19,29	80,78,89,83	78	78	0.275803916346285	0.715461180418244	0.206,0.28,0.238,0.221	0.175,0.22,0.176,0.259	0.029
35	"gene-Pak3"	"Pak3"	chrNC_000086.8	+	142476282	142476484	142492643	142492744	142301586	142301759	142496889	142496934	35	29,40,32,30	17,11,7,8	17,21,19,29	10,6,5,8	78	78	0.911821991442231	0.999202115572178	0.63,0.784,0.821,0.789	0.63,0.778,0.792,0.784	0.01
36	"gene-Pak3"	"Pak3"	chrNC_000086.8	+	142492643	142492744	142496889	142496934	142476282	142476484	142498131	142498285	36	256,245,276,256	3,5,4,9	211,212,203,215	4,4,4,1	78	78	0.418476461451625	0.798557925168956	0.988,0.98,0.986,0.966	0.981,0.981,0.981,0.995	-0.005
37	"gene-Pak3"	"Pak3"	chrNC_000086.8	+	142495273	142495336	142496889	142496934	142492643	142492744	142498131	142498285	37	0,0,0,0	20,20,17,22	0,0,0,3	17,10,13,11	78	78	0.999202115572178	0.999202115572178	0.0,0.0,0.0,0.0	0.0,0.0,0.0,0.214	-0.053
38	"gene-Atg4a"	"Atg4a"	chrNC_000086.8	+	139888914	139888986	139889028	139889114	139887027	139887138	139890906	139891005	38	8,10,16,11	12,11,10,11	5,7,5,12	19,16,16,13	78	78	0.0259344024961748	0.365021271103377	0.4,0.476,0.615,0.5	0.208,0.304,0.238,0.48	0.19
39	"gene-Frmpd3"	"Frmpd3"	chrNC_000086.8	+	139262893	139263048	139266477	139266580	139177866	139178816	139269567	139269613	39	3,2,4,0	1,1,0,2	0,1,0,1	1,2,0,2	78	78	0.279598950103548	0.719683789708761	0.75,0.667,1.0,0.0	0.0,0.333,NA,0.333	0.382
40	"gene-Frmpd3"	"Frmpd3"	chrNC_000086.8	+	139262893	139263048	139269567	139269613	139177866	139178816	139284751	139284856	40	2,2,2,0	4,2,2,2	0,1,0,1	1,0,1,0	78	78	0.661160601453358	0.922185734546035	0.333,0.5,0.5,0.0	0.0,1.0,0.0,1.0	-0.167
41	"gene-Frmpd3"	"Frmpd3"	chrNC_000086.8	+	139266477	139266580	139269567	139269613	139262893	139263048	139284751	139284856	41	0,1,0,1	2,1,2,2	0,3,0,1	1,0,0,0	78	78	0.214857010661539	0.668957140660758	0.0,0.5,0.0,0.333	0.0,1.0,NA,1.0	-0.458
42	"gene-Tmsb15l"	"Tmsb15l"	chrNC_000086.8	-	135857483	135857588	135876146	135876251	135855736	135856231	135877507	135877623	42	45,68,49,39	56,80,52,61	57,32,38,49	42,45,67,62	78	78	0.970601666640422	0.999202115572178	0.446,0.459,0.485,0.39	0.576,0.416,0.362,0.441	-0.004
43	"gene-Tceal3"	"Tceal3"	chrNC_000086.8	+	135494950	135494999	135567872	135567939	135493607	135493712	135568259	135569126	43	11,13,12,7	46,43,55,48	21,11,13,14	32,38,45,47	78	78	0.0793252216538025	0.489303746732292	0.193,0.232,0.179,0.127	0.396,0.224,0.224,0.23	-0.086
44	"gene-Gprasp2"	"Gprasp2"	chrNC_000086.8	+	134740493	134740621	134741141	134741218	134739813	134740011	134741367	134741439	44	60,44,33,47	58,75,72,77	18,19,18,15	33,70,66,74	78	78	0.00227692683410019	0.270918382876605	0.508,0.37,0.314,0.379	0.353,0.213,0.214,0.169	0.155
45	"gene-Gprasp2"	"Gprasp2"	chrNC_000086.8	+	134740531	134740621	134741141	134741218	134739813	134740011	134741367	134741439	45	17,21,19,19	58,75,72,77	13,23,21,12	33,70,66,74	78	78	0.792650415030895	0.967329718002922	0.227,0.219,0.209,0.198	0.283,0.247,0.241,0.14	-0.015
46	"gene-Gprasp1"	"Gprasp1"	chrNC_000086.8	+	134696890	134697085	134698301	134698378	134652693	134652766	134698771	134698843	46	10,14,9,10	14,3,7,11	6,9,5,5	4,9,5,11	78	78	0.336699708287256	0.750533794550839	0.417,0.824,0.562,0.476	0.6,0.5,0.5,0.312	0.092
47	"gene-Gprasp1"	"Gprasp1"	chrNC_000086.8	+	134696890	134697085	134698536	134698613	134652693	134652766	134698771	134698843	47	10,14,9,10	156,147,118,94	6,9,5,5	66,64,66,72	78	78	0.659544252376724	0.922185734546035	0.06,0.087,0.071,0.096	0.083,0.123,0.07,0.065	-0.007
48	"gene-Gprasp1"	"Gprasp1"	chrNC_000086.8	+	134697697	134697786	134698301	134698378	134696890	134697085	134698536	134698613	48	32,30,47,31	148,192,147,168	8,15,21,14	43,62,75,70	78	78	0.696144431900884	0.930959848015635	0.178,0.135,0.242,0.156	0.157,0.195,0.219,0.167	-0.007
49	"gene-Gprasp1"	"Gprasp1"	chrNC_000086.8	+	134698301	134698378	134698536	134698613	134652693	134652766	134698771	134698843	49	14,3,7,11	156,147,118,94	4,9,5,11	66,64,66,72	78	78	0.143226470566129	0.590130223285691	0.082,0.02,0.056,0.105	0.057,0.123,0.07,0.133	-0.03
50	"gene-Gprasp1"	"Gprasp1"	chrNC_000086.8	+	134698301	134698378	134698536	134698613	134697697	134697786	134698771	134698843	50	18,5,24,18	154,143,117,92	5,29,10,7	67,64,66,72	78	78	0.61011859352949	0.901341451842594	0.105,0.034,0.17,0.164	0.069,0.312,0.132,0.089	-0.032
51	"gene-Armcx4"	"Armcx4"	chrNC_000086.8	+	133587896	133587974	133588765	133588855	133586398	133586486	133589198	133589281	51	3,1,1,1	57,47,39,50	1,0,0,4	46,36,31,57	78	78	0.704275156155738	0.935217426495247	0.05,0.021,0.025,0.02	0.021,0.0,0.0,0.066	0.007
52	"gene-Armcx4"	"Armcx4"	chrNC_000086.8	+	133587896	133587974	133588765	133588843	133587226	133587386	133589198	133589281	52	6,7,13,13	10,6,10,14	12,2,8,7	12,12,4,8	78	78	0.615377880396818	0.904060607469742	0.375,0.538,0.565,0.481	0.5,0.143,0.667,0.467	0.045
53	"gene-Armcx4"	"Armcx4"	chrNC_000086.8	+	133587896	133587974	133588765	133588855	133587226	133587386	133589198	133589281	53	6,7,13,13	57,51,41,51	12,2,8,7	48,38,33,57	78	78	0.50920629511418	0.850428070137093	0.095,0.121,0.241,0.203	0.2,0.05,0.195,0.109	0.026
54	"gene-Hnrnph2"	"Hnrnph2"	chrNC_000086.8	+	133503440	133503511	133503666	133503711	133501927	133502082	133505603	133507809	54	137,106,132,123	16,14,9,8	130,142,117,123	7,16,10,12	78	78	0.747873393512793	0.951876909212565	0.895,0.883,0.936,0.939	0.949,0.899,0.921,0.911	-0.007
56	"gene-Rps6ka6"	"Rps6ka6"	chrNC_000086.8	-	110359988	110360051	110372546	110372798	110355927	110355987	110396365	110396497	56	0,4,0,0	23,27,27,29	0,0,0,0	23,31,17,26	78	78	0.505220539624237	0.847523623352768	0.0,0.129,0.0,0.0	0.0,0.0,0.0,0.0	0.032
58	"gene-Atrx"	"Atrx"	chrNC_000086.8	-	104881844	104882020	104883446	104883584	104879915	104880033	104889102	104889280	58	234,271,266,259	242,296,235,280	229,214,190,222	236,184,214,270	78	78	0.688998856646523	0.929429152132986	0.492,0.478,0.531,0.481	0.492,0.538,0.47,0.451	0.008
59	"gene-Gm50594"	"Gm50594"	chrNC_000086.8	-	104340509	104340563	104365152	104365244	104330558	104331353	104373746	104383104	59	1,6,0,0	1,3,1,0	0,0,2,1	0,4,2,3	78	78	0.21845946944069	0.670662889949066	0.5,0.667,0.0,NA	NA,0.0,0.5,0.25	0.139
60	"gene-Zdhhc15"	"Zdhhc15"	chrNC_000086.8	-	103617774	103617844	103631906	103632027	103616110	103616143	103641697	103641792	60	5,5,7,8	11,2,4,4	7,4,2,6	1,2,1,4	78	78	0.210407361011517	0.663610993075668	0.312,0.714,0.636,0.667	0.875,0.667,0.667,0.6	-0.12
61	"gene-Rlim"	"Rlim"	chrNC_000086.8	-	103020915	103020988	103022109	103022201	103010096	103010286	103022878	103022940	61	0,3,1,2	1,0,0,0	1,3,1,2	0,2,0,1	78	78	0.329979112912287	0.748932280469953	0.0,1.0,1.0,1.0	1.0,0.6,1.0,0.667	-0.067
62	"gene-Ogt"	"Ogt"	chrNC_000086.8	+	100704857	100704937	100706964	100707160	100699229	100699346	100707448	100707589	62	185,234,223,232	336,435,434,338	182,171,196,202	347,346,334,333	78	78	0.660664960590156	0.922185734546035	0.355,0.35,0.339,0.407	0.344,0.331,0.37,0.378	0.007
63	"gene-Med12"	"Med12"	chrNC_000086.8	+	100325343	100325488	100325655	100325706	100324968	100325139	100326006	100326125	63	44,56,62,35	8,12,14,18	48,56,45,56	14,29,24,15	78	78	0.110288567088785	0.54655017082424	0.846,0.824,0.816,0.66	0.774,0.659,0.652,0.789	0.068
64	"gene-Dlg3"	"Dlg3"	chrNC_000086.8	+	99851658	99851758	99853467	99853513	99850785	99850861	99855107	99855149	64	8,5,9,9	95,66,65,78	14,22,12,6	96,62,67,90	78	78	0.212836321403806	0.666325374735516	0.078,0.07,0.122,0.103	0.127,0.262,0.152,0.063	-0.058
65	"gene-Dlg3"	"Dlg3"	chrNC_000086.8	+	99851658	99851758	99853467	99853513	99850785	99850861	99856331	99856382	65	4,2,7,7	82,78,57,66	8,11,8,3	80,56,66,82	78	78	0.314674757327203	0.74407149281024	0.047,0.025,0.109,0.096	0.091,0.164,0.108,0.035	-0.03
66	"gene-Dlg3"	"Dlg3"	chrNC_000086.8	+	99851658	99851758	99855107	99855149	99850785	99850861	99856331	99856382	66	4,2,7,7	17,19,15,15	8,11,8,3	28,11,23,16	78	78	0.528406925682676	0.860235664551378	0.19,0.095,0.318,0.318	0.222,0.5,0.258,0.158	-0.054
67	"gene-Dlg3"	"Dlg3"	chrNC_000086.8	+	99853467	99853513	99855107	99855149	99850785	99850861	99856331	99856382	67	82,78,57,66	17,19,15,15	80,56,66,82	28,11,23,16	78	78	0.399234542947379	0.784533369311994	0.828,0.804,0.792,0.815	0.741,0.836,0.742,0.837	0.021
68	"gene-Dlg3"	"Dlg3"	chrNC_000086.8	+	99855107	99855149	99856331	99856382	99850785	99850861	99856942	99857044	68	0,1,0,0	60,31,49,40	0,0,0,0	48,59,50,52	78	78	0.328328235546955	0.748074695354725	0.0,0.031,0.0,0.0	0.0,0.0,0.0,0.0	0.008
69	"gene-Dlg3"	"Dlg3"	chrNC_000086.8	+	99855107	99855149	99856331	99856382	99851658	99851758	99856942	99857044	69	0,2,0,0	59,31,49,40	2,5,3,0	46,59,50,52	78	78	0.0457541333811452	0.439427156324083	0.0,0.061,0.0,0.0	0.042,0.078,0.057,0.0	-0.029
70	"gene-Dlg3"	"Dlg3"	chrNC_000086.8	+	99855107	99855149	99856331	99856382	99853467	99853513	99856942	99857044	70	27,10,10,14	107,88,77,73	15,13,11,22	86,91,93,101	78	78	0.761731811035976	0.956479525479684	0.201,0.102,0.115,0.161	0.149,0.125,0.106,0.179	0.005
71	"gene-Eif2s3x"	"Eif2s3x"	chrNC_000086.8	-	93239877	93240050	93240893	93241063	93232314	93234528	93243319	93243464	71	324,399,315,470	160,188,239,225	442,410,301,479	230,240,152,239	78	78	0.811205574624053	0.974272644315754	0.669,0.68,0.569,0.676	0.658,0.631,0.664,0.667	-0.006
72	"gene-Eif2s3x"	"Eif2s3x"	chrNC_000086.8	-	93240893	93241063	93243319	93243464	93239877	93240050	93244495	93244590	72	329,394,312,446	257,320,280,390	452,403,254,416	358,338,232,389	78	78	0.608800946323093	0.900388574922045	0.561,0.552,0.527,0.533	0.558,0.544,0.523,0.517	0.008
73	"gene-Prkx"	"Prkx"	chrNC_000086.8	-	76808178	76808256	76808954	76809012	76807711	76807860	76816721	76816841	73	6,6,6,3	54,58,48,48	0,5,2,2	55,55,61,58	78	78	0.0334478198444524	0.400839838106885	0.1,0.094,0.111,0.059	0.0,0.083,0.032,0.033	0.054
74	"gene-Prkx"	"Prkx"	chrNC_000086.8	-	76808954	76809012	76816721	76816841	76808178	76808256	76825643	76825907	74	48,64,60,70	24,24,30,35	53,64,68,55	39,25,45,31	78	78	0.178309394580617	0.631076155616013	0.667,0.727,0.667,0.667	0.576,0.719,0.602,0.64	0.048
75	"gene-Prkx"	"Prkx"	chrNC_000086.8	-	76814852	76814948	76816721	76816841	76808954	76809012	76825643	76825907	75	57,75,69,78	44,54,59,35	58,76,72,61	36,44,51,40	78	78	0.669910870395091	0.923756522520419	0.564,0.581,0.539,0.69	0.617,0.633,0.585,0.604	-0.016
76	"gene-Prkx"	"Prkx"	chrNC_000086.8	-	76814852	76814948	76816721	76816841	76808954	76809012	76829733	76829902	76	8,9,9,7	44,54,59,35	7,11,6,8	34,44,51,38	78	78	0.661401654594886	0.922185734546035	0.154,0.143,0.132,0.167	0.171,0.2,0.105,0.174	-0.013
77	"gene-Prkx"	"Prkx"	chrNC_000086.8	-	76814852	76814948	76825643	76825907	76808954	76809012	76829733	76829902	77	74,73,56,83	44,54,59,35	80,70,63,84	34,44,51,38	78	78	0.189216353847502	0.641099480393445	0.627,0.575,0.487,0.703	0.702,0.614,0.553,0.689	-0.041
78	"gene-Prkx"	"Prkx"	chrNC_000086.8	-	76816721	76816841	76825643	76825907	76808954	76809012	76829733	76829902	78	74,73,56,83	8,9,9,7	80,70,63,84	7,11,6,8	78	78	0.779530050893977	0.964259191696426	0.902,0.89,0.862,0.922	0.92,0.864,0.913,0.913	-0.009
79	"gene-Prkx"	"Prkx"	chrNC_000086.8	-	76816721	76816841	76825643	76825907	76814852	76814948	76829733	76829902	79	73,70,56,80	45,49,75,43	78,69,59,85	68,30,78,43	78	78	0.837198003972961	0.982578992054825	0.619,0.588,0.427,0.65	0.534,0.697,0.431,0.664	-0.011
80	"gene-Prkx"	"Prkx"	chrNC_000086.8	-	76825643	76825907	76829733	76829902	76814852	76814948	76839153	76839545	80	59,80,72,64	0,1,0,1	67,75,67,91	4,0,0,2	78	78	0.675471502377642	0.925433743888584	1.0,0.988,1.0,0.985	0.944,1.0,1.0,0.978	0.013
81	"gene-Prkx"	"Prkx"	chrNC_000086.8	-	76825643	76825907	76829733	76829902	76816721	76816841	76839153	76839545	81	60,79,75,64	61,80,76,86	67,75,69,93	60,90,81,69	78	78	0.421062643441522	0.798908778761312	0.496,0.497,0.497,0.427	0.528,0.455,0.46,0.574	-0.025
82	"gene-Gm44504"	"Gm44504"	chrNC_000086.8	-	73411306	73411515	73411758	73411864	73411052	73411192	73412021	73412364	82	69,67,51,74	107,86,107,113	80,48,78,72	124,132,137,149	78	78	0.111320879037579	0.548006828615987	0.392,0.438,0.323,0.396	0.392,0.267,0.363,0.326	0.05
83	"gene-Irak1"	"Irak1"	chrNC_000086.8	-	73066078	73066270	73066454	73066558	73065790	73065855	73066671	73066803	83	16,23,22,19	26,46,27,28	32,22,23,23	39,28,47,28	78	78	0.531906658127293	0.862201405911942	0.381,0.333,0.449,0.404	0.451,0.44,0.329,0.451	-0.026
84	"gene-Renbp"	"Renbp"	chrNC_000086.8	-	72973610	72973686	72973792	72973868	72973286	72973459	72974013	72974123	84	1,2,0,2	1,1,3,1	3,2,5,2	5,5,4,2	78	78	0.999202115572178	0.999202115572178	0.5,0.667,0.0,0.667	0.375,0.286,0.556,0.5	0.029
85	"gene-Renbp"	"Renbp"	chrNC_000086.8	-	72973610	72973717	72973792	72973868	72973286	72973459	72974013	72974123	85	1,2,0,2	1,1,3,1	3,2,5,2	5,5,4,2	78	78	0.999202115572178	0.999202115572178	0.5,0.667,0.0,0.667	0.375,0.286,0.556,0.5	0.029
86	"gene-Pdzd4"	"Pdzd4"	chrNC_000086.8	-	72840435	72840498	72841799	72841898	72839981	72840083	72842363	72842454	86	107,103,100,114	141,138,131,162	111,87,96,123	159,124,149,139	78	78	0.795582682280187	0.968704444921511	0.431,0.427,0.433,0.413	0.411,0.412,0.392,0.469	0.005
87	"gene-Pdzd4"	"Pdzd4"	chrNC_000086.8	-	72840435	72840498	72841799	72841898	72839981	72840083	72843439	72843693	87	4,6,3,5	137,138,130,158	3,2,5,3	158,120,146,133	78	78	0.321903423397356	0.746233635148759	0.028,0.042,0.023,0.031	0.019,0.016,0.033,0.022	0.009
88	"gene-Pdzd4"	"Pdzd4"	chrNC_000086.8	-	72840435	72840498	72842363	72842454	72839981	72840083	72843439	72843693	88	51,47,50,57	137,138,130,158	58,58,55,51	158,120,146,133	78	78	0.304933972475062	0.738627324591323	0.271,0.254,0.278,0.265	0.269,0.326,0.274,0.277	-0.019
89	"gene-Pdzd4"	"Pdzd4"	chrNC_000086.8	-	72841799	72841898	72842363	72842454	72839981	72840083	72843439	72843693	89	51,47,50,57	4,6,3,5	58,58,55,51	3,2,5,3	78	78	0.200071958487404	0.655578419732001	0.927,0.887,0.943,0.919	0.951,0.967,0.917,0.944	-0.026
90	"gene-Pdzd4"	"Pdzd4"	chrNC_000086.8	-	72841799	72841898	72842363	72842454	72840435	72840498	72843439	72843693	90	54,43,52,60	146,136,154,167	59,55,58,57	115,138,163,112	78	78	0.0484766197005507	0.444252440474414	0.27,0.24,0.252,0.264	0.339,0.285,0.262,0.337	-0.049
