ID	GeneID	geneSymbol	chr	strand	riExonStart_0base	riExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE
3340	"gene-Tle2"	"Tle2"	chrNC_000076.7	+	81416090	81416501	81416090	81416132	81416320	81416501
3402	"gene-Abcc5"	"Abcc5"	chrNC_000082.7	-	20218555	20223463	20218555	20218789	20221009	20223463
3422	"gene-Sfi1"	"Sfi1"	chrNC_000077.7	-	3082215	3083207	3082215	3082327	3083071	3083207
3642	"gene-Gm30134"	"Gm30134"	chrNC_000077.7	-	96090141	96093192	96090141	96090276	96091002	96093192
3830	"gene-Prkd1"	"Prkd1"	chrNC_000078.7	-	50402123	50404444	50402123	50402175	50404018	50404444
3887	"gene-Eml5"	"Eml5"	chrNC_000078.7	-	98762765	98767370	98762765	98762880	98767161	98767370
3890	"gene-Eml5"	"Eml5"	chrNC_000078.7	-	98762765	98767370	98762765	98762880	98767166	98767370
3927	"gene-Syt3"	"Syt3"	chrNC_000073.7	+	44034644	44035545	44034644	44034720	44035352	44035545
3929	"gene-Syt3"	"Syt3"	chrNC_000073.7	+	44034644	44035545	44034644	44034720	44035379	44035545
3976	"gene-Zfp558"	"Zfp558"	chrNC_000075.7	-	18384445	18384972	18384445	18384565	18384649	18384972
3999	"gene-Prpf4b"	"Prpf4b"	chrNC_000079.7	+	35085375	35087256	35085375	35085656	35086612	35087256
4001	"gene-Prpf4b"	"Prpf4b"	chrNC_000079.7	+	35085375	35087256	35085375	35086114	35087169	35087256
4108	"gene-Parp2"	"Parp2"	chrNC_000080.7	+	51052326	51052884	51052326	51052412	51052808	51052884
4209	"gene-Mtif2"	"Mtif2"	chrNC_000077.7	+	29476396	29476843	29476396	29476565	29476692	29476843
4496	"gene-Ddb2"	"Ddb2"	chrNC_000068.8	-	91041923	91042959	91041923	91042357	91042794	91042959
4828	"gene-Gm38486"	"Gm38486"	chrNC_000085.7	-	21555123	21567990	21555123	21558994	21567942	21567990
4843	"gene-Psd"	"Psd"	chrNC_000085.7	-	46314605	46315303	46314605	46314621	46314839	46315303
4848	"gene-Psd"	"Psd"	chrNC_000085.7	-	46314605	46315593	46314605	46314621	46315446	46315593
4886	"gene-Foxred1"	"Foxred1"	chrNC_000075.7	-	35120711	35121461	35120711	35120803	35121235	35121461
