ID	GeneID	geneSymbol	chr	strand	riExonStart_0base	riExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE
23	"gene-Gpm6b"	"Gpm6b"	chrNC_000086.8	+	165168386	165172028	165168386	165168477	165169947	165172028
24	"gene-Glra2"	"Glra2"	chrNC_000086.8	-	164109797	164110407	164109797	164109976	164110159	164110407
25	"gene-Txlng"	"Txlng"	chrNC_000086.8	-	161594287	161594591	161594287	161594384	161594531	161594591
26	"gene-Phka2"	"Phka2"	chrNC_000086.8	+	159285157	159285900	159285157	159285288	159285742	159285900
27	"gene-Gm39547"	"Gm39547"	chrNC_000086.8	-	158917580	158919086	158917580	158917787	158919043	158919086
28	"gene-Gm39547"	"Gm39547"	chrNC_000086.8	-	158919043	158921243	158919043	158919086	158920094	158921243
29	"gene-Klf8"	"Klf8"	chrNC_000086.8	+	152142837	152143479	152142837	152142899	152143291	152143479
30	"gene-Klf8"	"Klf8"	chrNC_000086.8	+	152142837	152143479	152142837	152142960	152143291	152143479
31	"gene-Maged2"	"Maged2"	chrNC_000086.8	-	149589705	149590177	149589705	149589843	149589909	149590177
32	"gene-Gm52431"	"Gm52431"	chrNC_000086.8	+	138797753	138798380	138797753	138797838	138798010	138798380
33	"gene-Cldn2"	"Cldn2"	chrNC_000086.8	+	138709274	138712135	138709274	138710139	138711281	138712135
34	"gene-Zcchc18"	"Zcchc18"	chrNC_000086.8	+	135893895	135894819	135893895	135894101	135894679	135894819
35	"gene-Zcchc18"	"Zcchc18"	chrNC_000086.8	+	135893895	135894819	135893895	135894153	135894679	135894819
36	"gene-Armcx2"	"Armcx2"	chrNC_000086.8	-	133708202	133708474	133708202	133708262	133708351	133708474
37	"gene-Armcx2"	"Armcx2"	chrNC_000086.8	-	133708202	133708474	133708202	133708262	133708369	133708474
38	"gene-Armcx6"	"Armcx6"	chrNC_000086.8	-	133651689	133652116	133651689	133651782	133652078	133652116
39	"gene-Drp2"	"Drp2"	chrNC_000086.8	+	133341083	133342135	133341083	133341169	133341977	133342135
40	"gene-Cenpi"	"Cenpi"	chrNC_000086.8	+	133209314	133209596	133209314	133209382	133209475	133209596
41	"gene-Xkrx"	"Xkrx"	chrNC_000086.8	-	133062324	133063708	133062324	133062390	133062676	133063708
42	"gene-Nexmif"	"Nexmif"	chrNC_000086.8	-	103120366	103126889	103120366	103124708	103126759	103126889
43	"gene-Xist"	"Xist"	chrNC_000086.8	-	102503978	102511642	102503978	102504316	102509984	102511642
44	"gene-Gm4779"	"Gm4779"	chrNC_000086.8	-	100834212	100834504	100834212	100834254	100834440	100834504
45	"gene-Gm4779"	"Gm4779"	chrNC_000086.8	-	100834212	100834504	100834212	100834254	100834449	100834504
46	"gene-Gm4779"	"Gm4779"	chrNC_000086.8	-	100834212	100834890	100834212	100834254	100834844	100834890
47	"gene-Gm4779"	"Gm4779"	chrNC_000086.8	-	100834212	100834890	100834212	100834504	100834844	100834890
48	"gene-Taf1"	"Taf1"	chrNC_000086.8	+	100642914	100644635	100642914	100642979	100644098	100644635
49	"gene-Itgb1bp2"	"Itgb1bp2"	chrNC_000086.8	+	100506745	100507685	100506745	100506900	100507485	100507685
50	"gene-Itgb1bp2"	"Itgb1bp2"	chrNC_000086.8	+	100506745	100520391	100506745	100506908	100507485	100520391
51	"gene-Itgb1bp2"	"Itgb1bp2"	chrNC_000086.8	+	100506745	100520391	100506745	100507685	100508257	100520391
52	"gene-Zmym3"	"Zmym3"	chrNC_000086.8	-	100456717	100457267	100456717	100456883	100457094	100457267
53	"gene-Zmym3"	"Zmym3"	chrNC_000086.8	-	100458353	100459012	100458353	100458504	100458793	100459012
54	"gene-Pja1"	"Pja1"	chrNC_000086.8	-	98509343	98511914	98509343	98511188	98511728	98511914
55	"gene-Pja1"	"Pja1"	chrNC_000086.8	-	98509343	98511920	98509343	98511179	98511728	98511920
56	"gene-Maged1"	"Maged1"	chrNC_000086.8	-	93581281	93581671	93581281	93581361	93581579	93581671
57	"gene-Klhl15"	"Klhl15"	chrNC_000086.8	+	93278300	93279026	93278300	93278731	93278826	93279026
58	"gene-Klhl15"	"Klhl15"	chrNC_000086.8	+	93296020	93299574	93296020	93296732	93297545	93299574
59	"gene-Gm35587"	"Gm35587"	chrNC_000086.8	+	92477389	92478312	92477389	92477493	92478096	92478312
60	"gene-Arx"	"Arx"	chrNC_000086.8	+	92330112	92330529	92330112	92330165	92330283	92330529
61	"gene-Gm14707"	"Gm14707"	chrNC_000086.8	-	75287295	75289704	75287295	75288467	75289634	75289704
62	"gene-Fam3a"	"Fam3a"	chrNC_000086.8	-	73436280	73436856	73436280	73436353	73436704	73436856
63	"gene-Irak1"	"Irak1"	chrNC_000086.8	-	73057519	73059107	73057519	73057731	73059011	73059107
64	"gene-Pnck"	"Pnck"	chrNC_000086.8	-	72700836	72701119	72700836	72700949	72701043	72701119
65	"gene-Dusp9"	"Dusp9"	chrNC_000086.8	+	72683798	72684410	72683798	72684250	72684286	72684410
66	"gene-Dusp9"	"Dusp9"	chrNC_000086.8	+	72683798	72684410	72683798	72684274	72684322	72684410
67	"gene-Gabrq"	"Gabrq"	chrNC_000086.8	+	71868768	71869210	71868768	71868929	71869028	71869210
68	"gene-Gabre"	"Gabre"	chrNC_000086.8	-	71308124	71308345	71308124	71308214	71308310	71308345
69	"gene-Hmgb3"	"Hmgb3"	chrNC_000086.8	+	70601658	70602178	70601658	70601813	70602038	70602178
70	"gene-Gm1140"	"Gm1140"	chrNC_000086.8	-	66737059	66738064	66737059	66737212	66737917	66738064
71	"gene-Pkd1l3"	"Pkd1l3"	chrNC_000074.7	+	110395847	110398433	110395847	110395979	110397245	110398433
72	"gene-Slc7a6"	"Slc7a6"	chrNC_000074.7	+	106905733	106906292	106905733	106905919	106906118	106906292
73	"gene-Slc7a6"	"Slc7a6"	chrNC_000074.7	+	106918970	106919906	106918970	106919066	106919782	106919906
74	"gene-Slc7a6"	"Slc7a6"	chrNC_000074.7	+	106918970	106919906	106918970	106919115	106919782	106919906
75	"gene-Dus2"	"Dus2"	chrNC_000074.7	+	106756983	106758431	106756983	106757075	106758329	106758431
76	"gene-Gm15764"	"Gm15764"	chrNC_000082.7	+	18232372	18240037	18232372	18235666	18239918	18240037
77	"gene-9130024F11Rik"	"9130024F11Rik"	chrNC_000067.7	+	57010627	57014355	57010627	57010930	57013416	57014355
78	"gene-Fbxl9"	"Fbxl9"	chrNC_000074.7	-	106038971	106039577	106038971	106039289	106039402	106039577
79	"gene-Fbxl9"	"Fbxl9"	chrNC_000074.7	-	106041707	106042654	106041707	106042218	106042577	106042654
80	"gene-Tk2"	"Tk2"	chrNC_000074.7	-	104953325	104954983	104953325	104954745	104954835	104954983
81	"gene-Mcf2l"	"Mcf2l"	chrNC_000074.7	+	13068695	13070502	13068695	13068799	13068885	13070502
82	"gene-Mcf2l"	"Mcf2l"	chrNC_000074.7	+	13068695	13070502	13068695	13068799	13068938	13070502
83	"gene-Cdh8"	"Cdh8"	chrNC_000074.7	-	99752587	99757690	99752587	99756543	99757470	99757690
84	"gene-Cdh8"	"Cdh8"	chrNC_000074.7	-	99755400	99757690	99755400	99756543	99757507	99757690
85	"gene-Pip5k1c"	"Pip5k1c"	chrNC_000076.7	+	81150825	81153237	81150825	81150952	81151712	81153237
86	"gene-Pip5k1c"	"Pip5k1c"	chrNC_000076.7	+	81150825	81153237	81150825	81150952	81153159	81153237
87	"gene-Pip5k1c"	"Pip5k1c"	chrNC_000076.7	+	81151712	81153237	81151712	81151790	81153159	81153237
88	"gene-Gm34323"	"Gm34323"	chrNC_000075.7	+	120432797	120433175	120432797	120432934	120433041	120433175
89	"gene-Zmat4"	"Zmat4"	chrNC_000074.7	+	24184381	24191124	24184381	24189059	24190265	24191124
90	"gene-Gm26843"	"Gm26843"	chrNC_000074.7	-	94426937	94431950	94426937	94429978	94430128	94431950
91	"gene-Srgap1"	"Srgap1"	chrNC_000076.7	-	121664633	121665234	121664633	121664667	121665131	121665234
92	"gene-Crnde"	"Crnde"	chrNC_000074.7	-	93052660	93053090	93052660	93052894	93053014	93053090
93	"gene-Gm36843"	"Gm36843"	chrNC_000074.7	+	92732411	92733976	92732411	92733164	92733833	92733976
94	"gene-Gm36380"	"Gm36380"	chrNC_000074.7	-	92518029	92518995	92518029	92518125	92518792	92518995
95	"gene-Snx20"	"Snx20"	chrNC_000074.7	-	89353188	89354455	89353188	89353982	89354054	89354455
96	"gene-Snapc4"	"Snapc4"	chrNC_000068.8	-	26263330	26264197	26263330	26263478	26264032	26264197
97	"gene-Snapc4"	"Snapc4"	chrNC_000068.8	-	26266880	26268079	26266880	26267048	26268032	26268079
98	"gene-Lyl1"	"Lyl1"	chrNC_000074.7	+	85429268	85429624	85429268	85429319	85429419	85429624
99	"gene-Gm16183"	"Gm16183"	chrNC_000074.7	-	85333760	85339085	85333760	85338453	85338700	85339085
100	"gene-Rfx1"	"Rfx1"	chrNC_000074.7	+	84789786	84793677	84789786	84793106	84793292	84793677
101	"gene-D830024N08Rik"	"D830024N08Rik"	chrNC_000074.7	+	84309922	84318428	84309922	84310044	84317288	84318428
102	"gene-Gm32377"	"Gm32377"	chrNC_000074.7	-	84110094	84110393	84110094	84110144	84110285	84110393
103	"gene-Gm32756"	"Gm32756"	chrNC_000070.7	+	125355986	125361337	125355986	125356057	125357057	125361337
104	"gene-Gm32756"	"Gm32756"	chrNC_000070.7	+	125355986	125361337	125355986	125357462	125361182	125361337
105	"gene-Eps15l1"	"Eps15l1"	chrNC_000074.7	-	73127666	73132999	73127666	73127790	73129013	73132999
106	"gene-Eps15l1"	"Eps15l1"	chrNC_000074.7	-	73127666	73132999	73127666	73127790	73132834	73132999
107	"gene-Eps15l1"	"Eps15l1"	chrNC_000074.7	-	73127666	73132999	73127666	73130510	73132834	73132999
108	"gene-Eps15l1"	"Eps15l1"	chrNC_000074.7	-	73127666	73132999	73127666	73127790	73132927	73132999
109	"gene-Fcho1"	"Fcho1"	chrNC_000074.7	-	72161569	72162029	72161569	72161734	72161973	72162029
110	"gene-Niban3"	"Niban3"	chrNC_000074.7	+	72057551	72058362	72057551	72057679	72058250	72058362
111	"gene-Gm41969"	"Gm41969"	chrNC_000067.7	+	151612576	151613106	151612576	151612822	151612989	151613106
112	"gene-Gm41969"	"Gm41969"	chrNC_000067.7	+	151612576	151613106	151612576	151612849	151612989	151613106
113	"gene-Myo9b"	"Myo9b"	chrNC_000074.7	+	71811968	71813357	71811968	71812096	71812201	71813357
114	"gene-Myo9b"	"Myo9b"	chrNC_000074.7	+	71811968	71813357	71811968	71812096	71812307	71813357
115	"gene-Gm34751"	"Gm34751"	chrNC_000074.7	-	89114565	89115587	89114565	89114749	89115286	89115587
116	"gene-Potefam3d"	"Potefam3d"	chrNC_000074.7	-	69927351	69935366	69927351	69927946	69935323	69935366
117	"gene-Potefam3d"	"Potefam3d"	chrNC_000074.7	-	69938412	69940128	69938412	69938474	69940091	69940128
118	"gene-Ints10"	"Ints10"	chrNC_000074.7	+	69276819	69277781	69276819	69276919	69277703	69277781
119	"gene-Gm31726"	"Gm31726"	chrNC_000074.7	-	9199763	9202720	9199763	9199836	9200120	9202720
120	"gene-Gm31726"	"Gm31726"	chrNC_000074.7	-	9199763	9202720	9199763	9201203	9202049	9202720
121	"gene-Hltf"	"Hltf"	chrNC_000069.7	+	20170735	20172649	20170735	20170907	20171941	20172649
122	"gene-Ammecr1l"	"Ammecr1l"	chrNC_000084.7	+	31909842	31912006	31909842	31909913	31911909	31912006
123	"gene-Marchf1"	"Marchf1"	chrNC_000074.7	+	66839091	66840213	66839091	66839171	66839460	66840213
124	"gene-Gm35254"	"Gm35254"	chrNC_000074.7	+	62073144	62083552	62073144	62076809	62077069	62083552
125	"gene-Gm15345"	"Gm15345"	chrNC_000084.7	+	56929987	56933413	56929987	56930019	56933228	56933413
126	"gene-Gm31231"	"Gm31231"	chrNC_000074.7	-	47532872	47536084	47532872	47533039	47534495	47536084
127	"gene-Gm31231"	"Gm31231"	chrNC_000074.7	-	47532872	47536084	47532872	47533039	47534755	47536084
128	"gene-Adam9"	"Adam9"	chrNC_000074.7	-	25452875	25453104	25452875	25452892	25452946	25453104
129	"gene-Primpol"	"Primpol"	chrNC_000074.7	-	47028613	47032201	47028613	47029756	47031053	47032201
130	"gene-Ssr2"	"Ssr2"	chrNC_000069.7	+	88486914	88487341	88486914	88486993	88487186	88487341
131	"gene-B3gnt9"	"B3gnt9"	chrNC_000074.7	-	105979269	105981785	105979269	105981474	105981662	105981785
132	"gene-Siglech"	"Siglech"	chrNC_000073.7	+	55417916	55418469	55417916	55418118	55418310	55418469
133	"gene-Triml1"	"Triml1"	chrNC_000074.7	-	43595725	43597103	43595725	43595758	43596978	43597103
134	"gene-Vps37a"	"Vps37a"	chrNC_000074.7	+	40994065	40996994	40994065	40994134	40996850	40996994
135	"gene-Vps37a"	"Vps37a"	chrNC_000074.7	+	40994065	40996994	40994065	40996212	40996850	40996994
136	"gene-Usp40"	"Usp40"	chrNC_000067.7	-	87872862	87876318	87872862	87874429	87876223	87876318
137	"gene-Usp40"	"Usp40"	chrNC_000067.7	-	87880061	87881773	87880061	87880180	87881733	87881773
138	"gene-Pcif1"	"Pcif1"	chrNC_000068.8	+	164724694	164726139	164724694	164724864	164725996	164726139
139	"gene-Osbpl1a"	"Osbpl1a"	chrNC_000084.7	-	12888368	12889364	12888368	12889152	12889244	12889364
140	"gene-Gm35021"	"Gm35021"	chrNC_000074.7	+	36191452	36191844	36191452	36191622	36191715	36191844
141	"gene-3425401B19Rik"	"3425401B19Rik"	chrNC_000080.7	-	32406959	32407211	32406959	32407075	32407198	32407211
142	"gene-Zfp612"	"Zfp612"	chrNC_000074.7	+	110809309	110810105	110809309	110809374	110810072	110810105
143	"gene-LTO1"	"LTO1"	chrNC_000073.7	+	144472960	144474871	144472960	144473078	144473346	144474871
144	"gene-Gm53408"	"Gm53408"	chrNC_000074.7	+	27324799	27326004	27324799	27324925	27325428	27326004
145	"gene-Cenpp"	"Cenpp"	chrNC_000079.7	-	49695888	49702530	49695888	49700726	49702427	49702530
146	"gene-Letm2"	"Letm2"	chrNC_000074.7	-	26068493	26069810	26068493	26068820	26069735	26069810
147	"gene-Golga7"	"Golga7"	chrNC_000074.7	-	23746689	23747096	23746689	23746822	23747035	23747096
148	"gene-Atp7b"	"Atp7b"	chrNC_000074.7	-	22482800	22484940	22482800	22483421	22484552	22484940
149	"gene-Ankle1"	"Ankle1"	chrNC_000074.7	+	71859322	71859617	71859322	71859428	71859505	71859617
150	"gene-Tmem95"	"Tmem95"	chrNC_000077.7	-	69767612	69767867	69767612	69767700	69767786	69767867
151	"gene-Zfp446"	"Zfp446"	chrNC_000073.7	+	12715772	12718310	12715772	12715854	12716045	12718310
152	"gene-Zfp446"	"Zfp446"	chrNC_000073.7	+	12715772	12718310	12715772	12715854	12716049	12718310
153	"gene-Acvr2b"	"Acvr2b"	chrNC_000075.7	+	119257266	119257634	119257266	119257418	119257490	119257634
154	"gene-Acvr2b"	"Acvr2b"	chrNC_000075.7	+	119262332	119271200	119262332	119263240	119263824	119271200
155	"gene-Gm39129"	"Gm39129"	chrNC_000074.7	+	10817951	10820844	10817951	10818120	10820483	10820844
156	"gene-Gm39129"	"Gm39129"	chrNC_000074.7	+	10817951	10820844	10817951	10820294	10820483	10820844
157	"gene-Gm31135"	"Gm31135"	chrNC_000074.7	-	8490587	8491468	8490587	8490732	8491293	8491468
158	"gene-Gm31135"	"Gm31135"	chrNC_000074.7	-	8490587	8491468	8490587	8490735	8491293	8491468
159	"gene-Gm31135"	"Gm31135"	chrNC_000074.7	-	8508866	8512857	8508866	8511506	8512648	8512857
160	"gene-Prr36"	"Prr36"	chrNC_000074.7	-	4266181	4267511	4266181	4266468	4266848	4267511
161	"gene-Prr36"	"Prr36"	chrNC_000074.7	-	4266181	4267511	4266181	4266555	4266848	4267511
162	"gene-Prr36"	"Prr36"	chrNC_000074.7	-	4266848	4267511	4266848	4266979	4267088	4267511
163	"gene-Prr36"	"Prr36"	chrNC_000074.7	-	4266848	4267511	4266848	4266979	4267096	4267511
164	"gene-Prr36"	"Prr36"	chrNC_000074.7	-	4266848	4267511	4266848	4266979	4267109	4267511
165	"gene-Gm52539"	"Gm52539"	chrNC_000068.8	-	173210002	173211907	173210002	173211698	173211795	173211907
166	"gene-Cd209f"	"Cd209f"	chrNC_000074.7	-	4152783	4153822	4152783	4153249	4153621	4153822
167	"gene-Shank2"	"Shank2"	chrNC_000073.7	+	143963198	143965605	143963198	143964705	143964759	143965605
168	"gene-Shank2"	"Shank2"	chrNC_000073.7	+	143963198	143965605	143963198	143964708	143964762	143965605
169	"gene-Tssc4"	"Tssc4"	chrNC_000073.7	+	142623672	142624824	142623672	142624029	142624528	142624824
170	"gene-Igf2"	"Igf2"	chrNC_000073.7	-	142204504	142207789	142204504	142205361	142207526	142207789
171	"gene-Deaf1"	"Deaf1"	chrNC_000073.7	-	140907191	140907638	140907191	140907386	140907429	140907638
172	"gene-Uqcrq"	"Uqcrq"	chrNC_000077.7	-	53321362	53321658	53321362	53321529	53321614	53321658
173	"gene-Luc7l"	"Luc7l"	chrNC_000083.7	+	26472947	26474099	26472947	26473018	26474004	26474099
174	"gene-Gm36062"	"Gm36062"	chrNC_000073.7	-	134999028	135001266	134999028	134999145	134999472	135001266
175	"gene-Septin1"	"Septin1"	chrNC_000073.7	-	126816790	126817229	126816790	126816914	126817142	126817229
176	"gene-Urah"	"Urah"	chrNC_000073.7	+	140415191	140415664	140415191	140415217	140415524	140415664
177	"gene-Urah"	"Urah"	chrNC_000073.7	+	140415191	140415664	140415191	140415315	140415524	140415664
178	"gene-Gm35970"	"Gm35970"	chrNC_000073.7	+	134015208	134016356	134015208	134015378	134015730	134016356
179	"gene-Gm46363"	"Gm46363"	chrNC_000078.7	-	80504875	80505553	80504875	80505350	80505451	80505553
180	"gene-Gm33122"	"Gm33122"	chrNC_000073.7	-	129249021	129253280	129249021	129249832	129250016	129253280
181	"gene-Gm33122"	"Gm33122"	chrNC_000073.7	-	129249021	129253280	129249021	129250206	129252419	129253280
182	"gene-Gm33122"	"Gm33122"	chrNC_000073.7	-	129249021	129253280	129249021	129252542	129253156	129253280
183	"gene-Gm32816"	"Gm32816"	chrNC_000073.7	+	128076034	128076351	128076034	128076151	128076278	128076351
184	"gene-Fstl4"	"Fstl4"	chrNC_000077.7	+	53077067	53083277	53077067	53079271	53081182	53083277
185	"gene-Gm29183"	"Gm29183"	chrNC_000067.7	-	73861554	73863154	73861554	73861676	73863057	73863154
186	"gene-Gm29183"	"Gm29183"	chrNC_000067.7	-	73865045	73866240	73865045	73865083	73865994	73866240
187	"gene-Prss36"	"Prss36"	chrNC_000073.7	-	127532738	127533452	127532738	127533004	127533310	127533452
188	"gene-Prss36"	"Prss36"	chrNC_000073.7	-	127534618	127535175	127534618	127534837	127534936	127535175
189	"gene-Prss36"	"Prss36"	chrNC_000073.7	-	127543813	127544571	127543813	127544094	127544408	127544571
190	"gene-Gm39090"	"Gm39090"	chrNC_000073.7	+	127298101	127300814	127298101	127298270	127299328	127300814
191	"gene-Col4a5"	"Col4a5"	chrNC_000086.8	+	140258414	140258811	140258414	140258462	140258634	140258811
192	"gene-Spns1"	"Spns1"	chrNC_000073.7	-	125973093	125973451	125973093	125973145	125973372	125973451
193	"gene-Klhl26"	"Klhl26"	chrNC_000074.7	-	70902870	70905669	70902870	70905293	70905394	70905669
194	"gene-Palb2"	"Palb2"	chrNC_000073.7	-	121709904	121711255	121709904	121710053	121711167	121711255
195	"gene-Palb2"	"Palb2"	chrNC_000073.7	-	121709904	121711255	121709904	121710993	121711167	121711255
196	"gene-Gm36736"	"Gm36736"	chrNC_000073.7	-	120912196	120914664	120912196	120914253	120914350	120914664
197	"gene-Gm36736"	"Gm36736"	chrNC_000073.7	-	120912196	120914664	120912196	120914253	120914571	120914664
198	"gene-Acsm3"	"Acsm3"	chrNC_000073.7	+	119383072	119384117	119383072	119383192	119383496	119384117
199	"gene-Vamp5"	"Vamp5"	chrNC_000072.7	-	72345031	72346453	72345031	72346162	72346272	72346453
200	"gene-Gm39080"	"Gm39080"	chrNC_000073.7	+	119331231	119336460	119331231	119331498	119336408	119336460
201	"gene-Gm39080"	"Gm39080"	chrNC_000073.7	+	119331231	119336460	119331231	119333547	119336408	119336460
202	"gene-Gm34225"	"Gm34225"	chrNC_000073.7	+	114630698	114631373	114630698	114630719	114631297	114631373
203	"gene-Gm33987"	"Gm33987"	chrNC_000069.7	+	121647925	121648820	121647925	121648262	121648717	121648820
204	"gene-Gm32309"	"Gm32309"	chrNC_000073.7	-	108590482	108590889	108590482	108590656	108590781	108590889
205	"gene-Timm10b"	"Timm10b"	chrNC_000073.7	+	105290234	105291053	105290234	105290367	105290828	105291053
206	"gene-Timm10b"	"Timm10b"	chrNC_000073.7	+	105290234	105291053	105290234	105290435	105290828	105291053
207	"gene-Stmp1"	"Stmp1"	chrNC_000072.7	+	35229644	35229980	35229644	35229717	35229890	35229980
208	"gene-Arfip2"	"Arfip2"	chrNC_000073.7	-	105286858	105287247	105286858	105286932	105287025	105287247
209	"gene-Fhip1b"	"Fhip1b"	chrNC_000073.7	-	105030582	105033779	105030582	105030784	105032987	105033779
210	"gene-Fhip1b"	"Fhip1b"	chrNC_000073.7	-	105030582	105033779	105030582	105030784	105033581	105033779
211	"gene-Fhip1b"	"Fhip1b"	chrNC_000073.7	-	105037985	105039099	105037985	105038144	105038460	105039099
212	"gene-Ndor1"	"Ndor1"	chrNC_000068.8	-	25134824	25136607	25134824	25136161	25136343	25136607
213	"gene-Ndor1"	"Ndor1"	chrNC_000068.8	-	25134824	25136607	25134824	25136246	25136343	25136607
214	"gene-Ndor1"	"Ndor1"	chrNC_000068.8	-	25134824	25136817	25134824	25136607	25136691	25136817
215	"gene-Gm29862"	"Gm29862"	chrNC_000076.7	-	125606487	125609834	125606487	125606641	125606942	125609834
216	"gene-Gm29862"	"Gm29862"	chrNC_000076.7	-	125606487	125609834	125606487	125607276	125607889	125609834
217	"gene-Hrh3"	"Hrh3"	chrNC_000068.8	-	179744521	179746264	179744521	179744688	179745506	179746264
218	"gene-Hrh3"	"Hrh3"	chrNC_000068.8	-	179744521	179746264	179744521	179744702	179745506	179746264
219	"gene-Hrh3"	"Hrh3"	chrNC_000068.8	-	179744521	179746264	179744521	179744688	179745609	179746264
220	"gene-Hrh3"	"Hrh3"	chrNC_000068.8	-	179744521	179746264	179744521	179744688	179745694	179746264
221	"gene-Hrh3"	"Hrh3"	chrNC_000068.8	-	179744521	179746264	179744521	179744688	179745698	179746264
222	"gene-Rmnd5a"	"Rmnd5a"	chrNC_000072.7	-	71365622	71370172	71365622	71368961	71370086	71370172
223	"gene-Art1"	"Art1"	chrNC_000073.7	+	101755873	101756639	101755873	101756323	101756545	101756639
224	"gene-Art5"	"Art5"	chrNC_000073.7	-	101746987	101747717	101746987	101747141	101747422	101747717
225	"gene-Art5"	"Art5"	chrNC_000073.7	-	101746987	101747717	101746987	101747141	101747435	101747717
226	"gene-Gm53380"	"Gm53380"	chrNC_000073.7	+	79791043	79792342	79791043	79791287	79791563	79792342
227	"gene-Hopx"	"Hopx"	chrNC_000071.7	-	77242712	77243114	77242712	77242869	77242997	77243114
228	"gene-Gm46555"	"Gm46555"	chrNC_000082.7	+	92254701	92262722	92254701	92254886	92259006	92262722
229	"gene-Gm3045"	"Gm3045"	chrNC_000079.7	+	56576850	56577300	56576850	56576997	56577171	56577300
230	"gene-Trmt6"	"Trmt6"	chrNC_000068.8	-	132646126	132647532	132646126	132647193	132647298	132647532
231	"gene-Pwwp2a"	"Pwwp2a"	chrNC_000077.7	+	43574307	43575052	43574307	43574401	43574949	43575052
232	"gene-Gm30440"	"Gm30440"	chrNC_000073.7	+	83662267	83664346	83662267	83663315	83664213	83664346
233	"gene-Gm30440"	"Gm30440"	chrNC_000073.7	+	83672954	83673496	83672954	83673053	83673168	83673496
234	"gene-Gm31966"	"Gm31966"	chrNC_000073.7	+	79587321	79589846	79587321	79587467	79588121	79589846
235	"gene-Gm39040"	"Gm39040"	chrNC_000073.7	-	78896150	78897320	78896150	78896276	78896376	78897320
236	"gene-Srrm4"	"Srrm4"	chrNC_000071.7	-	116729392	116729882	116729392	116729569	116729747	116729882
237	"gene-Tfap2b"	"Tfap2b"	chrNC_000067.7	+	19304273	19309071	19304273	19304530	19306831	19309071
238	"gene-Zbtb49"	"Zbtb49"	chrNC_000071.7	-	38357592	38361001	38357592	38358657	38360839	38361001
239	"gene-Zbtb49"	"Zbtb49"	chrNC_000071.7	-	38369189	38370645	38369189	38369432	38370515	38370645
240	"gene-Gm44812"	"Gm44812"	chrNC_000073.7	+	70222845	70224198	70222845	70222946	70224054	70224198
241	"gene-Gm39027"	"Gm39027"	chrNC_000073.7	-	67482657	67485881	67482657	67483584	67485420	67485881
242	"gene-Gm39884"	"Gm39884"	chrNC_000068.8	+	93772568	93776986	93772568	93773727	93774325	93776986
