ID	GeneID	geneSymbol	chr	strand	1stExonStart_0base	1stExonEnd	2ndExonStart_0base	2ndExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE
123	"gene-Rgl1"	"Rgl1"	chrNC_000067.7	-	152462157	152462366	152550610	152550777	152447348	152447426	152641657	152642056
124	"gene-Rgl1"	"Rgl1"	chrNC_000067.7	-	152499568	152499679	152550610	152550774	152462157	152462366	152641657	152642056
125	"gene-Rgl1"	"Rgl1"	chrNC_000067.7	-	152499568	152499679	152550610	152550777	152462157	152462366	152641657	152642056
126	"gene-Uros"	"Uros"	chrNC_000073.7	-	133292236	133292322	133292814	133292895	133291310	133291409	133299397	133299472
127	"gene-Uros"	"Uros"	chrNC_000073.7	-	133292236	133292322	133299397	133299472	133291310	133291409	133300872	133300947
128	"gene-Sbno1"	"Sbno1"	chrNC_000071.7	-	124517347	124517485	124519571	124519664	124516532	124516609	124519745	124519840
129	"gene-Slc7a6os"	"Slc7a6os"	chrNC_000074.7	-	106928862	106928991	106930962	106931172	106927069	106927781	106936996	106937263
130	"gene-Slc7a6os"	"Slc7a6os"	chrNC_000074.7	-	106930962	106931172	106936996	106937263	106928862	106928991	106937350	106937565
131	"gene-Nfatc3"	"Nfatc3"	chrNC_000074.7	+	106825703	106825844	106827565	106827621	106822795	106822968	106830656	106830783
133	"gene-Atp6v0d1"	"Atp6v0d1"	chrNC_000074.7	-	106255805	106255885	106265952	106266124	106252255	106252333	106292414	106292696
135	"gene-Bean1"	"Bean1"	chrNC_000074.7	+	104940547	104940658	104941645	104941796	104937549	104937801	104943559	104945730
136	"gene-Mcf2l"	"Mcf2l"	chrNC_000074.7	+	13013163	13013247	13022978	13023093	12929881	12930150	13034859	13034950
137	"gene-Mcf2l"	"Mcf2l"	chrNC_000074.7	+	13013163	13013247	13022978	13023093	12997877	12998186	13034859	13034950
138	"gene-Mcf2l"	"Mcf2l"	chrNC_000074.7	+	13022978	13023093	13034859	13034950	13013163	13013247	13043828	13043948
139	"gene-Mcf2l"	"Mcf2l"	chrNC_000074.7	+	13034859	13034950	13043828	13043948	13022978	13023093	13046609	13046726
140	"gene-Miat"	"Miat"	chrNC_000071.7	-	112372073	112372222	112375920	112376080	112368790	112369740	112376166	112376222
141	"gene-Miat"	"Miat"	chrNC_000071.7	-	112372073	112372222	112375920	112376044	112368790	112369740	112376174	112376222
142	"gene-Miat"	"Miat"	chrNC_000071.7	-	112372073	112372222	112376166	112376222	112368790	112369740	112376474	112376814
143	"gene-Miat"	"Miat"	chrNC_000071.7	-	112372073	112372222	112376174	112376222	112368790	112369740	112376474	112376814
144	"gene-Miat"	"Miat"	chrNC_000071.7	-	112375920	112376044	112376166	112376222	112372073	112372222	112376474	112376814
145	"gene-Miat"	"Miat"	chrNC_000071.7	-	112375920	112376044	112376174	112376222	112372073	112372222	112376474	112376814
146	"gene-Miat"	"Miat"	chrNC_000071.7	-	112375920	112376080	112376166	112376222	112372073	112372222	112376474	112376814
147	"gene-Miat"	"Miat"	chrNC_000071.7	-	112375920	112376080	112376174	112376222	112372073	112372222	112376474	112376814
148	"gene-Cdh8"	"Cdh8"	chrNC_000074.7	-	99926864	99927032	99957034	99957154	99922871	99923059	100006038	100006333
149	"gene-Cdh8"	"Cdh8"	chrNC_000074.7	-	99957034	99957154	100006038	100006333	99926864	99927032	100127357	100127809
150	"gene-Cdh8"	"Cdh8"	chrNC_000074.7	-	100006038	100006333	100127357	100127809	99957034	99957154	100142713	100143079
151	"gene-Got2"	"Got2"	chrNC_000074.7	-	96596099	96596265	96597402	96597553	96593448	96593599	96598518	96598623
152	"gene-Ndrg4"	"Ndrg4"	chrNC_000074.7	+	96435235	96435322	96435404	96435461	96433556	96433617	96435710	96435814
153	"gene-Ndrg4"	"Ndrg4"	chrNC_000074.7	+	96436530	96436582	96437291	96437339	96436393	96436450	96437561	96437597
155	"gene-Zmat4"	"Zmat4"	chrNC_000074.7	+	24169026	24169194	24188846	24191124	24159504	24159817	24238415	24238521
156	"gene-Zmat4"	"Zmat4"	chrNC_000074.7	+	24184315	24184353	24188846	24191124	24159504	24159817	24238415	24238521
157	"gene-Arl2bp"	"Arl2bp"	chrNC_000074.7	+	95396948	95397055	95397922	95398008	95394224	95394286	95398689	95398786
158	"gene-Rspry1"	"Rspry1"	chrNC_000074.7	+	95364890	95365006	95366150	95366294	95363251	95363383	95373211	95373323
159	"gene-Rspry1"	"Rspry1"	chrNC_000074.7	+	95366150	95366294	95373211	95373323	95364890	95365006	95376380	95376483
161	"gene-Chd9"	"Chd9"	chrNC_000074.7	+	91728247	91728443	91732341	91732509	91725123	91725334	91733158	91733338
163	"gene-4921524J17Rik"	"4921524J17Rik"	chrNC_000074.7	-	86138741	86138924	86153488	86153585	86135387	86136519	86159287	86159470
164	"gene-Mast1"	"Mast1"	chrNC_000074.7	-	85657448	85657527	85661872	85661948	85655850	85656011	85662334	85662423
166	"gene-Eps15l1"	"Eps15l1"	chrNC_000074.7	-	73097352	73097496	73099809	73100015	73094833	73095368	73121747	73121830
167	"gene-Eps15l1"	"Eps15l1"	chrNC_000074.7	-	73097352	73097496	73112156	73112289	73094833	73095368	73121747	73121830
169	"gene-Eps15l1"	"Eps15l1"	chrNC_000074.7	-	73112156	73112289	73121747	73121830	73094833	73095368	73122555	73122616
170	"gene-Eps15l1"	"Eps15l1"	chrNC_000074.7	-	73112156	73112289	73121747	73121830	73099809	73100015	73122555	73122616
171	"gene-Fcho1"	"Fcho1"	chrNC_000074.7	-	72166915	72166940	72167343	72167416	72166620	72166678	72167522	72167571
172	"gene-Fcho1"	"Fcho1"	chrNC_000074.7	-	72166915	72166940	72167343	72167416	72166620	72166678	72167526	72167571
174	"gene-Dda1"	"Dda1"	chrNC_000074.7	+	71924680	71924761	71926418	71926480	71921837	71921969	71927131	71928741
175	"gene-Dda1"	"Dda1"	chrNC_000074.7	+	71924684	71924761	71926418	71926480	71921837	71921969	71927131	71928741
178	"gene-Myo9b"	"Myo9b"	chrNC_000074.7	+	71789519	71789609	71789846	71789861	71786956	71787038	71793403	71793443
180	"gene-Myo9b"	"Myo9b"	chrNC_000074.7	+	71789846	71789861	71791550	71791664	71786956	71787038	71793403	71793443
181	"gene-Myo9b"	"Myo9b"	chrNC_000074.7	+	71789846	71789861	71791550	71791664	71786956	71787038	71795405	71795528
182	"gene-Myo9b"	"Myo9b"	chrNC_000074.7	+	71789846	71789861	71793403	71793443	71786956	71787038	71795405	71795528
183	"gene-Myo9b"	"Myo9b"	chrNC_000074.7	+	71789846	71789861	71791550	71791664	71789519	71789609	71793403	71793443
184	"gene-Myo9b"	"Myo9b"	chrNC_000074.7	+	71789846	71789861	71791550	71791664	71789519	71789609	71795405	71795528
185	"gene-Myo9b"	"Myo9b"	chrNC_000074.7	+	71789846	71789861	71793403	71793443	71789519	71789609	71795405	71795528
186	"gene-Myo9b"	"Myo9b"	chrNC_000074.7	+	71791550	71791664	71793403	71793443	71786956	71787038	71795405	71795528
188	"gene-Lsm4"	"Lsm4"	chrNC_000074.7	+	71129204	71129246	71130427	71130526	71125880	71126107	71130603	71130784
189	"gene-Tmem59l"	"Tmem59l"	chrNC_000074.7	-	70938324	70938477	70938686	70938784	70937729	70937832	70938877	70939022
190	"gene-Ddx49"	"Ddx49"	chrNC_000074.7	-	70750730	70750816	70753628	70753752	70750525	70750647	70754972	70755102
191	"gene-Tmem161a"	"Tmem161a"	chrNC_000074.7	+	70629890	70629988	70630101	70630258	70629456	70629575	70631516	70631668
192	"gene-Tmem161a"	"Tmem161a"	chrNC_000074.7	+	70629890	70629988	70631516	70631668	70629494	70629575	70633188	70633249
193	"gene-Zfp40"	"Zfp40"	chrNC_000083.7	-	23401121	23401206	23410318	23410409	23397248	23397375	23412048	23412226
194	"gene-Zfp40"	"Zfp40"	chrNC_000083.7	-	23401121	23401206	23410318	23410482	23397248	23397375	23412048	23412226
195	"gene-Ncan"	"Ncan"	chrNC_000074.7	-	70555059	70555173	70556593	70556710	70554550	70554709	70560090	70561299
196	"gene-Tdrd7"	"Tdrd7"	chrNC_000070.7	+	45987461	45987674	45989077	45989219	45972185	45972436	45990049	45990230
197	"gene-Tdrd7"	"Tdrd7"	chrNC_000070.7	+	45989077	45989219	45990049	45990230	45987461	45987674	45992196	45992270
198	"gene-Tdrd7"	"Tdrd7"	chrNC_000070.7	+	46025656	46026159	46029646	46029807	46023394	46023505	46034295	46034766
201	"gene-Gdpd5"	"Gdpd5"	chrNC_000073.7	+	99091094	99091154	99097328	99097427	99090378	99090472	99097679	99097773
206	"gene-Ammecr1l"	"Ammecr1l"	chrNC_000084.7	+	31894832	31894943	31904722	31905167	31891456	31893247	31907288	31907399
210	"gene-Hpf1"	"Hpf1"	chrNC_000074.7	+	61346734	61346894	61353117	61353268	61342532	61343570	61357033	61357151
211	"gene-Hpf1"	"Hpf1"	chrNC_000074.7	+	61346734	61346894	61353117	61353268	61342532	61343570	61358581	61358754
212	"gene-Hpf1"	"Hpf1"	chrNC_000074.7	+	61346734	61346894	61349771	61349870	61343461	61343570	61353117	61353268
213	"gene-Hpf1"	"Hpf1"	chrNC_000074.7	+	61346734	61346894	61349771	61349870	61343461	61343570	61357033	61357121
214	"gene-Hpf1"	"Hpf1"	chrNC_000074.7	+	61346734	61346894	61357033	61357121	61343461	61343570	61358581	61358754
216	"gene-Hpf1"	"Hpf1"	chrNC_000074.7	+	61349771	61349870	61353117	61353268	61346734	61346894	61357033	61357121
217	"gene-Hpf1"	"Hpf1"	chrNC_000074.7	+	61353117	61353268	61357033	61357121	61343461	61343570	61358581	61358754
218	"gene-Hpf1"	"Hpf1"	chrNC_000074.7	+	61353117	61353268	61357033	61357121	61349771	61349870	61358581	61358754
220	"gene-Fah"	"Fah"	chrNC_000073.7	-	84248261	84248352	84249984	84250034	84246385	84246483	84250240	84250362
221	"gene-Tenm3"	"Tenm3"	chrNC_000074.7	-	48763657	48763804	48788623	48788809	48753789	48754006	48793988	48794189
222	"gene-Tenm3"	"Tenm3"	chrNC_000074.7	-	48764709	48764730	48766272	48766299	48763657	48763804	48788623	48788809
223	"gene-Tenm3"	"Tenm3"	chrNC_000074.7	-	48766272	48766299	48788623	48788809	48763657	48763804	48793988	48794189
224	"gene-Tenm3"	"Tenm3"	chrNC_000074.7	-	48766272	48766299	48788623	48788809	48763657	48763804	48820345	48820468
225	"gene-Tenm3"	"Tenm3"	chrNC_000074.7	-	48766272	48766299	48788623	48788809	48764709	48764730	48793988	48794189
227	"gene-Primpol"	"Primpol"	chrNC_000074.7	-	47034602	47034685	47039377	47039486	47034472	47034519	47039641	47039731
228	"gene-Primpol"	"Primpol"	chrNC_000074.7	-	47045627	47045790	47046504	47046738	47043249	47043338	47052753	47052901
229	"gene-Primpol"	"Primpol"	chrNC_000074.7	-	47045641	47045790	47046504	47046738	47043249	47043338	47052753	47052901
230	"gene-Primpol"	"Primpol"	chrNC_000074.7	-	47046504	47046738	47052753	47052901	47045627	47045790	47058119	47058249
232	"gene-Sorbs2"	"Sorbs2"	chrNC_000074.7	+	46236579	46236663	46238305	46238362	46235838	46235997	46243012	46243062
233	"gene-Fat1"	"Fat1"	chrNC_000074.7	+	45500686	45500746	45502878	45502914	45498067	45498205	45503817	45505294
236	"gene-Mtmr7"	"Mtmr7"	chrNC_000074.7	-	41034455	41034588	41040090	41040225	41017000	41017110	41043452	41043581
237	"gene-Usp40"	"Usp40"	chrNC_000067.7	-	87893027	87893064	87901798	87901856	87890145	87890210	87903529	87903653
239	"gene-Tusc3"	"Tusc3"	chrNC_000074.7	+	39513668	39513838	39530344	39530462	39472998	39473354	39534775	39534916
240	"gene-Tusc3"	"Tusc3"	chrNC_000074.7	+	39530344	39530462	39534775	39534916	39513668	39513838	39538529	39538670
241	"gene-Tusc3"	"Tusc3"	chrNC_000074.7	+	39530344	39530462	39538529	39538670	39513668	39513838	39564078	39564168
242	"gene-Tusc3"	"Tusc3"	chrNC_000074.7	+	39530344	39530462	39534775	39534916	39513668	39513838	39593682	39593746
243	"gene-Tusc3"	"Tusc3"	chrNC_000074.7	+	39530344	39530462	39538529	39538670	39513668	39513838	39593682	39593746
244	"gene-Tusc3"	"Tusc3"	chrNC_000074.7	+	39530344	39530462	39564078	39564168	39513668	39513838	39593682	39593746
245	"gene-Tusc3"	"Tusc3"	chrNC_000074.7	+	39534775	39534916	39538529	39538670	39513668	39513838	39593682	39593746
246	"gene-Tusc3"	"Tusc3"	chrNC_000074.7	+	39534775	39534916	39564078	39564168	39513668	39513838	39593682	39593746
247	"gene-Tusc3"	"Tusc3"	chrNC_000074.7	+	39534775	39534916	39538529	39538670	39530344	39530462	39564078	39564168
248	"gene-Tusc3"	"Tusc3"	chrNC_000074.7	+	39534775	39534916	39538529	39538670	39530344	39530462	39593682	39593746
249	"gene-Tusc3"	"Tusc3"	chrNC_000074.7	+	39534775	39534916	39564078	39564168	39530344	39530462	39593682	39593746
250	"gene-Tusc3"	"Tusc3"	chrNC_000074.7	+	39538529	39538670	39564078	39564168	39513668	39513838	39593682	39593746
251	"gene-Tusc3"	"Tusc3"	chrNC_000074.7	+	39538529	39538670	39564078	39564168	39530344	39530462	39593682	39593746
253	"gene-Tusc3"	"Tusc3"	chrNC_000074.7	+	39539346	39539466	39564078	39564168	39538529	39538670	39593682	39593746
256	"gene-Osbpl1a"	"Osbpl1a"	chrNC_000084.7	-	12952561	12952718	12974240	12974403	12921376	12921452	13015252	13015334
257	"gene-Osbpl1a"	"Osbpl1a"	chrNC_000084.7	-	12974240	12974403	13004134	13004241	12952561	12952718	13015252	13015334
258	"gene-Osbpl1a"	"Osbpl1a"	chrNC_000084.7	-	12974240	12974403	13015252	13015334	12952561	12952718	13025223	13025346
259	"gene-Osbpl1a"	"Osbpl1a"	chrNC_000084.7	-	12974240	12974403	13015252	13015334	12952561	12952718	13031259	13031358
260	"gene-Osbpl1a"	"Osbpl1a"	chrNC_000084.7	-	13015252	13015334	13025223	13025346	12974240	12974403	13031259	13031358
263	"gene-Ube2v2"	"Ube2v2"	chrNC_000082.7	-	15394878	15395004	15398922	15399071	15368849	15374407	15412323	15412382
264	"gene-Caln1"	"Caln1"	chrNC_000071.7	+	130534904	130535029	130646683	130646827	130477632	130478299	130698367	130698480
265	"gene-Caln1"	"Caln1"	chrNC_000071.7	+	130534904	130535029	130698367	130698480	130477632	130478299	130851713	130851870
266	"gene-Caln1"	"Caln1"	chrNC_000071.7	+	130646683	130646827	130698367	130698480	130534904	130535029	130851713	130851870
268	"gene-Zfyve1"	"Zfyve1"	chrNC_000078.7	-	83615622	83615837	83621405	83621910	83605387	83605494	83641171	83642092
269	"gene-Zfyve1"	"Zfyve1"	chrNC_000078.7	-	83621405	83621910	83641171	83642092	83615622	83615837	83643770	83643944
270	"gene-Zfyve1"	"Zfyve1"	chrNC_000078.7	-	83621405	83621910	83641171	83642096	83615622	83615837	83643770	83643996
271	"gene-Cenpp"	"Cenpp"	chrNC_000079.7	-	49794701	49794790	49801041	49801130	49780730	49780827	49803596	49803775
272	"gene-Tacc1"	"Tacc1"	chrNC_000074.7	-	25671838	25672946	25690106	25690222	25667949	25668010	25691137	25691568
273	"gene-Tm2d2"	"Tm2d2"	chrNC_000074.7	+	25508081	25508169	25510454	25510570	25507226	25507608	25512581	25513276
274	"gene-Kat6a"	"Kat6a"	chrNC_000074.7	+	23413530	23413672	23415296	23415458	23409340	23409456	23416392	23416486
275	"gene-Vps36"	"Vps36"	chrNC_000074.7	+	22700284	22700317	22700404	22700482	22697872	22697959	22701553	22701688
276	"gene-Dtx1"	"Dtx1"	chrNC_000071.7	-	120820632	120820803	120821125	120821187	120820368	120820530	120821359	120821521
277	"gene-Dtx1"	"Dtx1"	chrNC_000071.7	-	120820644	120820803	120821125	120821187	120820368	120820530	120821359	120821521
278	"gene-Swi5"	"Swi5"	chrNC_000068.8	-	32171697	32171822	32177608	32177657	32170720	32170815	32177897	32178081
279	"gene-Rtn3"	"Rtn3"	chrNC_000085.7	-	7433664	7434825	7445175	7445232	7412295	7412503	7460303	7460656
281	"gene-Sarnp"	"Sarnp"	chrNC_000076.7	+	128660647	128660700	128669180	128669280	128657632	128657840	128674312	128674359
282	"gene-Sarnp"	"Sarnp"	chrNC_000076.7	+	128660647	128660700	128669180	128669280	128657632	128657840	128674315	128674359
283	"gene-Sarnp"	"Sarnp"	chrNC_000076.7	+	128669180	128669280	128674312	128674359	128657632	128657840	128675670	128675738
284	"gene-Sarnp"	"Sarnp"	chrNC_000076.7	+	128669180	128669280	128674315	128674359	128657632	128657840	128675670	128675738
285	"gene-Sarnp"	"Sarnp"	chrNC_000076.7	+	128669180	128669280	128674312	128674359	128660647	128660700	128675670	128675738
286	"gene-Sarnp"	"Sarnp"	chrNC_000076.7	+	128669180	128669280	128674315	128674359	128660647	128660700	128675670	128675738
287	"gene-Sarnp"	"Sarnp"	chrNC_000076.7	+	128674312	128674359	128675670	128675738	128669180	128669280	128682400	128682452
288	"gene-Sarnp"	"Sarnp"	chrNC_000076.7	+	128674315	128674359	128675670	128675738	128669180	128669280	128682400	128682452
289	"gene-Sarnp"	"Sarnp"	chrNC_000076.7	+	128687025	128687051	128689051	128689120	128684629	128684658	128708289	128708379
